LocAddState,MktName,LocAddSt,LocAddCity,LocAddZip,x1,y1
Alabama,Albertville Farmers Market,116 Main Street,Albertville,35950,-86.2092,34.2679
Alabama,Alexander City Downtown Market,Braod Street,Alexander City,35010,0,0
Alabama,Andalusia Power Pleant Farmers Market,256 Historic Central Street,Andalusia,36420,-86.4924,31.2999
Alabama,Anniston Downtown Farmers Market,14th & Gurnee,Anniston,36201,-85.832,33.6625
Alabama,Athens Farmers Market,"409 Green Street, West",Athens,35612,-86.9735,34.8013
Alabama,Atmore Farmers Market,201 East Louisville Avenue,Atmore,36504,-87.4926,31.0243
Alabama,Attalla Downtown Farmers Market,5Th Avenue N.W.,Attalla,39554,-86.0927,34.026
Alabama,AUM Farmers' Market,7400 East Drive,Montgomery,36117,-86.1743,32.3674
Alabama,Barbour County Farmers Market,241 Broad Street,Eufaula,36072,-85.1431,31.8929
Alabama,Bibb County Farmers Market,155 Birmingham Highway,Centreville,35042,0,0
Alabama,Blount County Farmers Market,500 New Street,Oneonta,35121,-86.4701,33.9443
Alabama,Boaz Farmers Market,108 Line Street,Boaz,35957,-86.1621,34.196
Alabama,Brewton Farmers Market,Between Mildred & Lee Streets,Brewton,36427,-87.0275,31.1499
Alabama,Bridge Street Farmers Market,"340 The Bridge Street, #206",Huntsville,35804,-86.6745,34.7174
Alabama,Bullock County Farmers Market,Union Springs Nutrition Site,Union Springs,36089,-85.7184,32.1452
Alabama,"Butler County Farmers Market, Greenville, AL",Conecuh and Cedar,Georgiana,36033,-86.7419,31.6371
Alabama,Butler Walkabout Farmers Market,400 West Pushmatha Street,Butler,36904,0,0
Alabama,Calera Farmers Market,"9758 Hwy 25, Calera, Al 35040",Calera,35040,-86.768,33.096
Alabama,Calhoun County Farmers Market,1702 Noble Street,Anniston,36202,-85.8299,33.6664
Alabama,Camden Farmers Market,Highway 10 Bypass,Camden,36726,-87.3034,32.0051
Alabama,Center Point Farmer's Market,2209 Center Point Parkway,Center Point,35215,-86.6837,33.6425
Alabama,Cherokee County Farmers Market,635 Amory Road,Centre,35960,0,0
Alabama,Chicago Street Farmers Market,125 East Laurel Ave.,Foley,36535,-87.6833,30.4066
Alabama,City of Albertville Farmers Market,Main Street- downtown,Albertville,35950,-86.2095,34.268
Alabama,Clarke County Farmers Market,3100 Highway 43,Jackson,36545,-87.8952,31.5328
