Year,GDP,Receipts_Total,Outlays_Total,Surplus_or_Deficit_Total,Receipts_On_Budget,Outlays_On_Budget,Surplus_or_Deficit_On_Budget,Receipts_Off_Budget,Outlays_Off_Budget,Surplus_or_Deficit_Off_Budget
1930,98.4,4.1,3.4,0.8,4.1,3.4,0.8,..........,..........,..........
1931,84.8,3.7,4.2,-0.5,3.7,4.2,-0.5,..........,..........,..........
1932,68.5,2.8,6.8,-4.0,2.8,6.8,-4.0,..........,..........,..........
1933,58.3,3.4,7.9,-4.5,3.4,7.9,-4.5,..........,..........,..........
1934,62.0,4.8,10.6,-5.8,4.8,10.6,-5.8,..........,..........,..........
1935,70.5,5.1,9.1,-4.0,5.1,9.1,-4.0,..........,..........,..........
1936,79.6,4.9,10.3,-5.4,4.9,10.3,-5.4,..........,..........,..........
1937,88.9,6.1,8.5,-2.5,5.8,8.5,-2.8,0.3,−*,0.3
1938,90.2,7.5,7.6,-0.1,7.1,7.6,-0.5,0.4,−*,0.4
1939,90.4,7.0,10.1,-3.1,6.4,10.1,-3.7,0.6,−*,0.6
1940,98.2,6.7,9.6,-3.0,6.1,9.7,-3.5,0.6,−*,0.6
1941,116.2,7.5,11.7,-4.3,6.9,11.7,-4.8,0.6,*,0.6
1942,147.7,9.9,23.8,-13.9,9.3,23.7,-14.4,0.6,*,0.6
1943,184.6,13.0,42.6,-29.6,12.4,42.5,-30.1,0.6,*,0.6
1944,213.8,20.5,42.7,-22.2,19.9,42.7,-22.8,0.6,0.1,0.6
1945,226.4,19.9,41.0,-21.0,19.4,40.9,-21.5,0.6,0.1,0.5
1946,228.0,17.2,24.2,-7.0,16.7,24.1,-7.4,0.5,0.1,0.5
1947,238.9,16.1,14.4,1.7,15.5,14.3,1.2,0.6,0.1,0.5
1948,262.4,15.8,11.3,4.5,15.2,11.2,4.0,0.6,0.1,0.5
1949,276.8,14.2,14.0,0.2,13.6,13.9,-0.2,0.6,0.2,0.5
1950,279.0,14.1,15.3,-1.1,13.4,15.1,-1.7,0.8,0.2,0.6
1951,327.4,15.8,13.9,1.9,14.8,13.5,1.3,1.0,0.4,0.6
1952,357.5,18.5,18.9,-0.4,17.5,18.4,-0.9,1.0,0.5,0.5
1953,382.5,18.2,19.9,-1.7,17.1,19.3,-2.2,1.1,0.6,0.5
1954,387.7,18.0,18.3,-0.3,16.8,17.5,-0.7,1.2,0.8,0.4
1955,407.0,16.1,16.8,-0.7,14.8,15.8,-1.0,1.2,1.0,0.3
1956,439.0,17.0,16.1,0.9,15.5,15.0,0.6,1.5,1.1,0.3
1957,464.2,17.2,16.5,0.7,15.8,15.2,0.6,1.5,1.3,0.2
1958,474.3,16.8,17.4,-0.6,15.1,15.8,-0.7,1.7,1.6,0.1
1959,505.6,15.7,18.2,-2.5,14.0,16.4,-2.4,1.6,1.8,-0.1
1960,535.1,17.3,17.2,0.1,15.3,15.2,0.1,2.0,2.0,−*
1961,547.6,17.2,17.8,-0.6,15.0,15.7,-0.7,2.2,2.1,0.1
1962,586.9,17.0,18.2,-1.2,14.9,15.9,-1.0,2.1,2.3,-0.2
1963,619.3,17.2,18.0,-0.8,14.9,15.6,-0.6,2.3,2.4,-0.1
1964,662.9,17.0,17.9,-0.9,14.5,15.5,-1.0,2.5,2.4,0.1
1965,710.7,16.4,16.6,-0.2,14.1,14.3,-0.2,2.4,2.3,*
1966,781.9,16.7,17.2,-0.5,14.3,14.7,-0.4,2.4,2.5,-0.1
1967,838.2,17.8,18.8,-1.0,14.8,16.3,-1.5,2.9,2.4,0.5
1968,899.3,17.0,19.8,-2.8,14.2,17.3,-3.1,2.8,2.5,0.3
1969,982.3,19.0,18.7,0.3,16.1,16.1,-0.1,2.9,2.6,0.4
1970,"1,049.1",18.4,18.6,-0.3,15.2,16.0,-0.8,3.2,2.6,0.6
1971,"1,119.3",16.7,18.8,-2.1,13.5,15.8,-2.3,3.2,2.9,0.3
1972,"1,219.5",17.0,18.9,-1.9,13.7,15.9,-2.1,3.3,3.1,0.2
1973,"1,356.0",17.0,18.1,-1.1,13.6,14.7,-1.1,3.4,3.4,*
1974,"1,486.2",17.7,18.1,-0.4,14.1,14.6,-0.5,3.6,3.6,0.1
1975,"1,610.6",17.3,20.6,-3.3,13.5,16.8,-3.4,3.9,3.8,0.1
1976,"1,790.3",16.6,20.8,-4.1,12.9,16.8,-3.9,3.7,3.9,-0.2
TQ,472.6,17.2,20.3,-3.1,13.4,16.4,-3.0,3.8,4.0,-0.1
1977,"2,028.4",17.5,20.2,-2.6,13.7,16.2,-2.5,3.8,4.0,-0.2
1978,"2,278.2",17.5,20.1,-2.6,13.8,16.2,-2.4,3.7,3.9,-0.2
1979,"2,570.0",18.0,19.6,-1.6,14.2,15.8,-1.5,3.8,3.9,−*
1980,"2,796.8",18.5,21.1,-2.6,14.4,17.1,-2.6,4.0,4.1,−*
1981,"3,138.4",19.1,21.6,-2.5,14.9,17.3,-2.4,4.1,4.3,-0.2
1982,"3,313.9",18.6,22.5,-3.9,14.3,18.0,-3.6,4.3,4.6,-0.2
1983,"3,541.1",17.0,22.8,-5.9,12.8,18.7,-5.9,4.2,4.2,−*
1984,"3,952.8",16.9,21.5,-4.7,12.7,17.3,-4.7,4.2,4.2,−*
1985,"4,270.4",17.2,22.2,-5.0,12.8,18.0,-5.2,4.4,4.1,0.2
1986,"4,536.1",17.0,21.8,-4.9,12.5,17.8,-5.2,4.4,4.0,0.4
1987,"4,781.9",17.9,21.0,-3.1,13.4,16.9,-3.5,4.5,4.1,0.4
1988,"5,155.1",17.6,20.6,-3.0,13.0,16.7,-3.7,4.7,4.0,0.7
1989,"5,570.0",17.8,20.5,-2.7,13.1,16.7,-3.7,4.7,3.8,0.9
1990,"5,914.6",17.4,21.2,-3.7,12.7,17.4,-4.7,4.8,3.8,1.0
1991,"6,110.1",17.3,21.7,-4.4,12.5,17.7,-5.3,4.8,4.0,0.9
1992,"6,434.7",17.0,21.5,-4.5,12.3,17.5,-5.3,4.7,3.9,0.8
1993,"6,794.9",17.0,20.7,-3.8,12.4,16.8,-4.4,4.6,3.9,0.7
1994,"7,197.8",17.5,20.3,-2.8,12.8,16.4,-3.6,4.7,3.9,0.8
1995,"7,583.4",17.8,20.0,-2.2,13.2,16.2,-3.0,4.6,3.8,0.8
1996,"7,978.3",18.2,19.6,-1.3,13.6,15.8,-2.2,4.6,3.8,0.8
1997,"8,483.2",18.6,18.9,-0.3,14.0,15.2,-1.2,4.6,3.7,1.0
