Fiscal_Year,Total_Receipts,Federal_Funds_Receipts,Trust_Funds_Receipts,Interfund_Transactions_Receipts,Total_Outlays,Federal_Funds_Outlays,Trust_Funds_Outlays,Interfund_Transactions_Outlays,Total_Surplus_or_Deficit,Federal_Funds_Surplus_or_Deficit,Trust_Funds_Surplus_or_Deficit
1934,"2,955","2,926",72,-42,"6,541","6,558",25,-42,"-3,586","-3,633",47
1935,"3,609","3,578",76,-45,"6,412","6,427",30,-45,"-2,803","-2,849",46
1936,"3,923","3,871",168,-116,"8,228","8,335",9,-116,"-4,304","-4,464",159
1937,"5,387","4,794",691,-99,"7,580","7,620",58,-99,"-2,193","-2,826",633
1938,"6,751","5,477","1,474",-201,"6,840","6,689",351,-201,-89,"-1,212","1,124"
1939,"6,295","4,822","1,657",-184,"9,141","8,718",607,-184,"-2,846","-3,896","1,051"
1940,"6,548","4,929","1,845",-225,"9,468","8,974",720,-225,"-2,920","-4,045","1,125"
1941,"8,712","6,900","2,090",-277,"13,653","13,260",671,-277,"-4,941","-6,360","1,419"
1942,"14,634","12,336","2,613",-315,"35,137","34,831",620,-315,"-20,503","-22,496","1,992"
1943,"24,001","21,117","3,279",-395,"78,555","78,765",185,-395,"-54,554","-57,648","3,094"
1944,"43,747","40,466","3,896",-615,"91,304","92,284",-365,-615,"-47,557","-51,818","4,261"
1945,"45,159","41,875","5,045","-1,760","92,712","94,846",-374,"-1,760","-47,553","-52,972","5,419"
1946,"39,296","36,357","5,144","-2,205","55,232","56,204","1,234","-2,205","-15,936","-19,847","3,910"
1947,"38,514","35,380","4,885","-1,751","34,496","34,803","1,444","-1,751","4,018",577,"3,441"
1948,"41,560","37,822","4,894","-1,156","29,764","28,988","1,932","-1,156","11,796","8,834","2,962"
1949,"39,415","35,849","4,750","-1,184","38,835","37,686","2,333","-1,184",580,"-1,838","2,417"
1950,"39,443","35,334","5,823","-1,715","42,562","38,389","5,888","-1,715","-3,119","-3,055",-65
1951,"51,616","46,183","6,729","-1,296","45,514","43,732","3,078","-1,296","6,102","2,451","3,651"
1952,"66,167","59,989","7,744","-1,566","67,686","64,994","4,257","-1,566","-1,519","-5,005","3,486"
1953,"69,608","63,085","8,080","-1,557","76,101","73,006","4,652","-1,557","-6,493","-9,921","3,427"
1954,"69,701","62,774","8,297","-1,370","70,855","65,924","6,301","-1,370","-1,154","-3,151","1,997"
1955,"65,451","58,168","8,627","-1,344","68,444","62,341","7,447","-1,344","-2,993","-4,173","1,180"
1956,"74,587","65,594","10,745","-1,753","70,640","64,281","8,111","-1,753","3,947","1,313","2,634"
1957,"79,990","68,847","13,210","-2,067","76,578","67,189","11,456","-2,067","3,412","1,657","1,755"
1958,"79,636","66,720","15,082","-2,166","82,405","69,737","14,834","-2,166","-2,769","-3,017",248
1959,"79,249","65,800","15,770","-2,321","92,098","77,071","17,348","-2,321","-12,849","-11,271","-1,578"
