Fiscal_Year,Total_In_Millions_of_Dollars,Direct_In_Millions_of_Dollars,Grants_In_Millions_of_Dollars,Total_As_Percentages_of_Total_Outlays,Direct_As_Percentages_of_Total_Outlays,Grants_As_Percentages_of_Total_Outlays,Total_As_Percentages_of_GDP,Direct_As_Percentages_of_GDP,Grants_As_Percentages_of_GDP,Total_In_Billions_of_Constant_FY_2009_Dollars,Direct_In_Billions_of_Constant_FY_2009_Dollars,Grants_In_Billions_of_Constant_FY_2009_Dollars
1940,"2,071","1,774",298,21.9,18.7,3.1,2.1,1.8,0.3,26.3,22.5,3.8
1941,"2,460","2,104",356,18.0,15.4,2.6,2.1,1.8,0.3,30.2,25.8,4.4
1942,"2,456","2,046",410,7.0,5.8,1.2,1.7,1.4,0.3,27.5,22.9,4.6
1943,"2,414","1,984",430,3.1,2.5,0.5,1.3,1.1,0.2,24.4,20.1,4.3
1944,"2,331","1,822",509,2.6,2.0,0.6,1.1,0.9,0.2,22.0,17.2,4.8
1945,"2,387","1,894",493,2.6,2.0,0.5,1.1,0.8,0.2,21.4,17.0,4.4
1946,"5,828","5,309",518,10.6,9.6,0.9,2.6,2.3,0.2,49.6,45.1,4.4
1947,"9,691","8,560","1,131",28.1,24.8,3.3,4.1,3.6,0.5,76.7,67.7,9.0
1948,"8,982","8,101",881,30.2,27.2,3.0,3.4,3.1,0.3,65.1,58.7,6.4
1949,"9,903","8,851","1,052",25.5,22.8,2.7,3.6,3.2,0.4,69.8,62.4,7.4
1950,"13,508","12,192","1,316",31.7,28.6,3.1,4.8,4.4,0.5,96.5,87.1,9.4
1951,"10,411","8,979","1,432",22.9,19.7,3.1,3.2,2.7,0.4,70.4,60.7,9.7
1952,"11,098","9,648","1,450",16.4,14.3,2.1,3.1,2.7,0.4,72.2,62.8,9.5
1953,"11,054","9,454","1,600",14.5,12.4,2.1,2.9,2.5,0.4,70.9,60.6,10.3
1954,"12,259","10,557","1,702",17.3,14.9,2.4,3.2,2.7,0.4,77.6,66.8,10.8
1955,"14,163","12,465","1,698",20.7,18.2,2.5,3.5,3.1,0.4,89.7,78.9,10.8
1956,"15,216","13,485","1,731",21.5,19.1,2.5,3.5,3.1,0.4,95.2,84.4,10.8
1957,"17,091","15,215","1,876",22.3,19.9,2.4,3.7,3.3,0.4,104.0,92.5,11.4
1958,"20,959","18,728","2,232",25.4,22.7,2.7,4.4,3.9,0.5,123.9,110.7,13.2
1959,"22,844","20,332","2,512",24.8,22.1,2.7,4.5,4.0,0.5,133.1,118.5,14.6
1960,"24,258","21,632","2,625",26.3,23.5,2.8,4.5,4.0,0.5,138.8,123.8,15.0
1961,"27,638","24,862","2,775",28.3,25.4,2.8,5.0,4.5,0.5,156.0,140.3,15.7
1962,"29,426","26,311","3,114",27.5,24.6,2.9,5.0,4.5,0.5,164.5,147.1,17.4
1963,"31,592","28,128","3,464",28.4,25.3,3.1,5.1,4.5,0.6,174.6,155.4,19.2
1964,"32,821","29,072","3,748",27.7,24.5,3.2,5.0,4.4,0.6,178.9,158.4,20.4
1965,"33,441","29,527","3,914",28.3,25.0,3.3,4.7,4.2,0.6,179.6,158.6,21.0
1966,"37,629","33,126","4,503",28.0,24.6,3.3,4.8,4.2,0.6,198.6,174.8,23.8
1967,"43,845","38,817","5,028",27.8,24.7,3.2,5.2,4.6,0.6,225.3,199.5,25.8
1968,"50,498","44,152","6,346",28.3,24.8,3.6,5.6,4.9,0.7,251.7,220.1,31.7
1969,"57,842","50,318","7,524",31.5,27.4,4.1,5.9,5.1,0.8,276.6,240.6,36.0
1970,"65,372","56,299","9,074",33.4,28.8,4.6,6.2,5.4,0.9,298.4,257.0,41.4
1971,"80,925","70,083","10,841",38.5,33.3,5.2,7.2,6.3,1.0,353.6,306.2,47.4
1972,"93,281","79,022","14,259",40.4,34.3,6.2,7.6,6.5,1.2,392.5,332.4,60.0
1973,"104,887","90,726","14,161",42.7,36.9,5.8,7.7,6.7,1.0,425.4,367.9,57.4
1974,"121,020","105,891","15,129",44.9,39.3,5.6,8.1,7.1,1.0,454.3,397.5,56.8
1975,"154,717","137,568","17,149",46.6,41.4,5.2,9.6,8.5,1.1,526.3,467.9,58.3
1976,"181,795","161,231","20,563",48.9,43.4,5.5,10.2,9.0,1.1,580.5,514.8,65.7
TQ,"45,781","40,569","5,212",47.7,42.3,5.4,9.7,8.6,1.1,141.7,125.6,16.1
1977,"198,048","174,700","23,348",48.4,42.7,5.7,9.8,8.6,1.2,588.2,518.9,69.4
1978,"213,026","187,738","25,288",46.4,40.9,5.5,9.4,8.2,1.1,592.8,522.4,70.4
1979,"236,125","208,059","28,066",46.8,41.3,5.6,9.2,8.1,1.1,606.6,534.4,72.1
1980,"280,404","247,320","33,084",47.5,41.9,5.6,10.0,8.8,1.2,651.7,574.8,76.9
1981,"328,516","289,497","39,019",48.4,42.7,5.8,10.5,9.2,1.2,696.0,613.3,82.7
1982,"361,384","321,718","39,666",48.5,43.1,5.3,10.9,9.7,1.2,721.2,642.0,79.2
1983,"401,567","358,076","43,491",49.7,44.3,5.4,11.3,10.1,1.2,766.2,683.2,83.0
1984,"413,337","366,793","46,544",48.5,43.1,5.5,10.5,9.3,1.2,759.3,673.8,85.5
1985,"452,028","401,304","50,723",47.8,42.4,5.4,10.6,9.4,1.2,802.1,712.0,90.0
1986,"458,280","403,205","55,075",46.3,40.7,5.6,10.1,8.9,1.2,792.4,697.1,95.3
1987,"479,078","420,493","58,585",47.7,41.9,5.8,10.0,8.8,1.2,807.8,709.0,98.8
1988,"510,022","446,524","63,498",47.9,42.0,6.0,9.9,8.7,1.2,828.7,725.5,103.3
1989,"545,753","476,898","68,855",47.7,41.7,6.0,9.8,8.6,1.2,849.6,742.3,107.4
1990,"592,381","513,503","78,878",47.3,41.0,6.3,10.0,8.7,1.3,886.6,768.3,118.3
1991,"659,399","564,614","94,786",49.8,42.6,7.2,10.8,9.2,1.6,949.7,812.9,136.9
1992,"738,568","623,708","114,860",53.5,45.1,8.3,11.5,9.7,1.8,"1,037.0",875.3,161.7
1993,"795,409","668,106","127,303",56.4,47.4,9.0,11.7,9.8,1.9,"1,088.8",914.0,174.9
1994,"834,908","695,732","139,176",57.1,47.6,9.5,11.6,9.7,1.9,"1,119.5",932.0,187.5
1995,"888,447","738,185","150,262",58.6,48.7,9.9,11.7,9.7,2.0,"1,166.3",968.1,198.2
1996,"920,444","767,721","152,723",59.0,49.2,9.8,11.5,9.6,1.9,"1,184.5",987.0,197.4
1997,"964,107","808,024","156,083",60.2,50.5,9.7,11.4,9.5,1.8,"1,216.4","1,018.6",197.8
1998,"992,466","825,250","167,216",60.1,49.9,10.1,11.1,9.2,1.9,"1,240.6","1,030.9",209.7
1999,"1,013,390","833,948","179,442",59.5,49.0,10.5,10.7,8.8,1.9,"1,252.3","1,029.9",222.4
2000,"1,067,379","876,647","190,732",59.7,49.0,10.7,10.5,8.6,1.9,"1,288.6","1,057.6",231.0
2001,"1,141,451","929,325","212,126",61.3,49.9,11.4,10.8,8.8,2.0,"1,348.2","1,096.9",251.2
2002,"1,258,483","1,022,378","236,105",62.6,50.8,11.7,11.6,9.4,2.2,"1,468.8","1,192.6",276.2
2003,"1,366,413","1,110,941","255,472",63.3,51.4,11.8,12.1,9.8,2.3,"1,563.4","1,270.4",293.0
2004,"1,420,535","1,149,475","271,060",62.0,50.1,11.8,11.8,9.5,2.2,"1,590.8","1,286.6",304.2
2005,"1,512,621","1,229,681","282,940",61.2,49.7,11.4,11.7,9.5,2.2,"1,647.7","1,339.1",308.7
2006,"1,612,580","1,330,798","281,782",60.7,50.1,10.6,11.8,9.7,2.1,"1,705.2","1,406.9",298.3
2007,"1,702,222","1,408,753","293,469",62.4,51.6,10.8,11.9,9.8,2.0,"1,762.5","1,458.5",304.0
2008,"1,842,427","1,532,439","309,988",61.8,51.4,10.4,12.5,10.4,2.1,"1,842.6","1,532.4",310.1
2009,"2,113,057","1,746,996","366,061",60.1,49.7,10.4,14.7,12.1,2.5,"2,113.1","1,747.0",366.1
2010,"2,307,040","1,907,827","399,213",66.7,55.2,11.5,15.6,12.9,2.7,"2,270.2","1,877.2",393.0
2011,"2,368,046","1,967,785","400,261",65.7,54.6,11.1,15.4,12.8,2.6,"2,283.0","1,897.0",386.0
2012,"2,316,868","1,949,084","367,784",65.5,55.1,10.4,14.5,12.2,2.3,"2,188.0","1,840.7",347.4
2013,"2,406,345","2,024,888","381,457",69.7,58.6,11.0,14.5,12.2,2.3,"2,241.2","1,885.9",355.3
2014,"2,508,868","2,091,993","416,875",71.6,59.7,11.9,14.5,12.1,2.4,"2,302.1","1,919.6",382.5
2015 estimate,"2,667,571","2,213,308","454,263",71.0,58.9,12.1,14.8,12.3,2.5,"2,416.5","2,005.0",411.5
2016 estimate,"2,826,615","2,342,910","483,705",70.7,58.6,12.1,15.0,12.4,2.6,"2,512.7","2,082.8",429.9
2017 estimate,"2,934,870","2,432,789","502,081",69.6,57.7,11.9,14.9,12.3,2.5,"2,555.3","2,118.2",437.0
2018 estimate,"3,052,158","2,527,493","524,665",69.0,57.1,11.9,14.8,12.3,2.5,"2,600.1","2,153.3",446.9
2019 estimate,"3,262,285","2,712,005","550,280",70.1,58.3,11.8,15.1,12.6,2.6,"2,716.6","2,258.5",458.1
2020 estimate,"3,428,638","2,864,305","564,333",70.2,58.6,11.5,15.3,12.7,2.5,"2,791.0","2,331.7",459.2
