Type,Category,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Direct Payments for Individuals,050 National Defense,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,44,89,91,44,30,22,21,19,18,52,549,481,432,720,913,"1,034","1,123","1,095","1,134","1,309","1,246","1,328","1,142","1,319","1,278","1,227","1,187","1,152","1,118"
Direct Payments for Individuals,150 International affairs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,46,102,125,138,137,143,145,150,169,212,239,302,280,248,252,273,304,300,362,371,405,402,420,449,502,504,582,642,643,633,606,700,808,626,640,651,657
Direct Payments for Individuals,300 Natural resources and environment,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,5,11,8,7,6,5,2,1,1,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Direct Payments for Individuals,350 Agriculture,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,7,2,1,..........,..........,..........,1,1,..........,"2,316",116,266,22,2,2,2,2,2,..........,..........,..........,..........
Direct Payments for Individuals,400 Transportation,3,3,4,4,4,5,5,9,11,12,13,16,16,18,18,20,24,25,26,28,29,30,31,32,34,37,41,45,48,53,59,65,71,76,86,105,122,33,140,156,174,207,239,258,292,311,299,336,350,360,386,402,457,461,505,512,547,569,623,647,669,713,770,808,812,862,939,985,"1,076","1,153","1,263","1,287","1,399","1,301","1,441","1,493","1,433","1,734","1,685","1,734","1,806","1,958"
Direct Payments for Individuals,"500 Education, training, employment, and social services",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,45,226,460,570,503,904,"1,067","1,199","1,054","1,582","2,349",590,"2,637","3,004","3,706","5,011","6,087","5,701","6,550","6,921","7,623","7,828","7,264","7,935","9,695","10,223","11,061","10,258","13,161","6,912","13,003","11,050","11,192","11,040","9,719","8,901","7,987","14,759","20,265","22,870","28,402","47,867","27,012","26,886","25,683","46,132","46,792","48,417","44,228","55,738","68,950","37,214","39,989","42,921","43,387","43,919"
Direct Payments for Individuals,550 Health,10,10,11,14,18,20,22,22,24,37,45,50,54,61,65,66,75,89,102,113,119,127,152,161,188,205,249,309,255,332,420,556,571,658,686,"1,015","1,098",289,"1,289","1,416","1,575","2,075","2,075","2,746","2,817","2,538","2,669","2,058","2,682","3,425","3,821","4,316","5,093","6,130","7,186","7,868","7,441","7,156","8,764","8,381","9,220","10,467","11,978","12,658","18,229","19,777","20,578","22,083","22,871","24,086","26,109","31,809","34,943","34,391","32,813","46,456","67,969","85,820","97,612","119,937","132,577","143,097"
Direct Payments for Individuals,570 Medicare,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"3,172","5,126","6,299","6,784","7,478","8,364","9,040","10,680","14,121","16,942","4,584","20,779","24,275","28,160","33,954","41,267","49,167","55,499","60,951","69,649","74,184","79,913","85,704","94,299","107,410","114,219","129,411","143,147","159,542","177,074","191,265","207,308","210,327","208,470","215,145","236,882","252,674","273,060","295,920","331,280","372,375","426,893","445,830","488,349","510,467","548,466","537,624","567,947","584,999","612,842","672,073","685,515","701,203","774,455","832,049"
Direct Payments for Individuals,600 Income security,"1,171","1,458","1,365","1,252",959,616,"1,821","1,942","1,626","2,087","2,797","1,995","2,300","2,296","2,764","3,416","3,137","3,598","5,296","5,343","4,794","6,900","6,187","6,655","6,622","6,160","6,198","6,710","7,602","8,363","9,945","15,937","18,618","19,394","24,867","40,534","49,590","11,564","48,057","47,355","51,796","67,638","78,754","85,695","99,197","94,079","107,977","95,220","97,565","102,314","107,783","115,127","134,856","157,358","165,441","165,894","168,562","173,399","177,313","176,419","174,852","186,930","195,102","234,825","267,864","248,692","257,413","266,009","274,703","333,765","431,874","508,798","486,226","437,454","433,981","411,945","415,723","434,210","440,138","436,586","455,948","463,952"
Direct Payments for Individuals,650 Social security,16,64,110,149,185,240,321,426,512,607,727,"1,498","1,982","2,627","3,275","4,333","5,361","6,515","8,043","9,510","11,395","12,203","14,050","15,459","16,250","17,081","20,264","21,293","23,299","26,705","29,651","35,132","39,364","48,176","54,990","63,558","72,702","19,458","83,698","92,447","102,594","117,065","137,881","153,917","168,513","176,053","186,432","196,547","205,105","216,808","230,138","246,350","266,482","284,918","301,643","316,676","332,985","346,820","362,058","375,830","386,686","405,867","429,181","451,886","470,191","491,263","518,106","548,880","580,811","611,349","676,858","700,050","724,151","767,069","807,249","844,342","890,254","937,675","991,074","1,050,630","1,114,225","1,181,519"
