Group,Program,Total_ 1940,Direct_ 1940,Grants_ 1940,Total_1941,Direct_1941,Grants_1941,Total_ 1942,Direct_ 1942,Grants_ 1942,Total_ 1943,Direct_ 1943,Grants_ 1943,Total_ 1944,Direct_ 1944,Grants_ 1944,Total_1945,Direct_1945,Grants_1945,Total_1946,Direct_1946,Grants_1946,Total_1947,Direct_1947,Grants_1947,Total_1948,Direct_1948,Grants_1948,Total_1949,Direct_1949,Grants_1949,Total_1950,Direct_1950,Grants_1950,Total_1951,Direct_1951,Grants_1951,Total_1952,Direct_1952,Grants_1952,Total_1953,Direct_1953,Grants_1953,Total_1954,Direct_1954,Grants_1954,Total_1955,Direct_1955,Grants_1955,Total_1956,Direct_1956,Grants_1956,Total_1957,Direct_1957,Grants_1957,Total_1958,Direct_1958,Grants_1958,Total_1959,Direct_1959,Grants_1959,Total_1960,Direct_1960,Grants_1960,Total_1961,Direct_1961,Grants_1961,Total_1962,Direct_1962,Grants_1962,Total_1963,Direct_1963,Grants_1963,Total_1964,Direct_1964,Grants_1964,Total_1965,Direct_1965,Grants_1965,Total_1966,Direct_1966,Grants_1966,Total_1967,Direct_1967,Grants_1967,Total_1968,Direct_1968,Grants_1968,Total_1969,Direct_1969,Grants_1969,Total_1970,Direct_1970,Grants_1970,Total_1971,Direct_1971,Grants_1971,Total_1972,Direct_1972,Grants_1972,Total_1973,Direct_1973,Grants_1973,Total_1974,Direct_1974,Grants_1974,Total_1975,Direct_1975,Grants_1975,Total_1976,Direct_1976,Grants_1976,Total_TQ,Direct_TQ,Grants_TQ,Total_1977,Direct_1977,Grants_1977,Total_1978,Direct_1978,Grants_1978,Total_1979,Direct_1979,Grants_1979,Total_1980,Direct_1980,Grants_1980,Total_1981,Direct_1981,Grants_1981,Total_1982,Direct_1982,Grants_1982,Total_1983,Direct_1983,Grants_1983,Total_1984,Direct_1984,Grants_1984,Total_1985,Direct_1985,Grants_1985,Total_1986,Direct_1986,Grants_1986,Total_1987,Direct_1987,Grants_1987,Total_1988,Direct_1988,Grants_1988,Total_1989,Direct_1989,Grants_1989,Total_v,Direct_1990,Grants_1990,Total_1991,Direct_1991,Grants_1991,Total_1992,Direct_1992,Grants_1992,Total_1993,Direct_1993,Grants_1993,Total_1994,Direct_1994,Grants_1994,Total_1995,Direct_1995,Grants_1995,Total_1996,Direct_1996,Grants_1996,Total_1997,Direct_1997,Grants_1997,Total_1998,Direct_1998,Grants_1998,Total_1999,Direct_1999,Grants_1999,Total_2000,Direct_2000,Grants_2000,Total_2001,Direct_2001,Grants_2001,Total_2002,Direct_2002,Grants_2002,Total_2003,Direct_2003,Grants_2003,Total_2004,Direct_2004,Grants_2004,Total_2005,Direct_2005,Grants_2005,Total_2006,Direct_2006,Grants_2006,Total_2007,Direct_2007,Grants_2007,Total_2008,Direct_2008,Grants_2008,Total_2009,Direct_2009,Grants_2009,Total_2010,Direct_2010,Grants_2010,Total_2011,Direct_2011,Grants_2011,Total_2012,Direct_2012,Grants_2012,Total_2013,Direct_2013,Grants_2013,Total_2014,Direct_2014,Grants_2014,Total_2015_estimate,Direct_2015_estimate,Grants_2015_estimate,Total_2016_estimate,Direct_2016_estimate,Grants_2016_estimate,Total_2017_estimate,Direct_2017_estimate,Grants_2017_estimate,Total_2018_estimate,Direct_2018_estimate,Grants_2018_estimate,Total_2019_estimate,Direct_2019_estimate,Grants_2019_estimate,Total_2020_estimate,Direct_2020_estimate,Grants_2020_estimate
Social security and railroad retirement,Social security: old age and survivors insurance,16,16,..........,64,64,..........,110,110,..........,149,149,..........,185,185,..........,240,240,..........,321,321,..........,426,426,..........,512,512,..........,607,607,..........,727,727,..........,"1,498","1,498",..........,"1,982","1,982",..........,"2,627","2,627",..........,"3,275","3,275",..........,"4,333","4,333",..........,"5,361","5,361",..........,"6,515","6,515",..........,"7,875","7,875",..........,"9,171","9,171",..........,"10,867","10,867",..........,"11,494","11,494",..........,"13,027","13,027",..........,"14,268","14,268",..........,"14,981","14,981",..........,"15,665","15,665",..........,"18,516","18,516",..........,"19,395","19,395",..........,"21,175","21,175",..........,"24,225","24,225",..........,"26,846","26,846",..........,"31,716","31,716",..........,"35,266","35,266",..........,"42,956","42,956",..........,"48,760","48,760",..........,"55,828","55,828",..........,"63,361","63,361",..........,"16,876","16,876",..........,"72,486","72,486",..........,"80,119","80,119",..........,"89,052","89,052",..........,"102,067","102,067",..........,"121,003","121,003",..........,"136,454","136,454",..........,"150,893","150,893",..........,"158,256","158,256",..........,"167,732","167,732",..........,"176,949","176,949",..........,"184,612","184,612",..........,"195,331","195,331",..........,"207,493","207,493",..........,"221,926","221,926",..........,"239,495","239,495",..........,"254,466","254,466",..........,"267,934","267,934",..........,"279,710","279,710",..........,"292,669","292,669",..........,"303,539","303,539",..........,"316,568","316,568",..........,"327,936","327,936",..........,"336,064","336,064",..........,"351,432","351,432",..........,"370,950","370,950",..........,"387,463","387,463",..........,"400,179","400,179",..........,"414,788","414,788",..........,"433,956","433,956",..........,"457,726","457,726",..........,"483,320","483,320",..........,"506,625","506,625",..........,"561,370","561,370",..........,"576,578","576,578",..........,"595,619","595,619",..........,"631,362","631,362",..........,"667,165","667,165",..........,"702,494","702,494",..........,"744,756","744,756",..........,"789,106","789,106",..........,"837,821","837,821",..........,"892,889","892,889",..........,"951,514","951,514",..........,"1,013,150","1,013,150",..........
Social security and railroad retirement,Social security: disability insurance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,168,168,..........,339,339,..........,528,528,..........,709,709,..........,"1,022","1,022",..........,"1,190","1,190",..........,"1,269","1,269",..........,"1,416","1,416",..........,"1,748","1,748",..........,"1,898","1,898",..........,"2,124","2,124",..........,"2,480","2,480",..........,"2,805","2,805",..........,"3,416","3,416",..........,"4,098","4,098",..........,"5,221","5,221",..........,"6,230","6,230",..........,"7,729","7,729",..........,"9,341","9,341",..........,"2,582","2,582",..........,"11,212","11,212",..........,"12,328","12,328",..........,"13,542","13,542",..........,"14,998","14,998",..........,"16,879","16,879",..........,"17,463","17,463",..........,"17,620","17,620",..........,"17,797","17,797",..........,"18,700","18,700",..........,"19,598","19,598",..........,"20,492","20,492",..........,"21,477","21,477",..........,"22,644","22,644",..........,"24,423","24,423",..........,"26,987","26,987",..........,"30,452","30,452",..........,"33,709","33,709",..........,"36,966","36,966",..........,"40,316","40,316",..........,"43,281","43,281",..........,"45,490","45,490",..........,"47,894","47,894",..........,"50,622","50,622",..........,"54,435","54,435",..........,"58,231","58,231",..........,"64,424","64,423",1,"70,014","70,012",2,"76,478","76,475",3,"84,152","84,150",2,"91,163","91,154",9,"97,507","97,491",16,"104,747","104,724",23,"115,533","115,488",45,"123,500","123,472",28,"128,559","128,532",27,"135,736","135,707",29,"140,106","140,084",22,"141,864","141,848",16,"145,510","145,498",12,"148,578","148,569",9,"153,262","153,253",9,"157,751","157,741",10,"162,721","162,711",10,"168,379","168,369",10
Social security and railroad retirement,Railroad retirement (excl. social security),113,113,..........,121,121,..........,126,126,..........,130,130,..........,134,134,..........,141,141,..........,152,152,..........,173,173,..........,222,222,..........,278,278,..........,300,300,..........,317,317,..........,385,385,..........,459,459,..........,496,496,..........,579,579,..........,604,604,..........,675,675,..........,721,721,..........,644,644,..........,343,343,..........,645,645,..........,652,652,..........,622,622,..........,671,671,..........,657,657,..........,725,725,..........,719,719,..........,930,930,..........,"1,020","1,020",..........,"1,002","1,002",..........,"1,272","1,272",..........,"1,371","1,371",..........,"1,622","1,622",..........,"1,723","1,723",..........,"3,720","3,720",..........,"2,226","2,226",..........,912,912,..........,"2,560","2,560",..........,"2,332","2,332",..........,"2,767","2,767",..........,"3,268","3,268",..........,"3,643","3,643",..........,"3,907","3,907",..........,"4,924","4,924",..........,"4,230","4,230",..........,"5,892","5,892",..........,"5,799","5,799",..........,"6,321","6,321",..........,"6,412","6,412",..........,"6,755","6,755",..........,"6,972","6,972",..........,"6,887","6,887",..........,"7,448","7,448",..........,"7,535","7,535",..........,"7,621","7,621",..........,"7,225","7,225",..........,"4,846","4,846",..........,"4,702","4,702",..........,"4,686","4,686",..........,"4,668","4,668",..........,"4,818","4,818",..........,"5,346","5,346",..........,"6,722","6,722",..........,"24,498","24,498",..........,"5,929","5,929",..........,"5,417","5,417",..........,"5,763","5,763",..........,"5,955","5,955",..........,"6,169","6,169",..........,"6,661","6,661",..........,"6,537","6,537",..........,"6,506","6,506",..........,"6,810","6,810",..........,"7,259","7,259",..........,"8,803","8,803",..........,"9,294","9,294",..........,"9,278","9,278",..........,"9,593","9,593",..........,"9,546","9,546",..........,"9,718","9,718",..........,"10,148","10,148",..........
Social security and railroad retirement,"Total, Social security and railroad retirement",129,129,..........,186,186,..........,237,237,..........,280,280,..........,319,319,..........,381,381,..........,472,472,..........,599,599,..........,734,734,..........,885,885,..........,"1,027","1,027",..........,"1,815","1,815",..........,"2,367","2,367",..........,"3,087","3,087",..........,"3,771","3,771",..........,"4,912","4,912",..........,"5,965","5,965",..........,"7,190","7,190",..........,"8,764","8,764",..........,"10,153","10,153",..........,"11,738","11,738",..........,"12,848","12,848",..........,"14,702","14,702",..........,"16,080","16,080",..........,"16,920","16,920",..........,"17,738","17,738",..........,"20,989","20,989",..........,"22,011","22,011",..........,"24,229","24,229",..........,"27,725","27,725",..........,"30,654","30,654",..........,"36,404","36,404",..........,"40,735","40,735",..........,"49,799","49,799",..........,"56,712","56,712",..........,"67,277","67,277",..........,"74,929","74,929",..........,"20,371","20,371",..........,"86,258","86,258",..........,"94,779","94,779",..........,"105,361","105,361",..........,"120,333","120,333",..........,"141,524","141,524",..........,"157,823","157,823",..........,"173,437","173,437",..........,"180,283","180,283",..........,"192,324","192,324",..........,"202,347","202,347",..........,"211,426","211,426",..........,"223,219","223,219",..........,"236,893","236,893",..........,"253,322","253,322",..........,"273,369","273,369",..........,"292,366","292,366",..........,"309,178","309,178",..........,"324,297","324,297",..........,"340,210","340,210",..........,"351,666","351,666",..........,"366,760","366,760",..........,"380,516","380,516",..........,"391,354","391,354",..........,"410,685","410,685",..........,"434,527","434,527",..........,"458,609","458,608",1,"494,691","494,689",2,"497,195","497,192",3,"523,525","523,523",2,"554,652","554,643",9,"586,782","586,766",16,"617,541","617,518",23,"683,564","683,519",45,"706,615","706,587",28,"730,684","730,657",27,"773,908","773,879",29,"814,530","814,508",22,"853,161","853,145",16,"899,560","899,548",12,"946,962","946,953",9,"1,000,676","1,000,667",9,"1,060,186","1,060,176",10,"1,123,953","1,123,943",10,"1,191,677","1,191,667",10
Federal employees retirement and insurance,Military retirement,60,60,..........,65,65,..........,70,70,..........,75,75,..........,80,80,..........,85,85,..........,93,93,..........,122,122,..........,136,136,..........,162,162,..........,195,195,..........,324,324,..........,329,329,..........,358,358,..........,386,386,..........,419,419,..........,477,477,..........,511,511,..........,562,562,..........,641,641,..........,694,694,..........,786,786,..........,903,903,..........,"1,022","1,022",..........,"1,217","1,217",..........,"1,391","1,391",..........,"1,598","1,598",..........,"1,838","1,838",..........,"2,105","2,105",..........,"2,454","2,454",..........,"2,859","2,859",..........,"3,396","3,396",..........,"3,897","3,897",..........,"4,402","4,402",..........,"5,142","5,142",..........,"6,258","6,258",..........,"7,310","7,310",..........,"1,951","1,951",..........,"8,232","8,232",..........,"9,188","9,188",..........,"10,297","10,297",..........,"11,939","11,939",..........,"13,750","13,750",..........,"14,961","14,961",..........,"15,972","15,972",..........,"16,501","16,501",..........,"15,835","15,835",..........,"17,654","17,654",..........,"18,117","18,117",..........,"19,058","19,058",..........,"20,223","20,223",..........,"21,604","21,604",..........,"23,142","23,142",..........,"24,573","24,573",..........,"25,765","25,765",..........,"26,784","26,784",..........,"27,854","27,854",..........,"28,887","28,887",..........,"30,247","30,247",..........,"31,204","31,204",..........,"31,962","31,962",..........,"32,872","32,872",..........,"34,159","34,159",..........,"35,123","35,123",..........,"35,640","35,640",..........,"37,063","37,063",..........,"39,026","39,026",..........,"41,209","41,209",..........,"43,566","43,566",..........,"45,934","45,934",..........,"50,120","50,120",..........,"50,700","50,700",..........,"54,955","54,955",..........,"48,896","48,896",..........,"54,390","54,390",..........,"55,417","55,417",..........,"56,304","56,304",..........,"62,007","62,007",..........,"59,301","59,301",..........,"56,151","56,151",..........,"62,507","62,507",..........,"64,416","64,416",..........
Federal employees retirement and insurance,Civil service retirement,68,68,..........,74,74,..........,78,78,..........,85,85,..........,105,105,..........,154,154,..........,287,287,..........,296,296,..........,243,243,..........,220,220,..........,267,267,..........,269,269,..........,299,299,..........,361,361,..........,409,409,..........,428,428,..........,504,504,..........,588,588,..........,696,696,..........,783,783,..........,893,893,..........,951,951,..........,"1,060","1,060",..........,"1,178","1,178",..........,"1,320","1,320",..........,"1,440","1,440",..........,"1,687","1,687",..........,"1,962","1,962",..........,"2,136","2,136",..........,"2,403","2,403",..........,"2,746","2,746",..........,"3,228","3,228",..........,"3,772","3,772",..........,"4,515","4,515",..........,"5,661","5,661",..........,"7,048","7,048",..........,"8,267","8,267",..........,"2,261","2,261",..........,"9,531","9,531",..........,"10,867","10,867",..........,"12,369","12,369",..........,"14,662","14,662",..........,"17,597","17,597",..........,"19,405","19,405",..........,"20,717","20,717",..........,"21,813","21,813",..........,"23,012","23,012",..........,"23,942","23,942",..........,"25,713","25,713",..........,"28,047","28,047",..........,"29,134","29,134",..........,"31,036","31,036",..........,"33,195","33,195",..........,"33,550","33,550",..........,"34,804","34,804",..........,"36,268","36,268",..........,"38,341","38,341",..........,"39,694","39,694",..........,"41,632","41,632",..........,"42,973","42,973",..........,"43,859","43,859",..........,"45,099","45,099",..........,"47,276","47,276",..........,"48,872","48,872",..........,"50,282","50,282",..........,"52,157","52,157",..........,"54,695","54,695",..........,"57,855","57,855",..........,"60,899","60,899",..........,"63,526","63,526",..........,"67,568","67,568",..........,"69,450","69,450",..........,"70,426","70,426",..........,"73,953","73,953",..........,"77,243","77,243",..........,"79,543","79,543",..........,"82,052","82,052",..........,"84,370","84,370",..........,"86,163","86,163",..........,"88,937","88,937",..........,"91,894","91,894",..........,"94,897","94,897",..........
Federal employees retirement and insurance,Veterans service-connected compensation,244,244,..........,247,247,..........,246,246,..........,251,251,..........,365,365,..........,497,497,..........,942,942,..........,"1,400","1,400",..........,"1,434","1,434",..........,"1,467","1,467",..........,"1,533","1,533",..........,"1,516","1,516",..........,"1,545","1,545",..........,"1,713","1,713",..........,"1,731","1,731",..........,"1,828","1,828",..........,"1,864","1,864",..........,"1,876","1,876",..........,"2,024","2,024",..........,"2,071","2,071",..........,"2,049","2,049",..........,"2,034","2,034",..........,"2,019","2,019",..........,"2,118","2,118",..........,"2,159","2,159",..........,"2,177","2,177",..........,"2,222","2,222",..........,"2,311","2,311",..........,"2,469","2,469",..........,"2,663","2,663",..........,"2,980","2,980",..........,"3,360","3,360",..........,"3,496","3,496",..........,"3,843","3,843",..........,"3,990","3,990",..........,"4,697","4,697",..........,"5,173","5,173",..........,"1,325","1,325",..........,"5,735","5,735",..........,"6,173","6,173",..........,"6,756","6,756",..........,"7,446","7,446",..........,"8,438","8,438",..........,"9,289","9,289",..........,"9,857","9,857",..........,"9,973","9,973",..........,"10,243","10,243",..........,"10,442","10,442",..........,"10,516","10,516",..........,"11,268","11,268",..........,"11,669","11,669",..........,"10,735","10,735",..........,"12,153","12,153",..........,"12,658","12,658",..........,"13,399","13,399",..........,"15,117","15,117",..........,"14,842","14,842",..........,"14,247","14,247",..........,"16,242","16,242",..........,"17,151","17,151",..........,"17,994","17,994",..........,"20,777","20,777",..........,"18,587","18,587",..........,"22,429","22,429",..........,"24,705","24,705",..........,"26,307","26,307",..........,"30,888","30,888",..........,"31,000","31,000",..........,"31,064","31,064",..........,"36,266","36,266",..........,"40,490","40,490",..........,"43,498","43,498",..........,"52,780","52,780",..........,"50,058","50,058",..........,"59,393","59,393",..........,"64,360","64,360",..........,"71,023","71,023",..........,"81,762","81,762",..........,"85,896","85,896",..........,"84,681","84,681",..........,"97,138","97,138",..........,"102,948","102,948",..........
Federal employees retirement and insurance,Other,17,17,..........,16,16,..........,16,16,..........,16,16,..........,17,17,..........,18,18,..........,17,17,..........,25,25,..........,26,26,..........,27,27,..........,38,38,..........,44,44,..........,52,52,..........,61,61,..........,63,63,..........,71,71,..........,77,77,..........,84,84,..........,90,90,..........,103,103,..........,95,95,..........,99,99,..........,103,103,..........,110,110,..........,108,108,..........,106,106,..........,107,107,..........,121,121,..........,134,134,..........,149,149,..........,172,172,..........,203,203,..........,221,221,..........,240,240,..........,263,263,..........,385,385,..........,463,463,..........,129,129,..........,553,553,..........,483,483,..........,538,538,..........,661,661,..........,735,735,..........,816,816,..........,759,759,..........,825,825,..........,790,790,..........,942,942,..........,907,907,..........,970,970,..........,"1,132","1,132",..........,804,804,..........,"1,229","1,229",..........,"1,236","1,236",..........,"1,325","1,325",..........,"1,300","1,300",..........,"1,299","1,299",..........,"1,345","1,345",..........,"1,511","1,511",..........,"1,517","1,517",..........,"1,674","1,674",..........,"1,683","1,683",..........,"1,950","1,950",..........,"2,037","2,037",..........,"1,917","1,917",..........,"2,198","2,198",..........,"2,431","2,431",..........,"2,374","2,374",..........,"2,631","2,631",..........,"2,711","2,711",..........,"3,856","3,856",..........,"3,154","3,154",..........,"3,284","3,284",..........,"3,104","3,104",..........,"3,207","3,207",..........,"3,417","3,417",..........,"3,604","3,604",..........,"3,914","3,914",..........,"3,948","3,948",..........,"4,021","4,021",..........,"4,172","4,172",..........,"4,392","4,392",..........
Federal employees retirement and insurance,"Total, Federal employees retirement and insurance",389,389,..........,402,402,..........,410,410,..........,428,428,..........,567,567,..........,754,754,..........,"1,340","1,340",..........,"1,844","1,844",..........,"1,839","1,839",..........,"1,877","1,877",..........,"2,032","2,032",..........,"2,153","2,153",..........,"2,225","2,225",..........,"2,493","2,493",..........,"2,589","2,589",..........,"2,746","2,746",..........,"2,922","2,922",..........,"3,059","3,059",..........,"3,372","3,372",..........,"3,597","3,597",..........,"3,730","3,730",..........,"3,871","3,871",..........,"4,085","4,085",..........,"4,427","4,427",..........,"4,803","4,803",..........,"5,114","5,114",..........,"5,615","5,615",..........,"6,232","6,232",..........,"6,844","6,844",..........,"7,670","7,670",..........,"8,757","8,757",..........,"10,188","10,188",..........,"11,386","11,386",..........,"12,999","12,999",..........,"15,056","15,056",..........,"18,388","18,388",..........,"21,214","21,214",..........,"5,665","5,665",..........,"24,051","24,051",..........,"26,711","26,711",..........,"29,960","29,960",..........,"34,709","34,709",..........,"40,521","40,521",..........,"44,472","44,472",..........,"47,304","47,304",..........,"49,113","49,113",..........,"49,880","49,880",..........,"52,979","52,979",..........,"55,253","55,253",..........,"59,343","59,343",..........,"62,158","62,158",..........,"64,179","64,179",..........,"69,720","69,720",..........,"72,018","72,018",..........,"75,293","75,293",..........,"79,470","79,470",..........,"82,336","82,336",..........,"84,173","84,173",..........,"89,632","89,632",..........,"92,845","92,845",..........,"95,489","95,489",..........,"100,431","100,431",..........,"101,972","101,972",..........,"108,461","108,461",..........,"112,544","112,544",..........,"117,725","117,725",..........,"127,040","127,040",..........,"132,438","132,438",..........,"138,160","138,160",..........,"148,437","148,437",..........,"162,034","162,034",..........,"166,802","166,802",..........,"181,445","181,445",..........,"176,011","176,011",..........,"194,233","194,233",..........,"202,737","202,737",..........,"212,983","212,983",..........,"232,053","232,053",..........,"235,308","235,308",..........,"233,790","233,790",..........,"255,711","255,711",..........,"266,653","266,653",..........
Unemployment Assistance,Unemployment Assistance,498,498,..........,451,451,..........,377,377,..........,176,176,..........,61,61,..........,71,71,..........,"1,145","1,145",..........,869,869,..........,858,858,..........,"1,327","1,327",..........,"2,013","2,013",..........,898,898,..........,"1,057","1,057",..........,"1,034","1,034",..........,"1,836","1,836",..........,"2,099","2,099",..........,"1,498","1,498",..........,"1,729","1,729",..........,"3,288","3,288",..........,"3,206","3,206",..........,"2,783","2,783",..........,"4,427","4,427",..........,"3,489","3,489",..........,"3,697","3,697",..........,"3,334","3,334",..........,"2,549","2,549",..........,"2,079","2,079",..........,"2,052","2,052",..........,"2,277","2,277",..........,"2,302","2,302",..........,"3,088","3,088",..........,"5,764","5,764",..........,"6,656","6,656",..........,"4,895","4,895",..........,"5,652","5,652",..........,"12,806","12,806",..........,"18,560","18,560",..........,"3,304","3,304",..........,"14,321","14,321",..........,"10,888","10,888",..........,"10,637","10,637",..........,"17,139","17,139",..........,"19,006","19,006",..........,"22,570","22,570",..........,"30,464","30,464",..........,"23,808","23,808",..........,"21,312","21,312",..........,"19,281","19,281",..........,"18,102","18,102",..........,"16,090","16,090",..........,"16,057","16,057",..........,"17,511","17,511",..........,"25,451","25,451",..........,"37,701","37,701",..........,"36,209","36,209",..........,"27,145","27,145",..........,"21,919","21,919",..........,"22,958","22,958",..........,"21,145","21,145",..........,"20,094","20,094",..........,"21,736","21,736",..........,"21,139","21,139",..........,"28,341","28,341",..........,"51,207","51,207",..........,"55,049","55,049",..........,"43,128","43,128",..........,"33,085","33,085",..........,"31,876","31,876",..........,"33,208","33,208",..........,"43,424","43,424",..........,"119,766","119,766",..........,"158,263","158,263",..........,"118,609","118,609",..........,"92,282","92,282",..........,"68,260","68,260",..........,"43,504","43,504",..........,"38,739","38,739",..........,"41,623","41,623",..........,"40,873","40,873",..........,"41,478","41,478",..........,"44,370","44,370",..........,"47,089","47,089",..........
