Fiscal_Year,Total_In_Millions_of_Dollars,Payments_for_Individuals_In_Millions_of_Dollars,Capital_Investment_In_Millions_of_Dollars,Remainder_In_Millions_of_Dollars,Total_In_Billions_of_Constant_FY_2009_Dollars,Payments_for_Individuals_In_Billions_of_Constant_FY_2009_Dollars,Capital_Investment_In_Billions_of_Constant_FY_2009_Dollars,Remainder_In_Billions_of_Constant_FY_2009_Dollars,Total_As_Percentages_of_Federal_Outlays,Payments_for_Individuals_As_Percentages_of_Federal_Outlays,Capital_Investment_As_Percentages_of_Federal_Outlays,Remainder_As_Percentages_of_Federal_Outlays,Total_As_Percentages_of_GDP,Payments_for_Individuals_As_Percentages_of_GDP,Capital_Investment_As_Percentages_of_GDP,Remainder_As_Percentages_of_GDP
1940,872,298,442,132,15.4,3.8,7.3,4.4,9.2,3.1,4.7,1.4,0.9,0.3,0.5,0.1
1941,847,356,290,201,15.3,4.4,4.5,6.4,6.2,2.6,2.1,1.5,0.7,0.3,0.2,0.2
1942,892,410,222,260,15.6,4.6,3.1,7.9,2.5,1.2,0.6,0.7,0.6,0.3,0.2,0.2
1943,914,430,218,266,14.6,4.3,2.7,7.6,1.2,0.5,0.3,0.3,0.5,0.2,0.1,0.1
1944,911,509,183,218,12.8,4.8,2.2,5.8,1.0,0.6,0.2,0.2,0.4,0.2,0.1,0.1
1945,859,493,154,212,11.7,4.4,1.9,5.3,0.9,0.5,0.2,0.2,0.4,0.2,0.1,0.1
1946,819,518,142,158,9.8,4.4,1.7,3.7,1.5,0.9,0.3,0.3,0.4,0.2,0.1,0.1
1947,"1,603","1,131",599,-126,12.6,9.0,6.4,-2.7,4.6,3.3,1.7,-0.4,0.7,0.5,0.3,-0.1
1948,"1,612",881,440,291,16.1,6.4,4.0,5.7,5.4,3.0,1.5,1.0,0.6,0.3,0.2,0.1
1949,"1,876","1,052",462,362,17.8,7.4,4.0,6.4,4.8,2.7,1.2,0.9,0.7,0.4,0.2,0.1
1950,"2,253","1,316",484,453,21.9,9.4,4.4,8.0,5.3,3.1,1.1,1.1,0.8,0.5,0.2,0.2
1951,"2,287","1,432",566,289,19.3,9.7,4.8,4.8,5.0,3.1,1.2,0.6,0.7,0.4,0.2,0.1
1952,"2,433","1,450",575,408,20.4,9.5,4.5,6.4,3.6,2.1,0.8,0.6,0.7,0.4,0.2,0.1
1953,"2,835","1,600",756,479,23.4,10.3,5.8,7.3,3.7,2.1,1.0,0.6,0.7,0.4,0.2,0.1
1954,"3,056","1,702",744,610,25.7,10.8,5.9,9.0,4.3,2.4,1.1,0.9,0.8,0.4,0.2,0.2
1955,"3,207","1,698",820,689,27.1,10.8,6.6,9.7,4.7,2.5,1.2,1.0,0.8,0.4,0.2,0.2
1956,"3,561","1,731",915,915,30.3,10.8,6.9,12.6,5.0,2.5,1.3,1.3,0.8,0.4,0.2,0.2
1957,"3,974","1,876","1,148",950,31.9,11.4,8.1,12.4,5.2,2.4,1.5,1.2,0.9,0.4,0.2,0.2
1958,"4,905","2,232","1,788",885,36.9,13.2,12.7,11.0,6.0,2.7,2.2,1.1,1.0,0.5,0.4,0.2
1959,"6,463","2,512","2,956",995,47.5,14.6,20.9,12.0,7.0,2.7,3.2,1.1,1.3,0.5,0.6,0.2
1960,"7,019","2,625","3,321","1,073",51.5,15.0,23.8,12.6,7.6,2.8,3.6,1.2,1.3,0.5,0.6,0.2
1961,"7,126","2,775","3,053","1,298",52.4,15.7,21.9,14.7,7.3,2.8,3.1,1.3,1.3,0.5,0.6,0.2
1962,"7,926","3,114","3,239","1,573",57.8,17.4,23.1,17.3,7.4,2.9,3.0,1.5,1.4,0.5,0.6,0.3
1963,"8,602","3,464","3,600","1,537",60.8,19.2,25.2,16.5,7.7,3.1,3.2,1.4,1.4,0.6,0.6,0.2
1964,"10,164","3,748","4,482","1,934",71.6,20.4,31.0,20.2,8.6,3.2,3.8,1.6,1.5,0.6,0.7,0.3
1965,"10,910","3,914","4,985","2,010",75.4,21.0,33.9,20.4,9.2,3.3,4.2,1.7,1.5,0.6,0.7,0.3
1966,"12,887","4,503","4,912","3,472",90.4,23.8,32.4,34.3,9.6,3.3,3.7,2.6,1.6,0.6,0.6,0.4
1967,"15,233","5,027","5,231","4,974",105.8,25.8,33.2,46.7,9.7,3.2,3.3,3.2,1.8,0.6,0.6,0.6
1968,"18,551","6,343","5,896","6,312",123.9,31.6,36.1,56.2,10.4,3.6,3.3,3.5,2.1,0.7,0.7,0.7
1969,"20,164","7,520","6,165","6,479",126.0,36.0,35.9,54.2,11.0,4.1,3.4,3.5,2.1,0.8,0.6,0.7
1970,"24,065","9,064","7,056","7,945",141.5,41.4,38.2,62.0,12.3,4.6,3.6,4.1,2.3,0.9,0.7,0.8
1971,"28,099","10,835","7,872","9,392",154.9,47.4,39.2,68.3,13.4,5.2,3.7,4.5,2.5,1.0,0.7,0.8
1972,"34,375","14,256","8,417","11,702",179.5,60.0,39.6,79.9,14.9,6.2,3.6,5.1,2.8,1.2,0.7,1.0
1973,"41,847","14,153","8,865","18,829",218.1,57.4,39.3,121.3,17.0,5.8,3.6,7.7,3.1,1.0,0.7,1.4
1974,"43,357","15,120","9,845","18,393",206.7,56.8,39.3,110.5,16.1,5.6,3.7,6.8,2.9,1.0,0.7,1.2
1975,"49,791","17,139","10,880","21,772",214.5,58.3,36.5,119.7,15.0,5.2,3.3,6.6,3.1,1.1,0.7,1.4
1976,"59,094","20,548","13,517","25,028",236.6,65.6,43.6,127.4,15.9,5.5,3.6,6.7,3.3,1.1,0.8,1.4
TQ,"15,920","5,208","3,936","6,776",62.0,16.1,12.5,33.4,16.6,5.4,4.1,7.1,3.4,1.1,0.8,1.4
1977,"68,415","23,330","16,164","28,921",255.9,69.3,50.0,136.6,16.7,5.7,3.9,7.1,3.4,1.2,0.8,1.4
1978,"77,889","25,271","18,328","34,291",275.0,70.4,53.7,151.0,17.0,5.5,4.0,7.5,3.4,1.1,0.8,1.5
1979,"83,351","28,041","20,639","34,671",269.3,72.1,55.8,141.5,16.5,5.6,4.1,6.9,3.2,1.1,0.8,1.3
1980,"91,385","33,052","22,570","35,764",264.1,76.8,54.7,132.5,15.5,5.6,3.8,6.1,3.3,1.2,0.8,1.3
1981,"94,704","38,986","22,222","33,495",243.1,82.6,48.3,112.2,14.0,5.7,3.3,4.9,3.0,1.2,0.7,1.1
1982,"88,134","39,623","20,508","28,003",207.8,79.1,41.4,87.3,11.8,5.3,2.8,3.8,2.7,1.2,0.6,0.8
1983,"92,448","43,455","20,513","28,480",206.6,82.9,40.4,83.3,11.4,5.4,2.5,3.5,2.6,1.2,0.6,0.8
1984,"97,553","46,520","22,693","28,339",208.0,85.5,44.4,78.0,11.5,5.5,2.7,3.3,2.5,1.2,0.6,0.7
