Function and Fund Group,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
National defense,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,13,14,10,10,9,14,11,5,11,17,40,35,33,25,27,27,34,37,34,45,57,64,74,89,15,96,60,94,93,75,68,86,95,157,177,193,188,253,241,185,318,152,169,68,38,..........,12,1,2,47,91,..........,..........,2,2,..........,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
International affairs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,7,7,4,4,6,7,6,6,5,5,5,6,7,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Energy,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,8,9,10,12,18,20,25,28,31,33,36,43,56,27,74,180,183,499,617,509,482,534,529,538,455,457,420,461,457,448,460,466,492,481,440,424,462,433,492,528,589,608,636,651,667,524,999,"2,656","5,128","4,223",936,759,789,799,"1,455","3,963","4,124","1,111"
Natural resources and environment,2,5,4,3,3,8,7,10,12,14,18,19,21,23,31,36,41,42,67,94,108,109,116,163,168,183,227,254,320,351,411,755,758,"1,066","1,995","2,437","3,027","1,064","4,189","3,898","4,631","5,363","4,944","4,872","4,018","3,779","4,069","4,255","4,073","3,747","3,606","3,745","4,040","3,929","3,796","3,727","3,985","3,822","3,998","3,758","4,103","4,595","4,882","5,085","5,593","6,009","5,858","6,062","6,047","5,902","6,285","9,132","8,259","7,777","7,298","6,700","6,737","6,782","6,027","5,990","5,889","6,084"
Federal funds,2,5,4,3,3,8,7,10,12,14,18,19,21,23,31,36,41,42,67,94,108,109,116,163,168,183,227,254,320,351,411,755,758,"1,066","1,995","2,437","3,027","1,064","4,189","3,898","4,631","5,363","4,944","4,869","4,005","3,722","4,022","4,167","3,945","3,540","3,316","3,323","3,514","3,484","3,318","3,255","3,532","3,401","3,580","3,358","3,631","4,012","4,389","4,559","5,040","5,578","5,376","5,605","5,597","5,389","5,705","8,212","7,370","6,993","6,541","5,983","5,988","6,015","5,262","5,234","5,135","5,332"
Trust funds,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,13,57,47,88,128,208,290,422,526,445,477,473,453,421,418,400,472,583,493,526,553,431,482,457,450,513,580,920,889,784,757,717,749,767,765,756,754,752
Agriculture,25,25,26,26,26,26,30,34,64,87,106,98,84,97,207,237,374,369,262,300,243,365,485,464,599,517,368,427,542,752,604,591,496,484,481,404,425,123,371,426,456,569,829,986,"1,816","1,783","2,371","1,882","2,046","2,020","1,198","1,118","1,052",976,954,817,780,641,634,668,659,724,755,750,800,995,933,749,803,862,937,843,938,635,670,701,"1,017","1,013",837,900,907,909
Commerce and housing credit,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,1,*,*,*,*,2,4,9,10,4,2,*,2,3,2,4,2,8,13,12,3,4,3,62,2,2,2,1,1,..........,..........,..........,11,6,8,5,8,9,9,810,"1,218","1,337","1,319","1,154","1,166","1,364","1,474","1,448","1,496","1,608","1,792","2,322","2,063","2,381","2,339","2,339","2,881","3,278","2,959","2,388","2,404"
Transportation,165,172,152,88,48,34,45,183,334,434,465,426,448,528,540,594,746,976,"1,562","2,671","2,999","2,688","2,841","3,077","3,716","4,100","4,072","4,135","4,340","4,408","4,599","4,919","5,065","5,349","5,279","5,864","7,980","2,007","8,299","8,837","10,931","13,022","13,404","12,110","13,200","14,988","17,009","18,318","16,873","18,043","18,176","19,174","19,826","20,556","22,292","23,633","25,787","25,957","26,846","26,144","28,904","32,222","36,647","40,998","41,029","41,471","43,370","46,683","47,945","51,216","55,438","60,981","60,986","60,749","60,518","62,260","64,499","68,339","74,424","77,954","78,826","80,023"
Federal funds,165,172,152,88,48,34,45,183,334,434,465,426,448,528,540,594,746,23,69,82,86,97,89,93,109,120,113,170,222,323,299,295,385,468,596,911,"1,492",347,"2,031","2,305","3,307","3,450","3,983","3,974","4,074","3,835","3,115","2,852","2,691","2,629","2,746","2,940","2,827","2,448","2,851","1,887","2,564","2,363","2,740","2,667","2,896","4,355","6,446","7,135","7,390","8,066","8,373","7,702","5,873","5,124","7,422","19,087","13,970","9,000","6,570","7,389","8,277","5,717","4,150","3,115","2,364","1,900"
Trust funds,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,953,"1,493","2,589","2,913","2,591","2,752","2,984","3,607","3,980","3,959","3,966","4,117","4,085","4,300","4,624","4,680","4,881","4,683","4,952","6,488","1,660","6,268","6,532","7,624","9,571","9,421","8,136","9,126","11,153","13,894","15,465","14,182","15,414","15,430","16,233","16,999","18,109","19,440","21,747","23,223","23,594","24,106","23,477","26,008","27,867","30,201","33,863","33,639","33,405","34,997","38,981","42,072","46,092","48,016","41,894","47,016","51,749","53,948","54,871","56,222","62,622","70,274","74,839","76,462","78,123"
Community and regional development,277,117,68,130,134,119,68,31,8,8,1,*,20,25,19,48,36,44,53,85,109,153,185,246,517,643,575,582,862,"1,049","1,780","2,138","2,523","2,623","2,702","2,842","3,445","1,024","4,496","7,078","6,641","6,486","6,124","5,379","4,962","5,157","5,221","4,861","4,235","4,266","4,074","4,965","4,273","4,539","5,666","7,789","7,230","7,850","8,161","7,653","9,332","8,665","9,485","10,501","15,082","12,604","20,167","21,285","20,653","19,221","17,394","18,908","20,002","20,258","16,781","13,232","16,672","13,432","13,175","12,715","10,390","8,143"
Federal funds,277,117,68,130,134,119,68,31,8,8,1,(*),20,25,19,48,36,44,53,85,109,153,185,246,517,643,575,582,862,"1,049","1,779","2,137","2,513","2,606","2,685","2,820","3,391","1,007","4,448","7,034","6,596","6,442","6,081","5,364","4,960","5,155","5,221","4,861","4,235","4,266","4,074","4,965","4,273","4,539","5,665","7,789","7,230","7,850","8,161","7,653","9,332","8,665","9,485","10,501","15,082","12,604","20,167","21,285","20,653","19,221","17,394","18,908","20,002","20,258","16,781","13,231","16,539","13,427","13,175","12,715","10,390","8,143"
Trust funds,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,1,10,17,17,23,54,17,48,43,45,44,43,16,3,2,(*),(−*),(*),..........,(−*),(−*),(−*),..........,(*),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,133,5,..........,..........,..........,..........
"Education, training, employment, and social services",28,89,141,163,134,123,69,56,117,99,150,132,217,343,309,324,332,331,370,436,525,567,658,693,844,"1,050","2,583","4,165","5,170","5,085","6,417","7,326","9,478","9,497","9,345","12,133","14,141","3,921","15,753","20,557","22,249","21,862","20,917","16,187","15,717","16,020","17,080","18,158","17,874","18,894","20,649","21,780","24,445","26,289","27,524","29,714","30,881","30,343","30,688","32,051","33,510","36,672","40,133","44,827","51,543","54,201","57,247","60,512","58,077","58,904","73,986","97,586","89,147","68,126","62,690","60,485","65,215","61,912","66,420","70,476","74,809","78,386"
Federal funds,28,89,141,163,134,123,69,56,117,99,150,132,217,343,309,324,332,331,370,436,525,447,488,562,684,873,"2,346","3,882","4,867","4,768","6,065","6,969","9,117","9,134","8,971","11,652","13,797","3,751","15,202","19,975","21,639","21,152","20,187","15,502","14,993","15,257","16,162","17,226","16,973","17,944","19,654","20,771","23,400","25,266","26,447","28,678","29,801","29,261","29,656","31,093","32,484","35,711","39,033","43,787","50,472","53,091","56,778","59,709","57,155","57,908","73,033","96,430","87,881","67,175","61,750","59,509","64,304","60,978","65,239","69,253","73,567","77,132"
Trust funds,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,120,170,131,160,177,237,283,303,317,351,357,360,363,374,481,344,170,551,582,610,710,730,685,724,763,918,932,901,950,995,"1,009","1,045","1,023","1,077","1,036","1,080","1,082","1,032",958,"1,026",961,"1,100","1,040","1,071","1,110",469,803,922,996,953,"1,156","1,266",951,940,976,911,934,"1,181","1,223","1,242","1,254"
Health,22,26,30,32,78,91,68,58,40,70,122,174,192,173,144,125,138,169,182,222,214,262,365,450,539,624,"1,165","1,672","2,706","3,203","3,849","4,494","6,010","6,009","7,322","8,810","10,914","2,721","12,104","12,725","14,377","15,758","18,895","18,839","20,224","21,837","24,451","26,823","29,466","32,586","36,679","43,890","55,783","71,416","79,665","86,265","93,587","97,650","98,974","105,833","113,969","124,843","139,295","158,677","173,814","189,883","197,848","197,347","208,311","218,025","268,320","290,168","292,847","268,277","283,036","320,022","354,031","373,808","387,908","407,239","429,793","440,950"
Income security,341,401,458,460,476,444,484,828,884,"1,096","1,335","1,386","1,387","1,555","1,698","1,715","1,763","1,898","2,253","2,497","2,635","2,780","3,054","3,230","3,475","3,512","3,580","3,636","4,188","4,806","5,795","7,074","9,040","8,872","8,633","9,352","10,948","2,791","12,663","13,782","14,740","18,495","21,569","22,332","25,173","26,375","27,940","29,914","30,802","32,657","34,022","36,935","41,152","46,157","49,791","54,681","58,366","57,066","59,012","63,321","68,885","68,653","76,064","81,506","86,476","85,983","90,885","89,816","90,971","96,102","103,169","115,156","113,625","102,574","102,190","100,869","105,095","112,149","115,742","118,682","120,869","122,771"
Federal funds,341,401,458,460,476,444,484,828,884,"1,096","1,335","1,386","1,387","1,555","1,698","1,715","1,763","1,898","2,253","2,497","2,635","2,525","2,756","3,024","3,222","3,290","3,340","3,379","3,940","4,535","5,523","6,672","8,624","8,421","8,175","8,716","10,080","2,582","11,699","12,843","13,788","17,357","20,254","20,915","23,471","24,827","26,364","28,345","29,242","31,048","32,308","35,194","39,198","43,668","47,255","52,409","56,050","54,768","56,719","60,994","66,389","66,294","73,700","78,713","83,849","83,333","87,687","87,148","88,442","93,551","99,252","110,333","108,263","100,057","98,460","97,900","101,583","109,224","112,753","115,632","117,781","119,650"
Trust funds,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,255,298,205,253,223,239,257,248,271,273,402,416,452,458,636,868,209,964,939,952,"1,138","1,315","1,417","1,702","1,548","1,576","1,570","1,560","1,610","1,714","1,742","1,954","2,488","2,536","2,273","2,316","2,298","2,293","2,327","2,496","2,359","2,364","2,793","2,627","2,650","3,198","2,668","2,529","2,551","3,917","4,823","5,362","2,517","3,730","2,969","3,512","2,925","2,989","3,050","3,088","3,121"
Social security,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,6,..........,1,2,7,2,9,16,23,45,28,27,29,22,16,12,9,9,10,10,10
Veterans benefits and services,1,1,1,1,1,1,30,385,128,36,18,10,7,7,6,8,8,8,8,8,8,9,8,8,8,8,9,10,13,14,18,19,19,20,26,32,52,13,79,76,86,90,74,63,66,66,91,90,95,106,127,134,141,164,189,199,253,266,277,288,317,434,405,388,428,493,552,625,639,695,809,836,996,"1,081","1,087","1,223","1,271","1,349","1,470","1,494","1,505","1,538"
Administration of justice,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,3,12,28,42,197,322,528,639,725,795,169,713,572,517,529,332,187,101,69,95,155,288,427,520,574,940,987,987,992,"1,222","1,547","2,845","3,658","4,923","5,263","6,612","5,736","4,498","5,084","4,784","4,961","4,603","4,201","4,810","5,086","4,876","4,690","4,550","4,262","6,336","5,363","4,334","3,867","3,603","4,217"
General government,10,11,11,11,11,12,16,18,26,31,36,40,54,68,84,105,109,123,128,133,165,172,184,216,251,226,264,299,338,396,479,516,584,"7,302","6,824","7,072","7,218","2,043","9,571","9,687","8,434","8,616","6,918","6,599","6,541","6,849","6,838","7,159","2,000","1,950","2,204","2,309","2,224","2,274","2,131","2,135","2,335","2,142","2,276","2,309","2,011","2,144","2,388","2,488","7,534","9,008","4,370","3,923","3,617","4,145","4,191","5,218","7,613","4,087","4,012","4,097","4,140","3,883","3,043","3,092","3,188","3,250"
Federal funds,10,11,11,11,11,12,16,18,26,31,36,40,54,68,84,105,109,123,128,133,165,172,184,216,251,226,264,299,338,396,479,516,584,665,719,942,975,455,"2,814","2,864","1,587","1,787","1,782","2,031","1,927","2,282","2,254","2,044","1,924","1,950","2,204","2,309","2,224","2,274","2,131","2,135","2,335","2,142","2,276","2,309","2,011","2,144","2,388","2,488","7,534","9,008","4,370","3,923","3,617","4,145","4,191","5,218","7,613","4,087","4,012","4,097","4,140","3,883","3,043","3,092","3,188","3,250"
Trust funds,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"6,636","6,106","6,130","6,243","1,588","6,758","6,823","6,848","6,829","5,137","4,569","4,614","4,567","4,584","5,114",76,(−*),(*),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Total outlays for grants to State and local governments,872,847,892,914,911,859,819,"1,603","1,612","1,876","2,253","2,287","2,433","2,835","3,056","3,207","3,561","3,974","4,905","6,463","7,019","7,126","7,926","8,602","10,164","10,910","12,887","15,233","18,551","20,164","24,065","28,099","34,375","41,847","43,357","49,791","59,094","15,920","68,415","77,889","83,351","91,385","94,704","88,134","92,448","97,553","105,852","112,331","108,400","115,342","121,928","135,325","154,519","178,065","193,612","210,596","224,991","227,811","234,160","246,128","267,886","285,874","318,542","352,895","388,542","407,512","428,018","434,099","443,797","461,317","537,991","608,390","606,766","544,569","546,171","576,965","628,153","651,719","678,122","709,341","736,301","749,796"
Memorandum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal funds,872,847,892,914,911,859,819,"1,603","1,612","1,876","2,253","2,287","2,433","2,835","3,056","3,207","3,561","3,021","3,412","3,875","4,106","4,161","4,707","5,282","6,144","6,531","8,452","10,727","13,882","15,491","19,141","22,715","28,907","29,499","31,720","37,569","45,096","12,276","53,827","62,970","67,272","73,093","78,057","73,310","76,266","79,463","84,833","89,161","91,553","97,160","103,500","115,919","133,995","156,001","170,082","185,068","197,919","200,416","206,311","218,966","237,884","254,098","284,384","314,672","350,650","369,909","388,870","391,181","397,808","411,142","484,480","559,569","552,206","488,539","486,774","517,415","566,614","584,457","602,904","629,463","654,745","666,536"
Trust funds,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,953,"1,493","2,589","2,913","2,966","3,220","3,320","4,020","4,379","4,435","4,506","4,669","4,673","4,925","5,384","5,467","12,348","11,638","12,222","13,997","3,644","14,588","14,920","16,079","18,292","16,646","14,825","16,182","18,089","21,019","23,170","16,846","18,181","18,428","19,406","20,524","22,064","23,531","25,528","27,072","27,395","27,849","27,162","30,002","31,776","34,158","38,223","37,892","37,603","39,148","42,918","45,989","50,175","53,511","48,821","54,560","56,030","59,397","59,550","61,539","67,262","75,218","79,878","81,556","83,260"
