Fund,Area,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Old age and survivors insurance fund,Cash income:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old age and survivors insurance fund,Social insurance and retirement receipts,..........,265,387,503,550,688,896,"1,130","1,292","1,310","1,238","1,459","1,616","1,690","2,106","3,120","3,594","4,097","4,589","5,081","6,425","6,457","7,138","7,418","9,671","11,104","11,267","13,117","15,242","15,567","17,556","22,197","22,265","25,484","29,396","31,354","35,132","40,703","47,778","55,207","58,703","15,886","68,032","73,141","83,410","96,581","117,757","122,840","128,972","150,312","169,822","182,518","194,541","220,337","240,595","255,031","265,502","273,136","281,735","302,607","284,091","311,869","336,729","358,784","383,559","411,677","434,057","440,541","447,806","457,120","493,646","520,069","542,901","562,519","559,067","539,996","483,683","486,783","575,555","628,792","654,447","642,071","660,537","692,780","724,753","754,832"
Old age and survivors insurance fund,Intragovernmental receipts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old age and survivors insurance fund,"Employer share, employee retirement (952)",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,6,18,83,130,147,171,189,203,224,260,263,310,370,397,469,559,561,579,615,677,810,852,220,863,906,948,"1,027","1,259","1,406","1,534","1,852","2,288","2,608","3,011","4,000","4,432","5,038","5,242","5,508","5,796","5,787","5,434","5,326","5,582","6,086","6,374","6,542","6,761","7,591","8,207","9,686","9,352","9,937","10,514","11,231","12,161","12,765","12,908","13,331","13,820","13,452","13,689","13,157","13,286","13,763","14,422","15,019"
Old age and survivors insurance fund,Interest (903),..........,2,15,27,42,56,71,87,103,124,148,163,191,230,257,287,334,387,439,438,487,555,555,543,516,530,539,512,539,583,588,725,896,"1,009","1,346","1,617","1,718","1,846","2,039","2,292","2,344",80,"2,279","2,151","1,920","1,886","2,015","1,707","1,396","2,752","3,537","3,698","4,495","6,758","10,649","15,125","19,164","22,557","25,822","28,505","31,417","34,026","37,688","42,197","46,847","53,531","61,239","68,105","73,980","76,441","81,708","87,316","95,069","102,720","107,227","108,601","107,413","105,239","100,113","96,270","93,303","90,213","87,312","83,396","81,743","76,274"
Old age and survivors insurance fund,Other,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,1,3,4,4,4,..........,12,10,7,5,2,*,1,1,2,2,3,3,7,79,78,382,442,449,488,475,442,447,425,..........,614,613,615,557,540,675,"18,683","8,400","6,639","7,544","5,447","5,501","5,819","4,405","5,838","5,949","5,967","5,371","5,137","5,763","6,477","8,610","10,188","12,491","11,790","13,025","12,352","13,288","15,347","20,288","17,846","16,433","18,977","21,091","88,626","123,638","50,188","24,755","29,936","34,022","37,273","40,478","44,073","47,848"
Old age and survivors insurance fund,Total intragovernmental receipts,..........,2,15,27,42,56,71,87,103,124,148,164,191,233,260,291,337,387,452,454,513,644,687,690,688,720,744,738,801,849,905,"1,174","1,371","1,859","2,347","2,627","2,785","2,936","3,157","3,549","3,621",300,"3,756","3,670","3,483","3,470","3,814","3,788","21,613","13,004","12,465","13,850","12,953","16,259","20,900","24,568","30,244","34,015","37,585","39,663","41,988","45,115","49,747","56,893","63,409","72,564","79,790","88,721","94,539","99,415","106,407","117,541","123,429","130,384","138,365","142,457","208,947","242,208","164,121","134,477","136,928","137,392","137,871","137,637","140,238","139,141"
Old age and survivors insurance fund,Other cash income,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,3,1,*,*,*,*,3,*,8,*,*,*,*,*,*,*,*,*,31,*,*,*,*,*,5,7,6,9,9,10,9,18,24,16,16,12,16,12,10,20,16,17,20,23,24,39,35,35,35,35,35,35
Old age and survivors insurance fund,Total cash income,..........,267,402,530,592,744,967,"1,218","1,395","1,434","1,386","1,623","1,807","1,924","2,367","3,411","3,932","4,483","5,040","5,535","6,938","7,101","7,825","8,109","10,360","11,824","12,011","13,856","16,043","16,417","18,461","23,371","23,641","27,348","31,746","33,982","37,916","43,639","50,935","58,756","62,327","16,186","71,795","76,811","86,893","100,051","121,572","126,629","150,586","163,315","182,287","196,368","207,525","236,596","261,495","279,599","295,747","307,152","319,325","342,278","326,085","356,993","386,485","415,687","446,977","484,259","513,871","529,278","542,361","556,547","600,069","637,622","666,340","692,923","697,448","682,470","692,650","729,014","739,700","763,308","791,410","779,498","798,443","830,452","865,026","894,008"
Old age and survivors insurance fund,Cash outgo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old age and survivors insurance fund,Benefit payments 1,..........,*,5,14,16,64,110,149,185,240,321,426,512,607,727,"1,498","1,982","2,627","3,276","4,333","5,361","6,515","7,875","9,049","10,270","11,185","12,658","13,845","14,579","15,226","18,071","18,886","20,737","23,732","26,267","31,101","34,541","42,170","47,849","54,839","62,140","16,876","71,271","78,524","87,592","100,615","119,413","134,655","148,312","155,846","165,422","174,364","182,055","192,541","204,648","218,957","236,120","251,317","264,582","276,291","288,617","299,985","312,880","324,274","332,383","347,894","367,702","383,970","396,597","411,157","430,375","454,265","479,742","502,990","544,598","572,528","591,490","627,221","663,213","698,235","740,496","784,734","833,602","888,250","946,750","1,008,421"
Old age and survivors insurance fund,Payments to the railroad retirement account,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,124,600,332,361,423,403,436,444,508,438,491,579,613,724,783,909,982,"1,212",..........,"1,208","1,589","1,448","1,442","1,585","1,793","2,251","2,404","2,310","2,585","2,557","2,790","2,845","2,969","3,375","3,148","3,353","3,420","4,052","3,554","3,688","3,662","3,681","3,538","3,273","3,493","3,580","3,628","3,579","3,458","3,575","3,632","3,690","3,930","4,110","4,139","3,948","4,257","4,256","4,368","4,219","4,639","4,764","4,729"
Old age and survivors insurance fund,Interest payments,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,544","2,565","2,293","1,013",625,836,989,982,418,..........,−*,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Old age and survivors insurance fund,Administrative expenses,..........,..........,..........,..........,12,27,27,27,33,27,37,41,47,53,57,70,85,89,89,103,124,150,166,206,203,236,252,263,303,300,254,334,449,465,474,552,582,667,723,848,935,234,993,"1,086","1,077","1,160","1,302","1,475","1,552","1,585","1,588","1,610","1,542","1,730","1,658","1,566","1,747","1,824","2,026","1,876","1,805","1,793","2,001","1,833","1,851","1,995","2,093","2,118","2,519","2,517","2,874","2,987","2,992","3,295","3,373","3,467","3,657","3,370","3,421","3,434","3,164","3,328","3,349","3,409","3,448","3,484"
Old age and survivors insurance fund,Military service credit adjustment,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"2,114",..........,..........,..........,..........,129,..........,..........,..........,..........,..........,..........,..........,..........,..........,350,..........,..........,..........,..........,113,..........,..........,..........,..........,2,..........,..........,..........,..........
Old age and survivors insurance fund,Beneficiary services and other 1 2,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,−*,..........,..........,..........,−*,-3,-3,-22,9,1,-1,3,1,1,*,2,1,2,1,3,2,8,9,1,7,6,12,10,4,6,330,6,*,..........,..........,−*,..........,*,*,..........,*,..........,..........,..........,..........,..........,..........,..........,-25,..........,2,3,2,3,3,3,3,3,2,2,4,2,4,4,..........,..........,..........,..........
