Fiscal_Year,Total_Government_Expenditures,Total_Federal_Government_Outlays,On-Budget_Federal_Government_Outlays,Off-Budget_Federal_Government_Outlays,Addendum_Federal_Grants_NIPA_Basis,State_and_Local_Government_Expenditures_From_Own_Sources_NIPA_Basis_1
1948,17.2,11.3,11.2,0.1,0.4,5.9
1949,20.4,14.0,13.9,0.2,0.6,6.4
1950,22.6,15.3,15.1,0.2,0.7,7.3
1951,20.6,13.9,13.5,0.4,0.6,6.7
1952,25.5,18.9,18.4,0.5,0.5,6.5
1953,26.3,19.9,19.3,0.6,0.6,6.4
1954,25.2,18.3,17.5,0.8,0.6,7.0
1955,24.3,16.8,15.8,1.0,0.6,7.5
1956,23.6,16.1,15.0,1.1,0.5,7.5
1957,24.3,16.5,15.2,1.3,0.6,7.8
1958,25.8,17.4,15.8,1.6,0.6,8.4
1959,26.8,18.2,16.4,1.8,0.7,8.6
1960,25.7,17.2,15.2,2.0,0.7,8.4
1961,26.9,17.8,15.7,2.1,0.7,9.0
1962,27.2,18.2,15.9,2.3,0.8,9.0
1963,27.1,18.0,15.6,2.4,0.8,9.1
1964,27.1,17.9,15.5,2.4,0.9,9.2
1965,25.9,16.6,14.3,2.3,0.9,9.3
1966,26.4,17.2,14.7,2.5,1.0,9.2
1967,28.2,18.8,16.3,2.4,1.2,9.4
1968,29.6,19.8,17.3,2.5,1.3,9.8
1969,28.8,18.7,16.1,2.6,1.2,10.1
1970,28.8,18.6,16.0,2.6,1.5,10.2
1971,29.5,18.8,15.8,2.9,1.8,10.7
1972,29.6,18.9,15.9,3.1,2.1,10.7
1973,28.2,18.1,14.7,3.4,2.4,10.1
1974,28.4,18.1,14.6,3.6,2.2,10.3
1975,31.5,20.6,16.8,3.8,2.4,10.9
1976,31.5,20.8,16.8,3.9,2.6,10.7
TQ,31.2,20.3,16.4,4.0,2.6,10.9
1977,30.2,20.2,16.2,4.0,2.6,10.0
1978,29.7,20.1,16.2,3.9,2.7,9.5
1979,28.9,19.6,15.8,3.9,2.5,9.3
1980,30.7,21.1,17.1,4.1,2.4,9.5
1981,30.8,21.6,17.3,4.3,2.3,9.2
1982,32.0,22.5,18.0,4.6,2.0,9.5
1983,32.5,22.8,18.7,4.2,1.9,9.6
1984,30.8,21.5,17.3,4.2,1.8,9.3
1985,31.6,22.2,18.0,4.1,1.8,9.5
1986,31.5,21.8,17.8,4.0,1.8,9.7
1987,31.1,21.0,16.9,4.1,1.7,10.1
1988,30.7,20.6,16.7,4.0,1.6,10.0
1989,30.7,20.5,16.7,3.8,1.6,10.2
1990,31.7,21.2,17.4,3.8,1.7,10.5
1991,32.8,21.7,17.7,4.0,1.9,11.1
1992,32.9,21.5,17.5,3.9,2.1,11.4
1993,32.0,20.7,16.8,3.9,2.2,11.3
1994,31.4,20.3,16.4,3.9,2.3,11.0
1995,31.1,20.0,16.2,3.8,2.3,11.1
1996,30.5,19.6,15.8,3.8,2.2,10.9
1997,29.6,18.9,15.2,3.7,2.2,10.7
1998,29.0,18.5,14.9,3.5,2.2,10.5
1999,28.5,17.9,14.5,3.4,2.3,10.6
2000,28.3,17.6,14.4,3.3,2.3,10.7
2001,28.8,17.6,14.3,3.3,2.4,11.2
2002,30.2,18.5,15.2,3.3,2.6,11.8
2003,31.0,19.1,15.9,3.2,2.8,11.9
2004,30.6,19.0,15.8,3.1,2.7,11.7
2005,30.7,19.2,16.1,3.1,2.7,11.5
2006,30.7,19.4,16.3,3.1,2.5,11.3
2007,30.6,19.1,15.9,3.2,2.5,11.5
2008,32.2,20.2,17.0,3.2,2.5,11.9
2009,37.0,24.4,20.8,3.6,3.0,12.6
2010,35.6,23.4,19.6,3.7,3.3,12.3
2011,35.3,23.4,20.2,3.2,3.2,11.9
2012,33.8,22.1,18.9,3.2,2.8,11.8
2013,32.4,20.8,17.0,3.8,2.7,11.6
2014,31.7,20.3,16.2,4.1,2.8,11.4
