Fiscal_Year,Total_Government_In_Billions_of_Current_Dollars,Total_Federal_Government,On-Budget_Federal_Government,Off-Budget_Federal_Government,State_and_Local_NIPA_Basis_In_Billions_of_Current_Dollars,Total_Government_ As_Percentages_of_GDP,Total_Federal_ As_Percentages_of_GDP,State_and_Local_ As_Percentages_of_GDP
1948,10.5,11.8,10.5,1.2,-1.3,4.0,4.5,-0.5
1949,-1.5,0.6,-0.7,1.3,-2.1,-0.5,0.2,-0.8
1950,-6.6,-3.1,-4.7,1.6,-3.5,-2.4,-1.1,-1.2
1951,3.1,6.1,4.3,1.8,-3.0,1.0,1.9,-0.9
1952,-4.6,-1.5,-3.4,1.9,-3.0,-1.3,-0.4,-0.8
1953,-9.0,-6.5,-8.3,1.8,-2.5,-2.4,-1.7,-0.7
1954,-4.6,-1.2,-2.8,1.7,-3.4,-1.2,-0.3,-0.9
1955,-8.1,-3.0,-4.1,1.1,-5.2,-2.0,-0.7,-1.3
1956,-0.8,3.9,2.5,1.5,-4.8,-0.2,0.9,-1.1
1957,-2.2,3.4,2.6,0.8,-5.6,-0.5,0.7,-1.2
1958,-10.4,-2.8,-3.3,0.5,-7.7,-2.2,-0.6,-1.6
1959,-21.5,-12.8,-12.1,-0.7,-8.6,-4.2,-2.5,-1.7
1960,-6.8,0.3,0.5,-0.2,-7.1,-1.3,0.1,-1.3
1961,-11.4,-3.3,-3.8,0.4,-8.1,-2.1,-0.6,-1.5
1962,-15.6,-7.1,-5.9,-1.3,-8.4,-2.7,-1.2,-1.4
1963,-13.2,-4.8,-4.0,-0.8,-8.4,-2.1,-0.8,-1.4
1964,-15.3,-5.9,-6.5,0.6,-9.4,-2.3,-0.9,-1.4
1965,-11.7,-1.4,-1.6,0.2,-10.3,-1.6,-0.2,-1.4
1966,-14.7,-3.7,-3.1,-0.6,-11.0,-1.9,-0.5,-1.4
1967,-22.4,-8.6,-12.6,4.0,-13.7,-2.7,-1.0,-1.6
1968,-38.9,-25.2,-27.7,2.6,-13.8,-4.3,-2.8,-1.5
