Fiscal_Year,Total,Defense_Health_Program,Medicare_Excluding_Premiums,Medicare_Premiums,Medicaid,Veterans_Medical_Care,Gross_Outlays_Federal_Employees_Health_Benefits_FEHB,Income_Federal_Employees_Health_Benefits_FEHB,Health_Insurance_Assistance,Other_Health,Total_Outlays_As_Percentages_of,GDP_As_Percentages_of
1962,2.3,N/A,..........,..........,0.1,1.1,0.3,-0.3,..........,1.1,2.1,0.4
1963,2.6,N/A,..........,..........,0.2,1.1,0.4,-0.4,..........,1.3,2.3,0.4
1964,3.0,N/A,..........,..........,0.2,1.2,0.4,-0.4,..........,1.6,2.5,0.5
1965,3.1,N/A,..........,..........,0.3,1.3,0.5,-0.5,..........,1.5,2.6,0.4
1966,3.9,N/A,0.1,..........,0.8,1.3,0.5,-0.5,..........,1.8,2.9,0.5
1967,7.5,N/A,3.4,-0.6,1.2,1.4,0.6,-0.6,..........,2.2,4.8,0.9
1968,10.5,N/A,5.3,-0.7,1.8,1.5,0.7,-0.7,..........,2.6,5.9,1.2
1969,12.4,N/A,6.6,-0.9,2.3,1.6,0.8,-0.8,..........,2.9,6.8,1.3
1970,13.9,N/A,7.1,-0.9,2.7,1.8,0.9,-0.9,..........,3.2,7.1,1.3
1971,15.5,N/A,7.9,-1.3,3.4,2.0,1.1,-1.1,..........,3.5,7.4,1.4
1972,18.6,N/A,8.8,-1.3,4.6,2.4,1.3,-1.3,..........,4.1,8.1,1.5
1973,20.1,N/A,9.5,-1.4,4.6,2.7,1.4,-1.4,..........,4.7,8.2,1.5
1974,23.4,N/A,11.3,-1.7,5.8,3.0,1.5,-1.5,..........,5.0,8.7,1.6
1975,29.5,N/A,14.8,-1.9,6.8,3.7,1.8,-1.8,..........,6.1,8.9,1.8
1976,35.6,N/A,17.8,-1.9,8.6,4.0,2.2,-2.3,..........,7.2,9.6,2.0
TQ,9.2,N/A,4.8,-0.5,2.2,1.0,0.6,-0.6,..........,1.7,9.6,2.0
1977,41.4,N/A,21.5,-2.2,9.9,4.7,2.7,-2.7,..........,7.5,10.1,2.0
1978,46.5,N/A,25.2,-2.4,10.7,5.3,3.0,-3.1,..........,7.9,10.1,2.0
1979,52.6,N/A,29.1,-2.7,12.4,5.6,3.2,-3.3,..........,8.2,10.4,2.0
1980,65.4,3.7,35.0,-2.9,14.0,6.5,3.6,-3.6,..........,9.2,11.1,2.3
1981,77.8,4.8,42.5,-3.3,16.8,7.0,4.3,-4.3,..........,10.0,11.5,2.5
1982,87.3,5.8,50.4,-3.9,17.4,7.5,5.0,-5.0,..........,10.1,11.7,2.6
1983,95.9,6.4,56.8,-4.3,19.0,8.3,5.7,-5.9,..........,9.9,11.9,2.7
1984,103.6,6.8,62.5,-4.9,20.1,8.9,6.6,-6.7,..........,10.4,12.2,2.6
1985,117.1,8.2,71.4,-5.6,22.7,9.5,6.5,-6.8,..........,11.2,12.4,2.7
1986,124.9,8.9,75.9,-5.7,25.0,9.9,6.6,-6.8,..........,11.2,12.6,2.8
1987,135.4,10.1,81.6,-6.5,27.4,10.3,7.3,-7.1,..........,12.3,13.5,2.8
1988,145.1,10.9,87.7,-8.8,30.5,10.8,8.7,-9.0,..........,14.4,13.6,2.8
1989,156.3,11.6,96.6,-11.6,34.6,11.3,9.1,-11.0,..........,15.7,13.7,2.8
1990,180.4,12.4,109.7,-11.6,41.1,12.1,11.0,-12.2,..........,17.8,14.4,3.0
1991,202.7,14.2,116.7,-12.2,52.5,12.9,12.4,-13.4,..........,19.6,15.3,3.3
1992,237.0,14.4,132.3,-13.2,67.8,14.1,13.9,-14.3,..........,22.0,17.2,3.7
1993,259.9,15.2,145.9,-15.3,75.8,14.8,14.6,-15.5,..........,24.5,18.4,3.8
1994,282.6,15.1,162.5,-17.7,82.0,15.7,15.5,-16.2,..........,25.7,19.3,3.9
1995,307.1,15.4,180.1,-20.2,89.1,16.4,15.9,-16.2,..........,26.7,20.3,4.0
1996,325.6,15.4,194.3,-20.0,92.0,16.6,16.1,-15.7,..........,26.9,20.9,4.1
1997,346.5,15.5,210.4,-20.4,95.6,17.1,16.6,-15.9,..........,27.6,21.6,4.1
1998,357.4,15.6,213.6,-20.7,101.2,17.5,17.2,-16.7,..........,29.7,21.6,4.0
1999,365.8,16.2,212.0,-21.6,108.0,18.2,18.5,-18.0,..........,32.6,21.5,3.8
2000,388.9,17.8,219.0,-21.9,117.9,19.5,19.6,-19.7,..........,36.7,21.7,3.8
2001,428.9,18.4,241.1,-23.7,129.4,21.0,20.8,-21.5,..........,43.5,23.0,4.1
2002,472.5,22.8,256.8,-26.0,147.5,22.3,22.7,-23.6,..........,49.9,23.5,4.3
2003,522.5,29.4,277.9,-28.4,160.7,24.1,25.0,-26.4,*,60.3,24.2,4.6
2004,568.5,32.1,301.5,-32.1,176.2,26.9,27.4,-29.1,0.1,65.5,24.8,4.7
2005,614.0,36.1,336.9,-38.2,181.7,28.8,29.6,-31.3,0.1,70.5,24.8,4.8
2006,650.5,38.0,378.6,-48.7,180.6,29.9,31.3,-33.5,0.1,74.3,24.5,4.8
2007,716.8,42.7,432.6,-57.2,190.6,32.3,33.6,-34.6,0.1,76.7,26.3,5.0
2008,751.8,43.4,452.0,-61.2,201.4,37.0,35.6,-35.3,0.1,78.7,25.2,5.1
2009,853.0,46.6,494.5,-64.4,250.9,41.9,37.4,-37.2,0.4,82.8,24.2,5.9
2010,916.2,49.8,516.8,-65.1,272.8,45.7,39.0,-39.8,4.1,93.1,26.5,6.2
2011,960.8,52.6,555.3,-69.7,275.0,50.1,40.6,-43.6,5.8,94.7,26.7,6.2
2012,922.5,53.3,544.6,-72.8,250.5,50.6,42.6,-44.7,3.8,94.5,26.1,5.8
2013,955.4,46.7,575.1,-77.3,265.4,52.5,43.9,-46.0,2.4,92.7,27.7,5.8
2014,"1,026.2",48.9,592.4,-80.7,301.5,56.2,46.1,-46.3,13.7,94.4,29.3,6.0
2015 estimate,"1,126.6",47.9,620.5,-84.0,333.1,61.0,48.0,-48.6,28.7,120.1,30.0,6.3
2016 estimate,"1,221.9",47.8,680.1,-90.4,351.0,66.7,50.7,-51.9,44.9,123.0,30.6,6.5
2017 estimate,"1,252.4",48.8,687.7,-97.0,364.3,69.5,52.9,-54.2,55.0,125.6,29.7,6.4
2018 estimate,"1,292.7",50.2,696.9,-104.6,382.3,67.6,55.7,-57.3,75.5,126.5,29.2,6.3
2019 estimate,"1,393.1",52.0,768.0,-115.7,403.9,68.4,59.5,-60.8,88.1,129.7,29.9,6.5
