Fiscal_Year,Total_Executive_Branch,Department_of_Defense,Total,Agriculture,HHS_Education_Social_Security_Admin.,Homeland_Security,Interior,Justice,Transpor-_tation,Treasury,Veterans,Other
1981,100.0,44.9,55.1,5.6,7.3,1.8,3.8,2.3,2.5,4.8,10.2,16.8
1982,100.0,47.2,52.8,5.4,7.1,1.8,3.5,2.2,2.6,4.6,10.4,15.3
1983,100.0,47.4,52.6,5.3,7.1,1.9,3.5,2.3,2.7,4.7,10.5,14.7
1984,100.0,48.0,52.0,5.2,6.8,1.8,3.5,2.4,2.7,4.9,10.5,14.2
1985,100.0,48.7,51.3,5.0,6.5,1.8,3.4,2.4,2.6,5.0,10.5,13.9
1986,100.0,49.3,50.7,4.9,6.3,1.8,3.3,2.6,2.6,5.2,10.4,13.6
1987,100.0,49.0,51.0,4.9,6.0,2.0,3.3,2.6,2.6,5.4,10.5,13.6
1988,100.0,47.7,52.3,5.1,5.8,2.2,3.3,2.7,2.7,6.0,10.5,13.9
1989,100.0,48.0,52.0,5.1,5.7,2.2,3.4,3.0,2.7,6.0,10.0,13.8
1990,100.0,46.3,53.7,5.1,5.6,2.2,3.3,3.0,2.7,6.0,9.8,15.9
1991,100.0,45.9,54.1,5.2,6.0,2.3,3.4,3.4,2.8,6.3,10.3,14.4
1992,100.0,44.9,55.1,5.2,6.2,2.5,3.5,3.6,2.9,6.2,10.6,14.6
1993,100.0,43.6,56.4,5.3,6.4,2.5,3.7,3.8,2.9,6.2,10.9,14.7
1994,100.0,42.3,57.7,5.4,6.4,2.6,3.7,3.9,2.9,6.3,11.4,15.1
1995,100.0,41.7,58.3,5.3,6.5,2.7,3.7,4.2,2.9,6.6,11.6,14.8
1996,100.0,41.2,58.8,5.3,6.7,3.1,3.5,4.4,3.0,6.5,11.7,14.5
1997,100.0,40.7,59.3,5.4,6.9,3.4,3.6,4.8,3.1,6.4,11.5,14.3
1998,100.0,39.5,60.5,5.4,7.1,3.7,3.7,5.1,3.2,6.3,11.6,14.5
1999,100.0,38.3,61.7,5.4,7.1,3.7,3.8,5.3,3.3,6.4,11.6,15.1
2000,100.0,36.4,63.6,5.2,7.0,3.7,3.7,5.3,3.1,6.3,11.2,18.1
2001,100.0,37.4,62.6,5.6,7.4,4.0,4.0,5.5,3.3,6.6,11.9,14.3
2002,100.0,37.0,63.0,5.5,7.2,4.6,4.0,5.5,3.5,6.6,11.9,14.1
2003,100.0,35.5,64.5,5.6,7.0,7.9,3.9,5.4,3.2,6.3,11.6,13.5
2004,100.0,35.7,64.3,5.5,7.0,7.5,3.9,5.6,3.1,6.2,12.0,13.4
2005,100.0,35.7,64.3,5.4,7.0,7.8,3.8,5.6,3.0,6.0,12.1,13.4
2006,100.0,36.1,63.9,5.3,6.9,7.9,3.7,5.7,2.9,5.9,12.1,13.4
2007,100.0,36.0,64.0,5.2,6.8,8.1,3.7,5.7,2.9,5.9,12.6,13.2
2008,100.0,35.8,64.2,5.0,6.7,8.4,3.6,5.7,2.9,5.7,13.3,12.9
2009,100.0,35.5,64.5,4.8,6.6,8.6,3.5,5.5,2.9,5.5,13.8,13.4
2010,100.0,34.8,65.2,4.5,6.5,8.1,3.3,5.3,2.7,5.3,13.4,16.1
2011,100.0,36.7,63.3,4.6,6.7,8.5,3.4,5.5,2.7,5.3,14.1,12.6
2012,100.0,36.6,63.4,4.4,6.6,8.8,3.3,5.5,2.7,5.1,14.4,12.5
2013,100.0,35.9,64.1,4.3,6.6,8.9,3.3,5.6,2.7,5.0,15.2,12.5
2014,100.0,35.6,64.4,4.2,6.6,9.0,3.2,5.5,2.7,4.9,15.9,12.4
2015 estimate,100.0,35.4,64.6,4.3,6.7,8.8,3.2,5.6,2.7,4.6,16.3,12.5
2016 estimate,100.0,34.6,65.4,4.3,6.8,8.9,3.2,5.6,2.7,5.0,16.5,12.4
