Fiscal Year,Individual_Income_Taxes,Corporate_Income_Taxes_1,Total_Social_Insurance_and_Retirement_Receipts_2,On_Budget_Social_Insurance_and_Retirement_Receipts_2,Off_Budget_Social_Insurance_and_Retirement_Receipts_2,Excise_Taxes_2_Total_Receipts,Other_3_Total_Receipts,Total_Total_Receipts,On_Budget_Total_Receipts,Off_Budget_Total_Receipts
1934,420,364,30,30,..........,"1,354",788,"2,955","2,955",..........
1935,527,529,31,31,..........,"1,439","1,084","3,609","3,609",..........
1936,674,719,52,52,..........,"1,631",847,"3,923","3,923",..........
1937,"1,092","1,038",580,315,265,"1,876",801,"5,387","5,122",265
1938,"1,286","1,287","1,541","1,154",387,"1,863",773,"6,751","6,364",387
1939,"1,029","1,127","1,593","1,090",503,"1,871",675,"6,295","5,792",503
1940,892,"1,197","1,785","1,235",550,"1,977",698,"6,548","5,998",550
1941,"1,314","2,124","1,940","1,252",688,"2,552",781,"8,712","8,024",688
1942,"3,263","4,719","2,452","1,557",896,"3,399",801,"14,634","13,738",896
1943,"6,505","9,557","3,044","1,913","1,130","4,096",800,"24,001","22,871","1,130"
1944,"19,705","14,838","3,473","2,181","1,292","4,759",972,"43,747","42,455","1,292"
1945,"18,372","15,988","3,451","2,141","1,310","6,265","1,083","45,159","43,849","1,310"
1946,"16,098","11,883","3,115","1,877","1,238","6,998","1,202","39,296","38,057","1,238"
1947,"17,935","8,615","3,422","1,963","1,459","7,211","1,331","38,514","37,055","1,459"
1948,"19,315","9,678","3,751","2,134","1,616","7,356","1,461","41,560","39,944","1,616"
1949,"15,552","11,192","3,781","2,091","1,690","7,502","1,388","39,415","37,724","1,690"
1950,"15,755","10,449","4,338","2,232","2,106","7,550","1,351","39,443","37,336","2,106"
1951,"21,616","14,101","5,674","2,554","3,120","8,648","1,578","51,616","48,496","3,120"
1952,"27,934","21,226","6,445","2,851","3,594","8,852","1,710","66,167","62,573","3,594"
1953,"29,816","21,238","6,820","2,723","4,097","9,877","1,857","69,608","65,511","4,097"
1954,"29,542","21,101","7,208","2,619","4,589","9,945","1,905","69,701","65,112","4,589"
1955,"28,747","17,861","7,862","2,781","5,081","9,131","1,850","65,451","60,370","5,081"
1956,"32,188","20,880","9,320","2,896","6,425","9,929","2,270","74,587","68,162","6,425"
1957,"35,620","21,167","9,997","3,208","6,789","10,534","2,672","79,990","73,201","6,789"
1958,"34,724","20,074","11,239","3,190","8,049","10,638","2,961","79,636","71,587","8,049"
1959,"36,719","17,309","11,722","3,427","8,296","10,578","2,921","79,249","70,953","8,296"
1960,"40,715","21,494","14,683","4,042","10,641","11,676","3,923","92,492","81,851","10,641"
1961,"41,338","20,954","16,439","4,331","12,109","11,860","3,796","94,388","82,279","12,109"
1962,"45,571","20,523","17,046","4,776","12,271","12,534","4,001","99,676","87,405","12,271"
1963,"47,588","21,579","19,804","5,629","14,175","13,194","4,395","106,560","92,385","14,175"
1964,"48,697","23,493","21,963","5,597","16,366","13,731","4,731","112,613","96,248","16,366"
1965,"48,792","25,461","22,242","5,519","16,723","14,570","5,753","116,817","100,094","16,723"
1966,"55,446","30,073","25,546","6,460","19,085","13,062","6,708","130,835","111,749","19,085"
1967,"61,526","33,971","32,619","8,217","24,401","13,719","6,987","148,822","124,420","24,401"
1968,"68,726","28,665","33,923","9,007","24,917","14,079","7,580","152,973","128,056","24,917"
