Fiscal_Year,Individual_Income_Taxes,Corporation_Income_Taxes,Total_Social_Insurance_and_Retirement_Receipts,On_Budget_Social_Insurance_and_Retirement_Receipts,Off_Budget_Social_Insurance_and_Retirement_Receipts,Excise_Taxes,Other,Total_Receipts,On_Budget_Total_Receipts,On_Budget_Total_Receipts
1934,14.2,12.3,1.0,1.0,..........,45.8,26.7,100.0,100.0,..........
1935,14.6,14.7,0.9,0.9,..........,39.9,30.0,100.0,100.0,..........
1936,17.2,18.3,1.3,1.3,..........,41.6,21.6,100.0,100.0,..........
1937,20.3,19.3,10.8,5.9,4.9,34.8,14.9,100.0,95.1,4.9
1938,19.1,19.1,22.8,17.1,5.7,27.6,11.5,100.0,94.3,5.7
1939,16.3,17.9,25.3,17.3,8.0,29.7,10.7,100.0,92.0,8.0
1940,13.6,18.3,27.3,18.9,8.4,30.2,10.7,100.0,91.6,8.4
1941,15.1,24.4,22.3,14.4,7.9,29.3,9.0,100.0,92.1,7.9
1942,22.3,32.2,16.8,10.6,6.1,23.2,5.5,100.0,93.9,6.1
1943,27.1,39.8,12.7,8.0,4.7,17.1,3.3,100.0,95.3,4.7
1944,45.0,33.9,7.9,5.0,3.0,10.9,2.2,100.0,97.0,3.0
1945,40.7,35.4,7.6,4.7,2.9,13.9,2.4,100.0,97.1,2.9
1946,41.0,30.2,7.9,4.8,3.2,17.8,3.1,100.0,96.8,3.2
1947,46.6,22.4,8.9,5.1,3.8,18.7,3.5,100.0,96.2,3.8
1948,46.5,23.3,9.0,5.1,3.9,17.7,3.5,100.0,96.1,3.9
1949,39.5,28.4,9.6,5.3,4.3,19.0,3.5,100.0,95.7,4.3
1950,39.9,26.5,11.0,5.7,5.3,19.1,3.4,100.0,94.7,5.3
1951,41.9,27.3,11.0,4.9,6.0,16.8,3.1,100.0,94.0,6.0
1952,42.2,32.1,9.7,4.3,5.4,13.4,2.6,100.0,94.6,5.4
1953,42.8,30.5,9.8,3.9,5.9,14.2,2.7,100.0,94.1,5.9
1954,42.4,30.3,10.3,3.8,6.6,14.3,2.7,100.0,93.4,6.6
1955,43.9,27.3,12.0,4.2,7.8,14.0,2.8,100.0,92.2,7.8
1956,43.2,28.0,12.5,3.9,8.6,13.3,3.0,100.0,91.4,8.6
1957,44.5,26.5,12.5,4.0,8.5,13.2,3.3,100.0,91.5,8.5
1958,43.6,25.2,14.1,4.0,10.1,13.4,3.7,100.0,89.9,10.1
1959,46.3,21.8,14.8,4.3,10.5,13.3,3.7,100.0,89.5,10.5
1960,44.0,23.2,15.9,4.4,11.5,12.6,4.2,100.0,88.5,11.5
1961,43.8,22.2,17.4,4.6,12.8,12.6,4.0,100.0,87.2,12.8
1962,45.7,20.6,17.1,4.8,12.3,12.6,4.0,100.0,87.7,12.3
1963,44.7,20.3,18.6,5.3,13.3,12.4,4.1,100.0,86.7,13.3
1964,43.2,20.9,19.5,5.0,14.5,12.2,4.2,100.0,85.5,14.5
1965,41.8,21.8,19.0,4.7,14.3,12.5,4.9,100.0,85.7,14.3
1966,42.4,23.0,19.5,4.9,14.6,10.0,5.1,100.0,85.4,14.6
1967,41.3,22.8,21.9,5.5,16.4,9.2,4.7,100.0,83.6,16.4
1968,44.9,18.7,22.2,5.9,16.3,9.2,5.0,100.0,83.7,16.3
1969,46.7,19.6,20.9,5.4,15.5,8.1,4.7,100.0,84.5,15.5
1970,46.9,17.0,23.0,5.7,17.4,8.1,4.9,100.0,82.6,17.4
1971,46.1,14.3,25.3,6.1,19.2,8.9,5.4,100.0,80.8,19.2
1972,45.7,15.5,25.4,6.1,19.2,7.5,6.0,100.0,80.8,19.2
1973,44.7,15.7,27.3,7.4,20.0,7.0,5.2,100.0,80.0,20.0
1974,45.2,14.7,28.5,8.0,20.5,6.4,5.2,100.0,79.5,20.5
1975,43.9,14.6,30.3,7.9,22.4,5.9,5.4,100.0,77.6,22.4
1976,44.2,13.9,30.5,8.2,22.3,5.7,5.8,100.0,77.7,22.3
TQ,47.8,10.4,31.0,8.9,22.2,5.5,5.3,100.0,77.8,22.2
1977,44.3,15.4,29.9,8.3,21.6,4.9,5.3,100.0,78.4,21.6
1978,45.3,15.0,30.3,8.9,21.4,4.6,4.8,100.0,78.6,21.4
1979,47.0,14.2,30.0,8.8,21.2,4.0,4.8,100.0,78.8,21.2
1980,47.2,12.5,30.5,8.6,21.9,4.7,5.1,100.0,78.1,21.9
1981,47.7,10.2,30.5,8.8,21.7,6.8,4.8,100.0,78.3,21.7
1982,48.2,8.0,32.6,9.4,23.2,5.9,5.3,100.0,76.8,23.2
1983,48.1,6.2,34.8,10.3,24.5,5.9,5.0,100.0,75.5,24.5
1984,44.8,8.5,35.9,11.0,24.9,5.6,5.2,100.0,75.1,24.9
1985,45.6,8.4,36.1,10.8,25.4,4.9,5.0,100.0,74.6,25.4
1986,45.4,8.2,36.9,10.9,26.0,4.3,5.2,100.0,74.0,26.0
1987,46.0,9.8,35.5,10.5,25.0,3.8,4.9,100.0,75.0,25.0
1988,44.1,10.4,36.8,10.2,26.6,3.9,4.8,100.0,73.4,26.6
1989,45.0,10.4,36.3,9.7,26.6,3.5,4.9,100.0,73.4,26.6
1990,45.2,9.1,36.8,9.5,27.3,3.4,5.4,100.0,72.7,27.3
1991,44.3,9.3,37.5,9.7,27.9,4.0,4.8,100.0,72.1,27.9
1992,43.6,9.2,37.9,10.2,27.7,4.2,5.1,100.0,72.3,27.7
1993,44.2,10.2,37.1,10.1,27.0,4.2,4.4,100.0,73.0,27.0
1994,43.1,11.2,36.7,10.0,26.6,4.4,4.6,100.0,73.4,26.6
1995,43.7,11.6,35.8,9.9,26.0,4.3,4.6,100.0,74.0,26.0
1996,45.2,11.8,35.1,9.8,25.3,3.7,4.2,100.0,74.7,25.3
1997,46.7,11.5,34.2,9.3,24.8,3.6,4.0,100.0,75.2,24.8
1998,48.1,11.0,33.2,9.1,24.2,3.3,4.4,100.0,75.8,24.2
1999,48.1,10.1,33.5,9.2,24.3,3.9,4.4,100.0,75.7,24.3
2000,49.6,10.2,32.2,8.5,23.7,3.4,4.5,100.0,76.3,23.7
2001,49.9,7.6,34.9,9.4,25.5,3.3,4.3,100.0,74.5,25.5
2002,46.3,8.0,37.8,10.0,27.8,3.6,4.3,100.0,72.2,27.8
2003,44.5,7.4,40.0,10.6,29.4,3.8,4.3,100.0,70.6,29.4
2004,43.0,10.1,39.0,10.6,28.4,3.7,4.2,100.0,71.6,28.4
2005,43.1,12.9,36.9,10.1,26.8,3.4,3.8,100.0,73.2,26.8
2006,43.4,14.7,34.8,9.5,25.3,3.1,4.0,100.0,74.7,25.3
2007,45.3,14.4,33.9,9.1,24.7,2.5,3.9,100.0,75.3,24.7
2008,45.4,12.1,35.7,9.6,26.1,2.7,4.2,100.0,73.9,26.1
2009,43.5,6.6,42.3,11.3,31.1,3.0,4.7,100.0,68.9,31.1
2010,41.5,8.9,40.0,10.8,29.2,3.1,6.5,100.0,70.8,29.2
2011,47.4,7.9,35.5,11.0,24.6,3.1,6.1,100.0,75.4,24.6
2012,46.2,9.9,34.5,11.3,23.2,3.2,6.2,100.0,76.8,23.2
2013,47.4,9.9,34.2,9.9,24.3,3.0,5.5,100.0,75.7,24.3
2014,46.2,10.6,33.9,9.5,24.3,3.1,6.3,100.0,75.7,24.3
2015 estimate,46.5,10.8,33.5,9.4,24.1,3.0,6.2,100.0,75.9,24.1
2016 estimate,46.7,13.4,31.5,8.8,22.7,3.2,5.2,100.0,77.3,22.7
2017 estimate,47.1,13.3,31.2,8.8,22.5,3.2,5.1,100.0,77.5,22.5
2018 estimate,47.8,12.8,31.1,8.7,22.4,3.1,5.2,100.0,77.6,22.4
2019 estimate,48.4,12.3,31.0,8.6,22.4,3.0,5.4,100.0,77.6,22.4
2020 estimate,48.9,11.8,30.8,8.5,22.3,2.9,5.6,100.0,77.7,22.3
