Fiscal_Year,Individual_Income_Taxes,Corporation_Income_Taxes,Total_Social_Insurance_and_Retirement_Receipts,On_Budget_Social_Insurance_and_Retirement_Receipts,Off_Budget_Social_Insurance_and_Retirement_Receipts,Excise_Taxes,Other,Total_Total_Receipts,On_Budget_Total_Receipts,Off_Budget_Total_Receipts
1934,0.7,0.6,*,(*),..........,2.2,1.3,4.8,4.8,..........
1935,0.7,0.8,*,(*),..........,2.0,1.5,5.1,5.1,..........
1936,0.8,0.9,0.1,0.1,..........,2.0,1.1,4.9,4.9,..........
1937,1.2,1.2,0.7,0.4,0.3,2.1,0.9,6.1,5.8,0.3
1938,1.4,1.4,1.7,1.3,0.4,2.1,0.9,7.5,7.1,0.4
1939,1.1,1.2,1.8,1.2,0.6,2.1,0.7,7.0,6.4,0.6
1940,0.9,1.2,1.8,1.3,0.6,2.0,0.7,6.7,6.1,0.6
1941,1.1,1.8,1.7,1.1,0.6,2.2,0.7,7.5,6.9,0.6
1942,2.2,3.2,1.7,1.1,0.6,2.3,0.5,9.9,9.3,0.6
1943,3.5,5.2,1.6,1.0,0.6,2.2,0.4,13.0,12.4,0.6
1944,9.2,6.9,1.6,1.0,0.6,2.2,0.5,20.5,19.9,0.6
1945,8.1,7.1,1.5,0.9,0.6,2.8,0.5,19.9,19.4,0.6
1946,7.1,5.2,1.4,0.8,0.5,3.1,0.5,17.2,16.7,0.5
1947,7.5,3.6,1.4,0.8,0.6,3.0,0.6,16.1,15.5,0.6
1948,7.4,3.7,1.4,0.8,0.6,2.8,0.6,15.8,15.2,0.6
1949,5.6,4.0,1.4,0.8,0.6,2.7,0.5,14.2,13.6,0.6
1950,5.6,3.7,1.6,0.8,0.8,2.7,0.5,14.1,13.4,0.8
1951,6.6,4.3,1.7,0.8,1.0,2.6,0.5,15.8,14.8,1.0
1952,7.8,5.9,1.8,0.8,1.0,2.5,0.5,18.5,17.5,1.0
1953,7.8,5.6,1.8,0.7,1.1,2.6,0.5,18.2,17.1,1.1
1954,7.6,5.4,1.9,0.7,1.2,2.6,0.5,18.0,16.8,1.2
1955,7.1,4.4,1.9,0.7,1.2,2.2,0.5,16.1,14.8,1.2
1956,7.3,4.8,2.1,0.7,1.5,2.3,0.5,17.0,15.5,1.5
1957,7.7,4.6,2.2,0.7,1.5,2.3,0.6,17.2,15.8,1.5
1958,7.3,4.2,2.4,0.7,1.7,2.2,0.6,16.8,15.1,1.7
1959,7.3,3.4,2.3,0.7,1.6,2.1,0.6,15.7,14.0,1.6
1960,7.6,4.0,2.7,0.8,2.0,2.2,0.7,17.3,15.3,2.0
1961,7.5,3.8,3.0,0.8,2.2,2.2,0.7,17.2,15.0,2.2
1962,7.8,3.5,2.9,0.8,2.1,2.1,0.7,17.0,14.9,2.1
1963,7.7,3.5,3.2,0.9,2.3,2.1,0.7,17.2,14.9,2.3
1964,7.3,3.5,3.3,0.8,2.5,2.1,0.7,17.0,14.5,2.5
1965,6.9,3.6,3.1,0.8,2.4,2.1,0.8,16.4,14.1,2.4
1966,7.1,3.8,3.3,0.8,2.4,1.7,0.9,16.7,14.3,2.4
1967,7.3,4.1,3.9,1.0,2.9,1.6,0.8,17.8,14.8,2.9
1968,7.6,3.2,3.8,1.0,2.8,1.6,0.8,17.0,14.2,2.8
1969,8.9,3.7,4.0,1.0,2.9,1.5,0.9,19.0,16.1,2.9
1970,8.6,3.1,4.2,1.0,3.2,1.5,0.9,18.4,15.2,3.2
1971,7.7,2.4,4.2,1.0,3.2,1.5,0.9,16.7,13.5,3.2
1972,7.8,2.6,4.3,1.0,3.3,1.3,1.0,17.0,13.7,3.3
1973,7.6,2.7,4.7,1.3,3.4,1.2,0.9,17.0,13.6,3.4
1974,8.0,2.6,5.1,1.4,3.6,1.1,0.9,17.7,14.1,3.6
1975,7.6,2.5,5.2,1.4,3.9,1.0,0.9,17.3,13.5,3.9
1976,7.4,2.3,5.1,1.4,3.7,0.9,1.0,16.6,12.9,3.7
TQ,8.2,1.8,5.3,1.5,3.8,0.9,0.9,17.2,13.4,3.8
1977,7.8,2.7,5.2,1.5,3.8,0.9,0.9,17.5,13.7,3.8
1978,7.9,2.6,5.3,1.6,3.7,0.8,0.8,17.5,13.8,3.7
1979,8.5,2.6,5.4,1.6,3.8,0.7,0.9,18.0,14.2,3.8
1980,8.7,2.3,5.6,1.6,4.0,0.9,0.9,18.5,14.4,4.0
1981,9.1,1.9,5.8,1.7,4.1,1.3,0.9,19.1,14.9,4.1
1982,9.0,1.5,6.1,1.8,4.3,1.1,1.0,18.6,14.3,4.3
1983,8.2,1.0,5.9,1.7,4.2,1.0,0.9,17.0,12.8,4.2
1984,7.5,1.4,6.1,1.9,4.2,0.9,0.9,16.9,12.7,4.2
1985,7.8,1.4,6.2,1.8,4.4,0.8,0.9,17.2,12.8,4.4
1986,7.7,1.4,6.3,1.8,4.4,0.7,0.9,17.0,12.5,4.4
1987,8.2,1.8,6.3,1.9,4.5,0.7,0.9,17.9,13.4,4.5
1988,7.8,1.8,6.5,1.8,4.7,0.7,0.9,17.6,13.0,4.7
1989,8.0,1.9,6.5,1.7,4.7,0.6,0.9,17.8,13.1,4.7
1990,7.9,1.6,6.4,1.7,4.8,0.6,0.9,17.4,12.7,4.8
1991,7.7,1.6,6.5,1.7,4.8,0.7,0.8,17.3,12.5,4.8
1992,7.4,1.6,6.4,1.7,4.7,0.7,0.9,17.0,12.3,4.7
1993,7.5,1.7,6.3,1.7,4.6,0.7,0.7,17.0,12.4,4.6
1994,7.5,2.0,6.4,1.8,4.7,0.8,0.8,17.5,12.8,4.7
1995,7.8,2.1,6.4,1.8,4.6,0.8,0.8,17.8,13.2,4.6
