TYPE,Area,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Social Insurance and Retirement Receipts,Trust funds (Off-Budget),550,688,896,"1,130","1,292","1,310","1,238","1,459","1,616","1,690","2,106","3,120","3,594","4,097","4,589","5,081","6,425","6,457","7,138","7,418","9,671","11,104","11,267","13,117","15,242","15,567","17,556","22,197","22,265","25,484","29,396","31,354","35,132","40,703","47,778","55,207","58,703","15,886","68,032","73,141","83,410","96,581","117,757","122,840","128,972","150,312","169,822","182,518","194,541","220,337","240,595","255,031","265,502","273,136","281,735","302,607","284,091","311,869","336,729","358,784","383,559","411,677","434,057","440,541","447,806","457,120","493,646","520,069","542,901","562,519","559,067","539,996","483,683","486,783","575,555","628,792","654,447","642,071","660,537","692,780","724,753","754,832"
Social Insurance and Retirement Receipts,Disability insurance (Off-Budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,332,911,878,970,"1,005","1,004","1,058","1,124","1,156","1,530","2,204","2,651","3,469","4,063","4,490","4,775","5,381","6,147","7,250","7,686","2,130","8,786","12,250","14,584","16,628","12,418","20,626","18,348","15,763","16,348","17,711","18,860","21,154","23,071","26,625","28,382","29,289","30,199","32,419","66,988","55,623","55,261","57,015","60,909","68,907","73,462","74,780","76,036","77,625","83,830","88,313","92,188","95,527","94,942","91,691","82,105","82,718","97,719","106,773","111,123","158,894","183,441","192,362","201,220","209,568"
Social Insurance and Retirement Receipts,Hospital insurance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,893,"2,645","3,493","4,398","4,755","4,874","5,205","7,603","10,551","11,252","11,987","3,457","13,474","16,668","19,874","23,217","30,340","34,301","35,641","40,262","44,871","51,335","55,992","59,859","65,396","68,556","72,842","79,108","81,224","90,062","96,024","104,997","110,710","119,863","132,268","135,529","149,651","149,049","147,186","150,589","166,068","177,429","184,908","193,980","190,663","180,068","188,490","201,143","209,270","224,107","233,858","245,248","258,874","273,112","286,554","298,488"
Social Insurance and Retirement Receipts,Trust funds,120,114,141,215,263,309,292,298,758,574,550,575,735,625,603,600,634,616,575,525,607,571,564,572,593,636,683,776,814,885,919,980,"1,008","1,189","1,411","1,489","1,525",328,"1,908","1,822","2,190","2,323","2,457","2,917","2,805","3,321","2,213","2,103","2,220","2,326","2,391","2,292","2,371","2,449","2,367","2,323","2,424","2,362","2,440","2,583","2,629","2,688","2,658","2,525","2,333","2,297","2,284","2,338","2,309","2,404","2,301","2,285","2,415","2,519","2,791","3,032","3,194","3,268","3,364","3,470","3,572","3,672"
Social Insurance and Retirement Receipts,Railroad social security equivalent account,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,391","1,395","1,414","1,417","1,407","1,387","1,428","1,508","1,414","1,399","1,518","1,510","1,611","1,769","1,515","1,650","1,614","1,652","1,620","1,729","1,836","1,894","1,952","2,029","1,912","1,854","1,823","1,764","2,110","2,325","2,379","2,431","2,507","2,588","2,662","2,737"
Social Insurance and Retirement Receipts,Total 1,725,827,"1,064","1,338","1,557","1,592","1,517","1,835","2,168","2,246","2,648","3,688","4,315","4,722","5,192","5,981","7,059","7,405","8,624","8,821","11,248","12,679","12,835","14,746","16,959","17,358","20,662","27,823","29,224","34,236","39,133","41,699","46,120","54,876","65,888","75,199","79,901","21,801","92,199","103,881","120,058","138,748","162,973","180,686","185,766","209,658","234,646","255,062","273,028","305,093","332,858","353,891","370,526","385,490","396,938","428,810","451,045","476,361","506,751","540,014","580,880","620,451","661,442","668,547","674,981","689,360","747,664","790,043","824,258","856,459","848,885","815,894","758,516","774,927","887,445","965,029","1,005,001","1,051,912","1,108,723","1,164,312","1,218,761","1,269,297"
Social Insurance and Retirement Receipts,Trust funds,904,953,"1,172","1,310","1,454","1,375","1,126","1,133","1,138",985,"1,108","1,378","1,455","1,401","1,278","1,172","1,368","1,623","1,601","1,810","2,329","2,903","3,337","4,112","3,997","3,803","3,755","3,575","3,346","3,328","3,464","3,674","4,357","6,051","6,837","6,771","8,054","2,698","11,312","13,850","15,387","15,336","15,763","16,600","18,799","25,138","25,758","24,098","25,575","24,584","22,011","21,635","20,922","23,410","26,556","28,004","28,878","28,584","28,202","27,484","26,480","27,640","27,812","27,619","33,366","39,453","42,002","43,420","41,091","39,527","37,889","44,823","56,241","66,647","56,811","54,957","56,351","56,260","60,362","59,801","56,886","57,839"
Social Insurance and Retirement Receipts,Total,"1,015","1,056","1,299","1,477","1,644","1,568","1,316","1,329","1,343","1,205","1,332","1,609","1,712","1,675","1,561","1,449","1,690","1,950","1,933","2,131","2,667","2,903","3,337","4,112","3,997","3,803","3,755","3,575","3,346","3,328","3,464","3,674","4,357","6,051","6,837","6,771","8,054","2,698","11,312","13,850","15,387","15,336","15,763","16,600","18,799","25,138","25,758","24,098","25,575","24,584","22,011","21,635","20,922","23,410","26,556","28,004","28,878","28,584","28,202","27,484","26,480","27,640","27,812","27,619","33,366","39,453","42,002","43,420","41,091","39,527","37,889","44,823","56,241","66,647","56,811","54,957","56,351","56,260","60,362","59,801","56,886","57,839"
Social Insurance and Retirement Receipts,Federal employees retirement - employee share,44,56,88,227,270,289,280,256,236,326,354,373,413,418,450,426,566,636,673,760,758,845,863,933,992,"1,064","1,111","1,202","1,334","1,426","1,735","1,916","2,058","2,146","2,302","2,513","2,760",707,"2,915","3,174","3,428","3,660","3,908","4,140","4,351","4,494","4,672","4,645","4,613","4,537","4,428","4,405","4,459","4,683","4,709","4,563","4,461","4,389","4,344","4,259","4,400","4,691","4,647","4,533","4,578","4,543","4,409","4,308","4,207","4,125","4,105","4,062","4,005","3,712","3,538","3,446","3,635","3,731","4,181","4,440","4,729","5,055"
Social Insurance and Retirement Receipts,Non-Federal employees retirement,1,1,1,2,2,2,2,3,3,4,4,4,5,5,5,6,5,5,9,10,10,12,12,13,15,16,18,19,20,24,29,37,39,41,45,52,54,13,59,62,66,59,76,72,78,86,87,96,102,122,119,117,108,105,96,98,89,80,74,74,73,70,66,61,53,51,50,50,51,44,38,35,30,28,26,26,25,23,22,22,22,21
