Superfunction,Function,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
National Defense,National Defense,"1,660","6,435","25,658","66,699","79,143","82,965","42,681","12,808","9,105","13,150","13,724","23,566","46,089","52,802","49,266","42,729","42,523","45,430","46,815","49,015","48,130","49,601","52,345","53,400","54,757","50,620","58,111","71,417","81,926","82,497","81,692","78,872","79,174","76,681","79,347","86,509","89,619","22,269","97,241","104,495","116,342","133,995","157,513","185,309","209,903","227,411","252,743","273,373","281,996","290,360","303,555","299,321","273,285","298,346","291,084","281,640","272,063","265,748","270,502","268,194","274,769","294,363","304,732","348,456","404,733","455,813","495,294","521,820","551,258","616,066","661,012","693,485","705,554","677,852","633,446","603,457","597,503","615,515","603,855","591,993","590,413","597,992"
Human resources,Human resources,"4,139","4,158","3,599","2,659","1,928","1,859","5,493","9,909","9,868","10,805","14,221","11,001","11,745","11,836","13,076","14,908","16,052","18,161","22,288","24,892","26,184","29,838","31,630","33,522","35,294","36,576","43,257","51,272","59,375","66,410","75,349","91,901","107,211","119,522","135,783","173,245","203,594","52,065","221,895","242,329","267,574","313,374","362,022","388,681","426,011","432,076","471,859","481,625","502,220","533,426","568,803","619,463","689,810","772,599","827,691","869,550","923,788","958,274","1,002,389","1,033,465","1,057,770","1,115,517","1,194,417","1,317,547","1,417,857","1,485,809","1,586,013","1,671,926","1,758,391","1,895,637","2,155,793","2,386,633","2,414,742","2,348,587","2,417,949","2,525,545","2,734,629","2,884,800","2,983,293","3,088,245","3,293,808","3,450,652"
Human resources,"Education, Training, Employment, and Social Services","1,972","1,592","1,062",375,160,134,85,102,191,178,241,235,339,441,370,445,591,590,643,789,968,"1,063","1,241","1,458","1,555","2,140","4,363","6,453","7,634","7,548","8,634","9,849","12,529","12,744","12,455","16,022","18,910","5,169","21,104","26,706","30,218","31,835","33,146","26,609","26,194","26,916","28,589","29,773","28,918","30,928","35,325","37,167","41,231","42,735","47,374","43,281","51,020","48,311","48,972","50,512","50,605","53,764","57,094","70,566","82,587","87,974","97,555","118,482","91,656","91,287","79,749","128,598","101,233","90,823","72,808","90,615","136,756","106,342","115,901","125,594","133,422","139,358"
Human resources,Health,55,60,71,92,174,211,201,177,162,197,268,323,347,336,307,291,359,479,541,685,795,913,"1,198","1,451","1,788","1,791","2,543","3,351","4,390","5,162","5,907","6,843","8,674","9,356","10,733","12,930","15,734","3,924","17,302","18,524","20,494","23,169","26,866","27,445","28,641","30,417","33,541","35,933","39,964","44,483","48,380","57,699","71,168","89,486","99,401","107,107","115,399","119,365","123,832","131,425","141,048","154,504","172,233","196,497","219,541","240,122","250,548","252,739","266,382","280,599","334,335","369,068","372,504","346,742","358,315","409,449","481,232","517,726","543,512","582,712","620,399","641,260"
Human resources,Medicare,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,64,"2,748","4,649","5,695","6,213","6,622","7,479","8,052","9,639","12,875","15,834","4,264","19,345","22,768","26,495","32,090","39,149","46,567","52,588","57,540","65,822","70,164","75,120","78,878","84,964","98,102","104,489","119,024","130,552","144,747","159,855","174,225","190,016","192,822","190,447","197,113","217,384","230,855","249,433","269,360","298,638","329,868","375,407","390,758","430,093","451,636","485,653","471,793","497,826","511,688","536,427","589,720","590,611","592,307","652,226","696,833"
Human resources,Income Security,"1,514","1,855","1,828","1,739","1,503","1,137","2,384","2,820","2,499","3,174","4,097","3,352","3,655","3,823","4,434","5,071","4,734","5,427","7,535","8,239","7,378","9,683","9,207","9,311","9,657","9,469","9,678","10,261","11,816","13,076","15,655","22,946","27,650","28,278","33,714","50,176","60,799","14,985","61,060","61,509","66,382","86,565","100,304","108,158","123,041","113,405","129,032","120,685","124,137","130,430","137,589","148,838","172,633","199,732","210,137","217,290","223,806","229,746","235,035","237,750","242,478","253,724","269,774","312,720","334,632","333,059","345,847","352,477","365,975","431,313","533,224","622,210","597,352","541,344","536,511","513,644","522,496","546,350","554,937","552,624","574,259","584,008"
Human resources,Social Security,28,91,137,177,217,267,358,466,558,657,781,"1,565","2,063","2,717","3,352","4,427","5,478","6,661","8,219","9,737","11,602","12,474","14,365","15,788","16,620","17,460","20,694","21,725","23,854","27,298","30,270","35,872","40,157","49,090","55,867","64,658","73,899","19,763","85,061","93,861","104,073","118,547","139,584","155,964","170,724","178,223","188,623","198,756","207,352","219,341","232,542","248,623","269,014","287,584","304,585","319,565","335,846","349,671","365,251","379,215","390,037","409,423","432,958","455,980","474,680","495,548","523,305","548,549","586,153","617,027","682,963","706,737","730,811","773,290","813,551","850,533","896,294","944,338","997,040","1,056,699","1,120,347","1,187,701"
Human resources,(On-budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,94,94,414,458,465,538,526,494,499,515,..........,717,741,757,675,670,844,"19,993","7,056","5,189","8,072","4,930","4,852","5,069","3,625","2,619","6,166","6,236","5,683","5,476","5,802","6,879","9,146","10,824","13,254","11,701","13,969","13,279","14,348","16,526","16,058","19,307","17,830","34,071","23,317","101,933","140,387","56,009","25,946","31,094","36,234","39,385","42,728","46,478","50,430"
Human resources,(Off-budget),28,91,137,177,217,267,358,466,558,657,781,"1,565","2,063","2,717","3,352","4,427","5,478","6,661","8,219","9,737","11,602","12,474","14,365","15,788","16,620","17,460","20,694","21,631","23,760","26,885","29,812","35,408","39,620","48,565","55,373","64,159","73,384","19,763","84,344","93,120","103,316","117,872","138,914","155,120","150,731","171,167","183,434","190,684","202,422","214,489","227,473","244,998","266,395","281,418","298,349","313,881","330,370","343,869","358,372","370,069","379,213","396,169","421,257","442,011","461,401","481,200","506,779","532,491","566,846","599,197","648,892","683,420","628,878","632,903","757,542","824,587","865,200","908,104","957,655","1,013,971","1,073,869","1,137,271"
Human resources,Veterans Benefits and Services,570,560,501,276,-126,110,"2,465","6,344","6,457","6,599","8,834","5,526","5,341","4,519","4,613","4,675","4,891","5,005","5,350","5,443","5,441","5,705","5,619","5,514","5,675","5,716","5,916","6,735","7,032","7,631","8,669","9,768","10,720","12,003","13,374","16,584","18,419","3,960","18,022","18,961","19,914","21,169","22,973","23,938","24,824","25,575","26,251","26,314","26,729","29,367","30,003","29,034","31,275","34,037","35,642","37,559","37,862","36,956","39,283","41,741","43,155","46,989","44,974","50,929","56,984","59,746","70,120","69,811","72,818","84,653","95,429","108,384","127,189","124,595","138,938","149,616","161,424","180,324","181,292","178,309","193,155","201,492"
