Function,Subfunction,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
050 National Defense,Military Personnel,"16,331","16,256","17,422","17,913","20,009","22,952","25,118","26,914","29,032","29,079","29,571","29,773","30,409","32,162","32,546","8,268","33,672","35,553","37,345","40,897","47,941","55,170","60,886","64,158","67,842","71,511","72,020","76,337","80,676","75,622","83,439","81,171","75,904","73,137","70,809","66,669","69,724","68,976","69,503","75,950","73,977","86,799","106,744","113,576","127,463","127,543","127,544","138,940","147,348","155,690","161,608","152,266","150,825","148,923","149,247","148,125",N/A,N/A,N/A,N/A
050 National Defense,Operation and Maintenance,"11,594","11,874","11,932","12,349","14,710","19,000","20,578","22,227","21,609","20,941","21,675","21,069","22,478","26,297","27,837","7,232","30,587","33,580","36,440","44,788","51,878","59,673","64,881","67,329","72,336","75,255","76,167","84,436","86,960","88,294","101,715","91,939","94,036","87,868","91,017","88,711","92,408","93,412","96,344","105,812","111,964","130,005","151,408","174,045","188,118","203,789","216,631","244,836","259,312","275,988","291,038","282,297","259,662","244,481","234,207","250,914",N/A,N/A,N/A,N/A
050 National Defense,Procurement,"14,532","16,632","15,351","11,839","14,339","19,012","23,283","23,988","21,584","18,858","17,131","15,654","15,241","16,042","15,964","3,766","18,178","19,976","25,404","29,021","35,191","43,271","53,624","61,879","70,381","76,517","80,743","77,164","81,619","80,972","82,028","74,880","69,935","61,768","54,981","48,913","47,690","48,206","48,826","51,696","54,986","62,515","67,926","76,216","82,294","89,757","99,647","117,398","129,218","133,603","128,003","124,712","114,912","107,485","106,205","102,724",N/A,N/A,N/A,N/A
050 National Defense,"Research, Development, Test, and Evaluation","6,319","6,376","7,021","6,236","6,259","7,160","7,747","7,457","7,166","7,303","7,881","8,157","8,582","8,866","8,923","2,206","9,795","10,508","11,152","13,127","15,278","17,729","20,552","23,113","27,099","32,279","33,592","34,788","36,997","37,454","34,585","34,628","36,964","34,759","34,590","36,490","37,011","37,416","37,359","37,602","40,455","44,389","53,098","60,759","65,694","68,629","73,136","75,120","79,030","76,990","74,871","70,396","66,892","64,928","66,277","70,296",N/A,N/A,N/A,N/A
050 National Defense,Military Construction,"1,347","1,144","1,026","1,007","1,334","1,536","1,281","1,389","1,168","1,095","1,108","1,119","1,407","1,462","2,019",376,"1,914","1,932","2,080","2,450","2,458","2,922","3,524","3,705","4,260","5,067","5,853","5,874","5,275","5,080","3,497","4,262","4,831","4,979","6,823","6,683","6,187","6,044","5,521","5,109","4,977","5,052","5,851","6,312","5,331","6,245","7,899","11,563","17,614","21,169","19,917","14,553","12,318","9,823","9,781","9,244",N/A,N/A,N/A,N/A
050 National Defense,Family Housing,259,563,550,563,569,485,495,574,614,598,688,729,884,"1,124","1,192",296,"1,358","1,405","1,468","1,680","1,721","1,993","2,126","2,413","2,642","2,819","2,908","3,082","3,257","3,501","3,296","3,271","3,255","3,316","3,571","3,828","4,003","3,871","3,692","3,413","3,516","3,736","3,784","3,905","3,720","3,717","3,473","3,590","2,721","3,173","3,432","2,331","1,829","1,354","1,510","1,450",N/A,N/A,N/A,N/A
050 National Defense,Other,-271,"-1,696",-717,"-1,127",-590,-76,"1,853","-1,777","-1,050",-376,-409,"-1,468","-1,137","-1,101",-563,-338,-357,-694,-284,"-1,050",-605,-65,"-1,236","-1,734",548,"1,993","2,637",209,46,"-1,228","-46,236","-3,317","-6,429","2,727","-2,418","1,836","1,228","-2,132",-47,"1,447",310,-651,"-1,675","1,626","1,451",-383,218,"3,185","1,499",90,-805,"4,296","1,357",903,476,"3,726",N/A,N/A,N/A,N/A
050 National Defense,"051 Subtotal, Department of Defense-Military","50,111","51,147","52,585","48,780","56,629","70,069","80,355","80,771","80,123","77,497","77,645","75,033","77,864","84,852","87,917","21,807","95,147","102,259","113,605","130,912","153,861","180,693","204,356","220,863","245,109","265,440","273,919","281,889","294,829","289,694","262,324","286,834","278,497","268,553","259,373","253,130","258,251","255,793","261,198","281,029","290,185","331,845","387,136","436,439","474,071","499,297","528,548","594,632","636,742","666,703","678,064","650,851","607,795","577,897","567,703","586,479","575,088","563,151","561,076","568,340"
050 National Defense,053 Atomic energy defense activities,"2,074","2,041","1,902","1,620","1,466","1,277","1,336","1,389","1,415","1,385","1,373","1,409","1,486","1,506","1,565",435,"1,936","2,070","2,541","2,878","3,398","4,309","5,171","6,120","7,098","7,445","7,451","7,913","8,119","8,988","9,998","10,613","11,011","11,884","11,769","11,637","11,267","11,262","12,221","12,138","12,931","14,795","16,018","16,605","18,031","17,465","17,042","17,122","17,546","19,308","20,410","19,246","17,634","17,416","21,208","20,767","20,310","20,401","20,785","21,004"
050 National Defense,054 Defense-related activities,160,212,270,220,16,71,235,337,154,-10,156,240,-3,151,137,27,158,166,196,206,253,307,375,428,535,487,626,557,606,639,964,899,"1,577","1,202",921,981,984,"1,139","1,350","1,196","1,616","1,816","1,579","2,769","3,192","5,058","5,668","4,312","6,724","7,474","7,080","7,755","8,017","8,144","8,592","8,269","8,457","8,441","8,552","8,648"
