Department or other unit,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Legislative Branch,196,192,199,212,234,252,269,289,353,395,499,553,638,739,788,226,990,"1,064","1,099","1,224","1,214","1,367","1,437","1,577","1,607","1,662","1,810","1,848","2,216","2,231","2,245","2,629","2,394","2,537","2,609","2,263","2,348","2,572","2,592","2,871","2,959","3,187","3,396","3,890","3,984","4,101","4,294","4,408","4,704","5,839","4,582","4,440","4,316","4,164","4,899","4,794","4,969","5,007","5,065","5,113"
Judicial Branch,57,62,66,75,80,88,94,110,133,145,173,188,207,284,325,85,393,437,481,567,641,710,787,866,966,"1,071","1,180","1,342","1,499","1,646","1,997","2,308","2,628","2,677","2,903","3,059","3,259","3,459","3,789","4,057","4,381","4,828","5,127","5,389","5,547","5,823","6,006","6,347","6,645","7,181","7,296","7,227","7,063","6,893","7,567","7,724","7,852","8,012","8,135","8,225"
Department of Agriculture,"6,437","7,414","7,569","6,940","5,633","5,952","7,430","8,446","8,412","8,673","11,021","10,167","10,302","15,518","17,682","5,009","23,287","30,179","31,698","34,721","41,541","45,623","52,317","41,928","55,435","58,599","49,507","43,930","48,256","45,858","53,990","56,320","63,019","60,615","56,550","54,218","52,393","53,800","62,690","75,071","68,071","68,622","72,737","71,560","85,308","93,533","84,427","90,795","114,440","129,459","139,397","139,717","155,895","141,808","147,536","147,863","153,151","152,653","148,559","146,030"
Department of Commerce,215,354,702,736,485,477,582,607,778,783,850,934,992,"1,077","1,484",396,"2,010","4,720","3,538","3,129","2,296","2,054","1,925","1,894","2,139","2,083","2,127","2,278","2,570","3,734","2,585","2,566","2,797","2,915","3,401","3,702","3,782","4,036","5,020","7,788","5,003","5,312","5,665","5,829","6,147","6,372","6,475","7,721","10,718","13,236","9,930","10,273","9,140","7,895","9,971","10,441","9,321","11,907","13,722","17,032"
Department of Defense--Military Programs,"50,111","51,147","52,585","48,780","56,629","70,069","80,355","80,771","80,123","77,497","77,645","75,033","77,864","84,852","87,917","21,807","95,147","102,259","113,605","130,912","153,861","180,693","204,356","220,863","245,109","265,440","273,919","281,889","294,829","289,694","261,860","286,574","278,510","268,577","259,487","253,196","258,262","255,793","261,196","281,028","290,185","331,845","388,686","437,034","474,354","499,344","528,578","594,662","636,775","666,715","678,074","650,867","607,800","577,898","567,702","586,478","575,087","563,150","561,075","568,339"
Department of Education,816,985,973,"1,152","2,416","3,596","4,072","3,990","4,594","5,099","5,537","5,709","5,747","7,331","7,897","2,035","8,717","9,828","12,167","14,612","16,973","14,707","14,433","15,424","16,596","17,577","16,670","18,145","21,468","22,972","25,196","25,832","30,109","24,557","31,205","29,727","30,009","31,294","31,285","33,476","35,523","46,373","57,145","62,780","72,858","93,368","66,372","65,963","53,389","93,743","65,484","57,249","40,910","59,610","103,288","68,506","73,669","80,852","88,426","94,971"
Department of Energy,"2,755","2,700","2,726","2,579","2,343","2,253","2,474","2,393","2,393","2,200","2,299","2,304","2,233","3,230","3,841","1,048","5,049","6,412","7,441","7,260","11,756","11,656","10,590","10,990","10,586","11,025","10,692","11,165","11,386","12,083","12,472","15,515","16,933","17,830","17,608","16,195","14,458","14,414","15,879","14,971","16,319","17,669","19,379","19,892","21,271","19,649","20,116","21,400","23,683","30,778","31,371","32,484","24,731","23,638","30,140","28,303","28,348","27,611","28,359","29,398"
Department of Health and Human Services,"3,529","4,110","4,610","4,700","5,715","9,639","13,074","15,411","17,397","20,391","25,309","25,578","28,062","33,751","40,261","10,530","46,493","51,752","57,820","68,255","80,821","88,408","95,008","102,374","114,270","122,940","131,410","140,035","152,689","175,515","198,095","231,550","253,821","278,887","303,060","319,788","339,514","350,341","359,429","382,311","425,885","465,326","504,922","542,982","581,390","614,274","671,982","700,442","796,267","854,059","891,247","848,056","886,291","936,012","1,012,950","1,092,946","1,110,867","1,131,418","1,215,288","1,270,995"
Department of Homeland Security,566,642,747,774,705,782,973,"1,055","1,089","1,011","1,340","1,833","1,661","2,099","2,455",648,"2,755","3,217","3,415","4,296","3,943","3,847","4,689","5,060","5,007","5,383","5,383","6,180","5,671","7,219","6,654","7,577","9,653","10,708","9,376","9,692","10,533","10,617","13,321","13,159","14,980","17,570","31,970","26,575","38,697","69,025","39,156","40,676","51,719","44,457","45,741","47,422","57,217","43,263","45,685","46,155","46,443","45,993","43,099","41,140"
Department of Housing and Urban Development,826,-609,73,492,"2,482","3,093","3,727",713,"2,432","2,796","3,600","3,580","4,781","7,512","7,026","1,361","5,808","7,650","9,220","12,735","14,880","15,232","15,814","16,663","28,720","14,139","15,484","18,938","19,680","20,167","22,751","24,470","25,181","25,845","29,044","25,236","27,527","30,181","32,693","30,781","33,865","31,788","37,410","44,984","42,453","42,435","45,561","49,088","61,019","60,141","57,004","49,600","56,577","38,527","42,390","43,896","43,574","42,981","41,983","40,642"
Department of the Interior,606,730,755,745,866,863,973,"1,073","1,087","1,345","1,609","1,780","1,854","2,221","2,433",855,"3,220","3,874","4,168","4,472","4,456","3,944","4,552","4,936","4,804","4,774","5,037","5,138","5,194","5,814","6,082","6,531","6,879","7,064","7,479","6,776","6,763","7,222","7,783","7,998","7,743","9,739","9,193","8,606","9,292","9,037","10,469","9,817","11,775","13,164","13,519","12,891","9,607","11,279","13,008","14,707","15,111","16,006","15,986","15,936"
Department of Justice,236,256,275,327,305,336,359,423,537,801,"1,053","1,460","1,728","1,985","2,140",548,"2,220","2,248","2,353","2,438","2,438","2,325","2,493","2,816","3,182","3,336","3,807","4,656","5,275","5,886","7,670","9,208","9,485","9,369","10,149","11,049","13,076","14,045","16,181","16,846","18,443","21,178","20,790","29,601","22,361","23,324","23,349","26,545","27,711","29,556","30,519","31,159","29,745","28,620","36,087","32,463","35,333","33,900","34,387","36,419"
Department of Labor,"3,914","3,523","3,454","3,121","3,239","3,562","4,180","4,161","4,976","8,456","10,426","9,561","9,964","18,578","26,524","6,109","23,225","23,694","23,448","30,542","30,911","31,479","38,683","25,348","24,738","24,934","24,208","22,662","23,442","26,087","34,790","47,889","45,452","37,819","32,808","33,163","31,088","30,580","32,995","31,873","39,707","64,686","69,563","56,687","46,949","43,138","47,544","58,838","138,157","173,053","131,975","104,588","80,307","56,774","52,797","56,921","57,997","56,094","59,006","60,458"
Department of State,457,572,455,552,629,655,645,631,661,680,747,807,955,"1,075","1,393",407,"1,449","1,658","1,987","2,382","2,347","2,684","2,793","2,982","3,303","3,590","3,572","4,217","4,576","4,796","5,149","5,927","6,385","6,784","6,263","5,730","6,029","5,396","6,554","6,687","7,487","9,327","9,343","10,915","12,748","12,953","13,737","17,493","21,427","23,802","24,354","26,947","25,972","27,483","30,521","30,189","30,567","28,935","28,770","28,528"
Department of Transportation,"3,854","4,145","4,736","5,201","5,145","5,242","5,555","5,724","6,136","7,039","7,244","7,834","7,724","9,144","11,709","2,902","11,978","12,791","14,642","18,166","20,922","17,931","18,239","20,507","22,510","24,885","22,851","23,698","23,828","25,642","27,237","29,098","30,958","33,563","35,132","35,144","36,072","35,554","37,672","41,555","49,231","56,252","50,764","54,879","56,596","60,139","61,697","64,944","73,004","77,750","77,302","75,149","76,322","76,174","80,208","83,932","90,187","94,047","95,293","96,815"
Department of the Treasury,"8,474","9,553","10,289","10,791","11,761","12,737","14,290","16,473","19,070","20,452","21,539","30,201","35,369","41,843","43,407","10,272","48,061","54,010","63,830","75,451","91,691","109,418","115,366","139,911","163,688","178,076","178,684","200,406","229,334","253,915","274,606","291,005","296,825","305,550","346,875","362,862","377,491","389,005","385,045","390,524","388,268","371,187","368,256","375,844","410,240","464,675","490,589","548,797","701,775","444,338","538,707","464,714","399,068","446,897","506,375","580,379","676,958","761,724","844,885","921,121"
Department of Veterans Affairs,"5,608","5,501","5,662","5,710","5,962","6,691","7,018","7,670","8,652","9,758","10,713","11,970","13,339","16,577","18,416","3,959","18,020","18,965","19,891","21,137","22,907","23,941","24,827","25,580","26,322","26,523","26,932","29,253","30,014","28,976","31,191","33,872","35,461","37,377","37,748","36,896","39,253","41,724","43,125","47,044","45,012","50,868","56,921","59,554","69,815","69,777","72,792","84,749","95,457","108,274","126,918","124,124","138,464","149,074","160,797","179,869","180,868","177,875","192,701","201,047"
Corps of Engineers--Civil Works,944,"1,065","1,091","1,171","1,245","1,273","1,252","1,222","1,168","1,337","1,490","1,676","1,664","2,031","2,112",581,"2,271","2,564","2,898","3,218","3,139","2,962","2,918","3,036","2,998","2,806","2,757","3,028","3,256","3,324","3,341","3,565","3,354","3,483","3,745","3,627","3,598","3,775","3,934","4,229","4,640","4,727","4,682","4,728","4,719","6,944","3,918","5,075","6,842","9,876","10,138","7,777","6,299","6,535","7,463","7,595","6,731","6,561","6,340","6,208"
Other Defense Civil Programs,956,"1,077","1,287","1,465","1,681","1,937","2,206","2,557","2,974","3,510","4,002","4,505","5,216","6,319","7,358","1,958","8,251","9,203","10,315","11,961","13,788","14,997","16,004","16,536","15,809","17,483","17,962","19,039","20,230","21,690","23,238","24,746","25,957","26,969","27,972","28,947","30,279","31,204","31,987","32,801","34,131","35,136","39,874","41,726","43,481","44,435","47,112","45,785","57,276","54,032","54,775","77,313","56,811","57,370","59,725","63,757","61,460","59,701","65,946","67,366"
