Department_or_other_unit,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Legislative Branch,936,226,"1,057","1,087","1,131","1,318","1,251","1,414","1,687","1,768","1,703","1,720","1,873","2,123","2,250","2,248","2,493","2,632","2,621","2,612","2,682","2,454","2,541","2,627","2,943","2,800","3,149","3,613","3,830","3,937","4,036","4,219","4,286","4,447","4,977","4,893","4,737","4,542","4,258","4,462","4,513","4,815","4,928","5,025","5,082","5,133"
Judicial Branch,346,87,431,459,521,609,656,733,823,904,"1,055","1,045","1,273","1,344","1,481","1,752","2,118","2,445","2,613","2,832","2,998","3,174","3,386","3,543","3,807","4,067","4,459","4,970","5,168","5,440","5,726","5,993","6,180","6,518","6,787","7,214","7,205","7,240","6,926","7,284","7,473","7,755","7,913","8,098","8,238","8,352"
Department of Agriculture,"20,690","4,233","21,841","26,659","37,250","39,559","47,410","57,400","69,831","46,734","61,823","59,154","52,421","55,134","55,627","55,214","59,957","66,170","67,730","65,458","58,437","58,592","60,727","58,134","67,560","75,162","73,082","71,209","78,750","93,037","95,023","97,339","91,821","92,950","127,826","130,983","140,677","151,789","154,924","157,510","151,499","155,985","159,060","157,902","153,830","151,715"
Department of Commerce,"1,732",357,"7,814","1,892","2,086","2,610","2,072","1,834","1,923","2,015","2,309","1,980","2,155","2,449","2,807","3,683","2,648","3,022","3,159","3,811","4,025","3,612","3,758","4,100","5,431","8,733","5,167","5,545","5,800","5,877","6,476","6,638","7,766","9,585","25,713","13,679","5,704","7,984","7,959","10,113","14,178","12,367","8,728","10,959","12,105","15,753"
Department of Defense--Military Programs,"95,503","22,925","107,906","114,531","123,595","140,651","176,100","211,486","238,834","258,108","286,789","281,398","279,417","283,710","290,785","292,936","275,676","281,827","267,334","251,294","255,658","254,525","257,943","258,250","278,402","290,307","318,651","344,878","439,339","471,796","483,846","532,926","602,984","674,694","667,557","695,646","691,471","655,397","585,239","595,723","569,277","592,266","554,604","563,757","571,856","577,581"
Department of Education,"9,314","3,227","10,568","11,625","13,996","15,209","16,752","15,374","15,267","15,336","18,952","17,750","19,475","20,098","22,819","24,549","27,360","28,685","31,324","26,881","32,245","29,097","33,519","35,298","33,643","31,816","39,734","55,838","63,001","67,161","74,476","100,019","68,265","65,399","131,891","62,911","43,628","57,458","39,495","55,200","97,460","73,757","80,700","87,826","94,381","100,216"
Department of Energy,"4,970","1,315","7,021","10,467","9,805","10,767","11,241","12,485","11,892","10,952","12,617","10,558","10,124","11,162","11,696","13,983","16,102","17,197","17,712","17,159","15,019","14,128","14,073","14,371","16,353","15,291","17,666","18,447","20,552","21,988","21,093","21,085","21,686","22,739","68,557","23,026","22,648","22,721","21,221","22,174","25,653","29,195","28,349","28,401","28,987","30,221"
Department of Health and Human Services,"40,368","10,154","47,035","51,891","59,726","70,002","80,788","86,307","91,478","103,715","113,981","123,589","133,443","142,396","155,160","184,673","201,473","251,439","257,702","307,700","301,969","318,434","353,652","359,307","364,973","392,122","434,443","478,236","515,464","556,305","591,392","684,554","658,365","721,693","851,721","889,608","889,186","874,458","873,330","960,955","1,048,136","1,092,897","1,114,766","1,130,445","1,213,338","1,280,981"
Department of Homeland Security,"2,423",621,"2,881","3,314","3,969","4,424","3,971","4,563","4,981","5,231","5,056","5,139","5,927","6,152","7,110","7,292","6,574","11,158","9,091","12,476","11,442","11,667","13,189","11,243","13,042","13,840","16,400","30,570","30,844","31,650","100,689","32,285","39,702","50,624","46,001","45,423","41,648","45,911","61,873","44,146","44,000","47,996","41,474","41,877","42,260","42,651"
Department of Housing and Urban Development,"29,200",400,"33,818","37,994","31,142","35,852","34,220","20,911","16,561","18,148","31,398","15,928","14,657","14,949","14,347","17,315","27,634","24,966","26,468","26,322","19,800","20,821","16,091","20,976","26,303","24,277","32,296","34,481","34,371","35,077","35,029","52,405","35,364","50,930","61,810","45,075","48,528","40,115","68,969","42,676","43,836","48,350","49,015","49,947","50,426","51,213"
Department of the Interior,"2,733","1,036","3,741","4,639","4,766","4,674","4,403","3,805","4,952","4,906","4,995","4,574","5,265","5,237","5,463","6,669","6,856","7,077","6,857","7,453","7,512","7,202","7,404","8,146","8,097","8,363","9,584","10,768","10,416","10,137","10,553","9,940","10,333","10,556","14,817","12,843","12,279","11,486","11,761","11,898","12,297","14,990","15,385","15,700","15,290","15,659"
Department of Justice,"2,066",537,"2,204","2,212","2,317","2,261","2,096","2,310","2,679","3,096","3,412","3,446","4,508","4,818","5,814","7,891","8,371","9,326","9,841","9,519","11,985","13,964","15,797","16,597","17,138","15,751","19,196","21,381","22,934","28,092","21,772","23,052","24,771","26,354","32,661","30,171","29,184","31,412","28,106","32,753","31,779","31,769","35,409","34,130","34,452","34,755"
Department of Labor,"22,933","4,025","31,194","16,826","24,715","29,846","30,999","32,084","38,286","32,013","23,873","24,589","23,958","23,070","23,927","27,377","36,235","48,887","47,692","39,003","32,924","34,099","32,860","33,757","35,763","31,258","44,437","65,209","69,074","56,923","47,155","45,896","47,624","57,973","152,821","179,228","130,168","105,366","82,267","55,782","50,159","79,805","56,174","57,082","59,979","62,772"
Department of State,"1,251",476,"1,530","1,798","2,075","2,411","2,583","2,774","2,952","3,193","3,802","4,311","4,034","4,160","4,461","4,728","5,272","6,171","6,561","7,050","6,141","5,852","5,984","6,074","8,914","8,113","8,371","9,859","10,353","11,951","14,595","15,438","17,084","23,124","27,164","30,285","26,879","30,122","29,584","28,588","29,241","29,492","27,127","27,671","27,965","28,262"
Department of Transportation,"9,977","4,847","8,456","12,611","16,370","18,245","23,486","21,214","23,855","25,821","26,234","25,775","23,535","24,639","25,483","26,971","27,545","32,761","36,399","38,662","34,382","32,012","36,382","40,412","46,207","49,965","61,570","60,336","54,415","60,854","64,543","64,444","65,994","67,974","112,344","84,342","70,512","70,114","82,816","71,311","72,145","94,505","95,884","97,060","98,251","99,887"
Department of the Treasury,"45,880","10,806","49,491","56,370","63,622","89,463","91,193","110,329","116,212","140,445","164,826","178,401","180,053","202,112","230,802","257,597","276,501","293,647","298,457","307,256","351,708","363,815","377,894","391,348","386,880","391,649","389,999","371,204","369,139","376,958","411,697","466,551","492,728","751,174","896,975","392,169","494,153","442,633","440,900","442,972","500,984","577,141","672,805","759,402","843,709","920,541"
Department of Veterans Affairs,"19,653","4,524","19,043","19,013","20,471","21,177","23,136","24,948","25,324","26,464","27,288","27,062","27,343","29,414","29,866","30,438","33,129","33,907","35,993","36,804","38,028","38,690","39,877","42,717","44,070","45,462","47,410","51,894","58,964","60,279","68,889","70,937","79,547","88,401","96,929","124,305","122,798","124,030","135,984","165,657","160,151","165,384","179,275","187,347","195,550","203,926"
Corps of Engineers--Civil Works,"2,177",655,"2,479","2,781","2,780","3,247","3,089","2,988","3,406","2,674","2,883","2,722","3,121","3,226","3,215","3,165","3,281","3,667","3,852","3,925","3,344","3,336","4,157","4,145","3,797","4,028","4,619","4,730","4,771","4,554","5,494","11,944","7,046","9,093","16,587","5,665","4,854","6,763","9,716","5,612","5,347","4,628","4,728","4,824","4,874","4,926"
