Department_or_other_unit,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Legislative Branch,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Judicial Branch,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Department of Agriculture,2.3,2.3,2.1,2.2,2.2,2.2,2.2,2.0,2.1,1.9,2.0,1.9,2.0,2.0,2.1,2.2,2.1,2.9,3.0,3.3,3.1,3.0,3.0,3.0,2.8,2.9,2.9,2.7,2.6,2.4,2.3,2.3,2.4,2.2,2.2,2.2,1.9,2.0,2.0,2.1,2.1,2.1,2.3,2.3,2.3,2.3
Department of Commerce,0.9,0.8,3.2,0.7,0.8,0.8,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.5,0.6,0.6,0.8,0.8,0.7,0.7,0.8,0.9,1.5,0.8,0.7,0.7,0.6,0.6,0.7,0.6,0.7,1.2,1.1,0.5,0.7,0.7,0.7,0.8,0.9,0.9,0.9,1.0,1.3
Department of Defense--Military Programs,48.4,51.5,43.8,44.1,44.9,45.4,51.8,59.7,61.5,61.0,62.9,64.4,62.8,62.7,61.9,59.1,58.5,53.9,50.2,48.9,50.3,50.7,49.7,49.1,47.2,49.2,47.6,46.9,51.5,51.6,48.5,53.6,56.0,56.5,44.7,54.6,56.3,53.9,50.6,51.3,50.3,50.7,48.1,48.0,48.0,48.0
Department of Education,4.2,6.8,3.9,3.9,4.2,3.8,3.3,3.0,2.9,2.8,3.1,3.1,3.5,3.6,3.6,3.8,3.9,4.3,4.6,4.8,4.9,4.3,5.2,5.6,4.9,5.0,6.0,6.7,6.3,6.1,5.8,5.9,5.4,4.9,10.4,5.1,5.6,5.6,5.8,5.9,6.0,6.1,6.3,6.3,6.2,6.2
Department of Energy,2.7,3.1,3.1,4.3,3.9,2.2,3.9,3.7,3.3,3.0,3.1,2.7,2.6,2.9,2.8,3.2,3.3,3.6,3.7,3.7,3.4,3.3,3.2,3.2,3.1,3.0,3.0,2.9,2.6,2.6,2.5,2.4,2.2,2.0,4.7,2.0,2.1,2.2,2.2,2.4,2.5,2.6,2.6,2.6,2.6,2.6
Department of Health and Human Services,4.0,3.7,3.7,4.0,4.0,4.4,4.2,3.9,3.8,3.7,3.6,3.8,4.1,4.3,4.4,4.6,4.9,5.4,5.8,6.4,6.6,6.6,6.7,7.0,7.1,7.8,8.2,8.3,7.7,7.6,7.0,7.5,6.6,6.1,7.4,6.7,6.3,6.5,6.5,7.0,7.5,6.9,7.6,7.6,7.6,7.6
Department of Homeland Security,1.1,1.2,1.0,1.2,1.1,1.3,1.1,1.2,1.1,1.1,1.0,1.1,1.2,1.2,1.5,1.5,1.2,2.1,1.7,2.4,2.2,2.3,2.6,2.1,2.3,2.5,2.4,4.1,3.6,3.4,10.0,1.5,3.7,4.2,3.0,3.6,3.5,3.9,4.9,4.0,4.0,4.1,3.7,3.6,3.6,3.6
Department of Housing and Urban Development,10.9,0.4,13.4,14.4,10.9,10.7,9.3,5.3,4.1,3.9,3.7,3.4,2.9,2.8,2.6,2.9,4.3,4.3,4.6,4.7,3.9,4.0,2.9,3.7,3.8,3.6,4.3,4.3,3.5,3.5,3.4,5.1,3.5,4.0,3.6,3.4,3.0,3.0,3.3,3.0,3.1,3.6,3.7,3.7,3.7,3.7
Department of the Interior,1.4,2.3,1.6,1.9,1.8,1.6,1.4,1.3,1.3,1.2,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.5,1.4,1.4,1.4,1.5,1.4,1.4,1.5,1.4,1.2,1.2,1.1,1.1,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.1,1.1,1.2,1.2,1.1,1.1
Department of Justice,1.0,1.2,0.9,0.8,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.8,1.0,1.0,1.2,1.5,1.3,1.6,1.7,1.7,2.3,2.7,2.9,3.0,2.8,2.8,2.8,2.7,2.3,2.2,2.1,2.1,2.1,2.0,2.0,2.2,2.2,2.2,2.2,2.4,2.5,1.3,2.6,2.6,2.6,2.6
Department of Labor,4.0,2.5,6.1,2.3,4.7,3.6,3.2,1.8,2.1,2.6,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.9,1.9,2.1,1.9,1.9,2.0,2.0,1.9,1.5,1.8,1.7,1.4,1.3,1.2,1.2,1.1,1.0,1.2,1.1,1.0,1.1,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.2
