Category_and_Program,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
National defense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD-Military (051),"95,740","22,965","108,146","114,688","124,052","141,346","176,598","212,203","238,854","258,622","287,090","281,980","280,079","284,334","291,435","293,784","319,660","286,284","262,330","250,403","252,407","253,739","253,987","259,826","274,680","287,280","316,289","344,407","437,495","467,598","478,911","534,490","600,906","665,962","666,355","690,469","687,025","645,500","577,469","581,456","560,440","585,262","547,284","556,437","564,377","570,006"
Other Defense,"1,828",491,"2,216","2,661","2,828","3,156","3,846","4,976","6,118","6,963","7,763","7,645","7,881","8,163","8,633","10,162","12,568","12,832","13,779","11,843","10,530","11,447","12,261","12,590","13,630","13,487","15,431","16,416","17,487","18,059","20,908","22,004","21,448","19,934","28,421","23,589","23,111","24,089","22,902","24,734","25,566","26,679","25,716","27,563","27,623","27,994"
Total national defense 1,"97,567","23,455","110,362","117,349","126,880","144,502","180,443","217,179","244,972","265,584","294,853","289,625","287,960","292,497","300,067","303,946","332,228","299,115","276,109","262,246","262,937","265,186","266,248","272,416","288,310","300,767","331,720","360,823","454,982","485,657","499,819","556,494","622,354","685,896","694,776","714,058","710,136","669,589","600,371","606,190","586,006","611,941","573,000","584,000","592,000","598,000"
Nondefense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International affairs,"8,410","1,557","9,514","11,033","13,303","12,874","17,555","14,222","16,017","25,170","24,057","20,279","18,800","18,079","18,537","20,027","21,321","20,927","33,257","20,854","20,166","18,122","18,150","18,991","41,506","23,459","24,179","25,167","33,483","49,333","34,727","35,882","39,108","43,219","53,433","57,028","50,360","54,341","51,886","50,902","53,419","54,841","48,688","49,658","50,146","50,494"
"General science, space and technology:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General science and basic research,"1,037",244,"1,129","1,270","1,344","1,456","1,526","1,524","1,627","1,957","2,223","2,107","2,324","2,521","2,835","3,167","3,454","4,105","4,149","4,558","4,132","4,121","4,184","5,627","6,329","6,658","7,574","8,016","8,561","9,045","9,002","9,156","9,692","10,109","15,880","11,769","11,635","11,898","11,498","12,235","12,344","12,995","13,255","13,520","13,654","13,791"
Space and other technology,"3,227",850,"3,498","3,807","4,223","4,790","5,108","5,683","6,517","6,858","6,925","7,165","10,198","8,322","10,001","11,359","13,046","13,199","13,063","13,022","12,543","12,570","12,456","12,321","12,460","12,541","13,327","13,901","14,386","14,321","15,243","15,765","15,580","16,580","18,134","18,228","17,913","17,200","16,350","17,081","17,360","17,957","18,317","18,682","18,869","19,057"
"Total general science, space and technology","4,264","1,094","4,627","5,076","5,567","6,246","6,634","7,208","8,145","8,815","9,148","9,272","12,522","10,843","12,836","14,526","16,500","17,304","17,212","17,580","16,675","16,691","16,640","17,948","18,789","19,199","20,901","21,917","22,947","23,366","24,245","24,921","25,272","26,689","34,014","29,997","29,548","29,098","27,848","29,316","29,704","30,952","31,572","32,202","32,523","32,848"
Energy,"3,597",943,"5,586","9,015","8,446","17,445","8,970","8,280","6,928","6,029","6,527","4,299","3,211","4,726","4,726","5,585","5,436","5,833","5,832","6,381","6,230","4,893","4,212","3,077","2,861","2,705","3,183","3,247","3,243","3,586","3,831","3,787","4,135","5,010","42,773","3,719","4,639","4,709","4,117","5,032","4,446","5,565","5,774","5,847","5,907","5,991"
Natural resources and environment,"6,856","2,081","10,620","14,650","14,662","14,613","12,857","13,121","14,585","13,967","15,082","13,355","16,185","16,238","17,284","18,593","19,615","21,288","21,395","22,381","20,419","20,639","22,378","23,405","23,800","24,633","29,054","29,614","30,139","31,134","31,885","38,031","32,849","37,024","55,562","36,773","33,104","34,815","38,969","34,586","34,691","36,008","37,315","38,045","38,442","38,828"
Agriculture,"1,131",296,"1,197","1,401","1,574","1,535","1,737","1,684","1,907","2,003","2,066","1,948","2,116","2,168","2,203","2,442","2,809","4,243","4,013","4,183","3,844","4,075","4,092","4,214","4,368","4,587","5,014","5,634","6,180","5,838","5,916","6,147","8,715","6,597","6,509","7,329","5,805","5,883","5,552","5,981","5,919","6,430","6,564","6,696","6,763","6,829"
