Category,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Total outlays,"9,468","13,653","35,137","78,555","91,304","92,712","55,232","34,496","29,764","38,835","42,562","45,514","67,686","76,101","70,855","68,444","70,640","76,578","82,405","92,098","92,191","97,723","106,821","111,316","118,528","118,228","134,532","157,464","178,134","183,640","195,649","210,172","230,681","245,707","269,359","332,332","371,792","95,975","409,218","458,746","504,028","590,941","678,241","745,743","808,364","851,805","946,344","990,382","1,004,017","1,064,416","1,143,743","1,252,993","1,324,226","1,381,529","1,409,386","1,461,752","1,515,742","1,560,484","1,601,116","1,652,458","1,701,842","1,788,950","1,862,846","2,010,894","2,159,899","2,292,841","2,471,957","2,655,050","2,728,686","2,982,544","3,517,677","3,457,079","3,603,059","3,536,951","3,454,647","3,506,089","3,758,577","3,999,467","4,217,798","4,423,296","4,652,637","4,886,367"
National defense 1,"1,660","6,435","25,658","66,699","79,143","82,965","42,681","12,808","9,105","13,150","13,724","23,566","46,089","52,802","49,266","42,729","42,523","45,430","46,815","49,015","48,130","49,601","52,345","53,400","54,757","50,620","58,111","71,417","81,926","82,497","81,692","78,872","79,174","76,681","79,347","86,509","89,619","22,269","97,241","104,495","116,342","133,995","157,513","185,309","209,903","227,411","252,743","273,373","281,996","290,360","303,555","299,321","273,285","298,346","291,084","281,640","272,063","265,748","270,502","268,194","274,769","294,363","304,732","348,456","404,733","455,813","495,294","521,820","551,258","616,066","661,012","693,485","705,554","677,852","633,446","603,457","597,503","615,515","603,855","591,993","590,413","597,992"
Nondefense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payments for individuals,"2,071","2,460","2,456","2,414","2,331","2,387","5,828","9,691","8,982","9,903","13,508","10,411","11,098","11,054","12,259","14,163","15,216","17,091","20,959","22,844","24,258","27,638","29,426","31,592","32,821","33,441","37,629","43,845","50,498","57,842","65,372","80,925","93,281","104,887","121,020","154,717","181,795","45,781","198,048","213,026","236,125","280,404","328,516","361,384","401,567","413,337","452,028","458,280","479,078","510,022","545,753","592,381","659,399","738,524","795,321","834,816","888,403","920,414","964,085","992,445","1,013,371","1,067,361","1,141,399","1,257,934","1,365,932","1,420,103","1,511,901","1,611,667","1,701,188","1,841,304","2,111,962","2,305,906","2,366,737","2,315,622","2,405,017","2,507,726","2,666,252","2,825,337","2,933,643","3,050,971","3,261,133","3,427,520"
Direct payments 2,"1,774","2,104","2,046","1,984","1,822","1,894","5,309","8,560","8,101","8,851","12,192","8,979","9,648","9,454","10,557","12,465","13,485","15,215","18,728","20,332","21,632","24,862","26,311","28,128","29,072","29,527","33,126","38,817","44,152","50,318","56,299","70,083","79,022","90,726","105,891","137,568","161,231","40,569","174,700","187,738","208,059","247,320","289,497","321,718","358,076","366,793","401,304","403,205","420,493","446,524","476,898","513,503","564,614","623,665","668,018","695,641","738,141","767,691","808,002","825,229","833,929","876,629","929,273","1,021,829","1,110,460","1,149,043","1,228,961","1,329,885","1,407,719","1,531,316","1,745,901","1,906,693","1,966,476","1,947,838","2,023,560","2,090,851","2,211,989","2,341,632","2,431,562","2,526,306","2,710,853","2,863,187"
Grants to State and local governments,298,356,410,430,509,493,518,"1,131",881,"1,052","1,316","1,432","1,450","1,600","1,702","1,698","1,731","1,876","2,232","2,512","2,625","2,775","3,114","3,464","3,748","3,914","4,503","5,028","6,346","7,524","9,074","10,841","14,259","14,161","15,129","17,149","20,563","5,212","23,348","25,288","28,066","33,084","39,019","39,666","43,491","46,544","50,723","55,075","58,585","63,498","68,855","78,878","94,786","114,860","127,303","139,176","150,262","152,723","156,083","167,216","179,442","190,732","212,126","236,105","255,472","271,060","282,940","281,782","293,469","309,988","366,061","399,213","400,261","367,784","381,457","416,875","454,263","483,705","502,081","524,665","550,280","564,333"
All other grants,574,491,482,484,401,366,300,473,731,824,937,855,982,"1,222","1,340","1,499","1,820","2,089","2,659","3,940","4,389","4,339","4,795","5,097","6,381","6,962","8,359","10,178","12,177","12,605","14,954","17,223","20,070","27,629","28,164","32,569","38,441","10,693","44,971","52,541","55,191","58,208","55,610","48,400","48,871","50,913","54,972","57,080","49,622","51,656","52,820","56,206","59,548","62,887","66,157","71,251","74,661","75,050","78,077","78,900","88,443","95,140","106,369","116,699","133,070","136,452","145,076","152,315","150,328","151,328","171,930","209,177","206,505","176,785","164,714","160,090","173,890","168,014","176,041","184,676","186,021","185,463"
Net Interest 2,899,943,"1,052","1,529","2,219","3,112","4,111","4,204","4,341","4,523","4,812","4,665","4,701","5,156","4,811","4,850","5,079","5,354","5,604","5,762","6,947","6,716","6,889","7,740","8,199","8,591","9,386","10,268","11,090","12,699","14,380","14,841","15,478","17,349","21,449","23,244","26,727","6,949","29,901","35,458","42,633","52,533","68,766","85,032","89,808","111,102","129,478","136,017","138,611","151,803","168,981","184,347","194,448","199,344","198,713","202,932","232,134","241,053","243,984","241,118","229,755","222,949","206,167","170,949","153,073","160,245","183,986","226,603","237,109","252,757","186,902","196,194","229,962","220,408","220,885","228,956","229,151","283,049","361,257","424,233","483,477","543,770"
All other 2,"4,581","3,871","6,383","8,650","8,530","5,271","3,780","8,872","8,249","12,213","11,397","8,349","8,192","9,438","6,576","8,696","9,590","10,761","10,753","15,150","13,287","14,236","18,641","19,283","22,078","24,522","27,590","29,050","30,488","25,982","27,883","28,418","32,261","32,571","36,128","48,896","49,596","14,491","53,936","68,945","71,213","85,743","95,877","91,717","92,192","81,000","89,823","98,640","91,166","97,542","109,846","157,355","176,901","121,707","95,496","108,884","92,936","95,839","94,441","118,995","135,949","151,718","151,190","164,248","157,473","178,765","200,924","210,895","171,041","207,331","478,510","134,433","182,768","249,820","123,370","93,904","227,599","210,576","247,396","271,198","232,524","235,268"
Undistributed offsetting receipts 2,-317,-547,-894,"-1,221","-1,320","-1,389","-1,468","-1,552","-1,643","-1,779","-1,817","-2,332","-3,377","-3,571","-3,397","-3,493","-3,589","-4,146","-4,385","-4,613","-4,820","-4,807","-5,274","-5,797","-5,708","-5,908","-6,542","-7,294","-8,045","-7,986","-8,632","-10,107","-9,583","-13,409","-16,749","-13,602","-14,386","-4,206","-14,879","-15,720","-17,476","-19,942","-28,041","-26,099","-33,976","-31,957","-32,698","-33,007","-36,455","-36,967","-37,212","-36,615","-39,356","-39,280","-37,386","-37,772","-44,455","-37,620","-49,973","-47,194","-40,445","-42,581","-47,011","-47,392","-54,382","-58,537","-65,224","-68,250","-82,238","-86,242","-92,639","-82,116","-88,467","-103,536","-92,785","-88,044","-135,818","-103,024","-104,394","-99,775","-100,931","-103,646"
Total nondefense,"7,808","7,218","9,479","11,856","12,161","9,747","12,551","21,688","20,659","25,685","28,838","21,948","21,597","23,299","21,589","25,715","28,117","31,148","35,590","43,083","44,061","48,122","54,477","57,915","63,771","67,608","76,421","86,047","96,208","101,143","113,958","131,300","151,507","169,026","190,012","245,824","282,173","73,707","311,977","354,251","387,686","456,946","520,728","560,434","598,462","624,394","693,602","717,009","722,021","774,057","840,188","953,673","1,050,940","1,083,183","1,118,301","1,180,113","1,243,679","1,294,736","1,330,614","1,384,264","1,427,073","1,494,587","1,558,114","1,662,438","1,755,166","1,837,028","1,976,663","2,133,230","2,177,428","2,366,478","2,856,665","2,763,594","2,897,505","2,859,099","2,821,201","2,902,632","3,161,074","3,383,952","3,613,943","3,831,303","4,062,224","4,288,375"
Total outlays,135.8,177.5,402.9,814.9,"1,029.4","1,110.3",656.0,360.8,299.4,405.4,423.5,451.1,672.8,704.6,636.6,594.6,587.7,607.3,616.8,662.1,653.4,677.2,738.7,738.7,774.2,761.3,842.9,964.9,"1,052.8","1,021.4","1,030.3","1,034.8","1,065.0","1,083.8","1,097.2","1,232.7","1,286.5",324.0,"1,320.5","1,392.7","1,408.7","1,494.9","1,543.9","1,579.3","1,630.4","1,642.8","1,761.3","1,805.0","1,778.9","1,824.2","1,887.7","2,008.6","2,028.8","2,040.1","2,021.2","2,058.8","2,074.4","2,091.8","2,103.4","2,151.4","2,188.0","2,244.3","2,276.2","2,416.9","2,524.7","2,611.7","2,721.5","2,825.7","2,829.4","2,988.2","3,517.7","3,416.4","3,492.0","3,364.7","3,241.1","3,238.9","3,426.2","3,579.3","3,698.5","3,795.8","3,902.9","4,008.8"
National defense 1,25.5,80.3,262.9,638.3,862.1,993.6,532.8,147.9,112.1,162.3,167.8,272.1,511.5,531.7,488.3,409.7,384.8,391.3,385.0,377.6,374.3,378.9,399.0,390.1,394.5,365.2,400.5,476.7,522.5,497.9,469.0,425.6,389.8,352.4,341.3,341.5,332.4,81.0,334.6,336.9,346.8,361.3,381.1,412.6,444.6,460.0,492.9,521.5,529.6,532.3,537.5,512.2,443.7,478.8,461.9,442.4,418.7,400.2,401.3,390.6,391.7,406.9,406.6,449.0,491.2,533.0,552.6,558.1,571.4,614.9,661.0,691.3,692.6,659.0,612.0,574.2,560.9,568.8,548.2,527.2,515.5,511.8
Nondefense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payments for individuals,26.3,30.2,27.5,24.4,22.0,21.4,49.6,76.7,65.1,69.8,96.5,70.4,72.2,70.9,77.6,89.7,95.2,104.0,123.9,133.1,138.8,156.0,164.5,174.6,178.9,179.6,198.6,225.3,251.7,276.6,298.4,353.6,392.5,425.4,454.3,526.3,580.5,141.7,588.2,592.8,606.6,651.7,696.0,721.2,766.2,759.3,802.1,792.4,807.8,828.7,849.6,886.6,949.7,"1,036.9","1,088.7","1,119.3","1,166.2","1,184.4","1,216.4","1,240.6","1,252.3","1,288.6","1,348.1","1,468.2","1,562.8","1,590.3","1,647.0","1,704.3","1,761.4","1,841.4","2,112.0","2,269.1","2,281.8","2,186.9","2,239.9","2,301.1","2,415.3","2,511.6","2,554.2","2,599.1","2,715.6","2,790.0"
Direct payments 2,22.5,25.8,22.9,20.1,17.2,17.0,45.1,67.7,58.7,62.4,87.1,60.7,62.8,60.6,66.8,78.9,84.4,92.5,110.7,118.5,123.8,140.3,147.1,155.4,158.4,158.6,174.8,199.5,220.1,240.6,257.0,306.2,332.4,367.9,397.5,467.9,514.8,125.6,518.9,522.4,534.4,574.8,613.3,642.0,683.2,673.8,712.0,697.1,709.0,725.5,742.3,768.3,812.9,875.2,913.8,931.9,968.1,987.0,"1,018.5","1,030.9","1,029.9","1,057.6","1,096.9","1,191.9","1,269.8","1,286.1","1,338.3","1,405.9","1,457.4","1,531.3","1,745.9","1,876.1","1,895.8","1,839.5","1,884.7","1,918.6","2,003.8","2,081.6","2,117.2","2,152.2","2,257.5","2,330.8"
Grants to State and local governments,3.8,4.4,4.6,4.3,4.8,4.4,4.4,9.0,6.4,7.4,9.4,9.7,9.5,10.3,10.8,10.8,10.8,11.4,13.2,14.6,15.0,15.7,17.4,19.2,20.4,21.0,23.8,25.8,31.7,36.0,41.4,47.4,60.0,57.4,56.8,58.3,65.7,16.1,69.4,70.4,72.1,76.9,82.7,79.2,83.0,85.5,90.0,95.3,98.8,103.3,107.4,118.3,136.9,161.7,174.9,187.5,198.2,197.4,197.8,209.7,222.4,231.0,251.2,276.2,293.0,304.2,308.7,298.3,304.0,310.1,366.1,393.0,386.0,347.4,355.3,382.5,411.5,429.9,437.0,446.9,458.1,459.2
All other grants,11.6,11.0,11.0,10.3,8.0,7.2,5.4,3.6,9.7,10.4,12.5,9.5,10.9,12.9,14.8,16.2,19.4,20.4,23.5,32.8,36.4,36.6,40.2,41.3,50.9,54.1,66.4,79.7,92.0,89.8,99.8,107.2,119.2,160.3,149.5,155.8,170.5,45.8,186.1,204.4,196.8,186.8,160.1,128.4,123.4,122.2,126.6,126.9,105.1,105.4,103.3,105.0,106.9,109.6,111.7,117.2,118.8,116.3,118.8,118.4,129.5,134.2,145.4,156.4,173.0,170.6,171.1,170.9,160.3,153.9,171.9,209.8,202.7,167.7,153.5,147.4,156.8,147.4,149.9,152.4,148.8,143.7
Net Interest 2,11.1,11.2,11.7,15.9,22.3,30.5,37.5,34.6,32.6,32.9,35.5,32.7,31.7,34.1,31.4,31.5,32.1,32.6,33.1,33.6,39.9,38.1,38.6,42.9,44.9,46.2,49.4,52.5,54.8,60.0,64.5,63.3,63.0,67.7,78.2,76.8,82.6,20.8,86.2,95.7,106.6,120.8,144.0,166.6,168.6,201.4,227.2,233.3,232.6,246.8,264.2,278.1,283.3,283.5,276.1,275.9,309.1,315.1,313.4,305.9,287.8,273.7,247.1,201.6,177.2,181.0,201.5,240.3,244.8,255.7,186.9,194.5,223.6,210.6,207.5,211.8,209.2,254.4,318.9,367.4,410.5,452.6
All other 2,68.0,56.3,107.3,148.1,136.7,79.5,52.6,119.7,101.1,153.6,134.4,96.4,86.8,95.0,62.0,84.6,93.7,101.5,93.5,127.2,108.1,109.9,141.8,138.1,151.0,161.0,176.2,182.8,187.6,148.7,150.3,139.9,149.1,142.3,149.2,189.1,176.2,50.4,178.4,216.0,207.3,232.8,237.4,216.7,210.9,176.4,187.8,205.7,186.3,191.9,212.8,303.2,322.0,206.0,150.1,168.8,135.7,135.8,131.1,167.6,186.4,200.9,193.4,203.2,187.9,205.9,223.1,226.1,177.6,209.6,478.5,133.0,178.0,240.2,116.9,87.4,210.4,191.6,221.1,237.8,199.9,198.3
Undistributed offsetting receipts 2,-6.6,-11.5,-17.6,-21.9,-21.5,-21.5,-21.8,-21.8,-21.3,-23.7,-23.0,-30.0,-40.3,-40.3,-37.0,-37.0,-37.6,-42.5,-42.0,-42.1,-44.3,-42.1,-45.3,-48.2,-46.0,-45.1,-48.2,-52.5,-55.8,-51.8,-51.8,-55.0,-48.4,-64.0,-75.4,-56.9,-55.6,-15.8,-53.3,-53.0,-55.4,-58.4,-74.8,-66.4,-83.3,-76.6,-75.3,-74.9,-82.4,-81.0,-79.7,-76.3,-76.8,-74.7,-67.2,-65.0,-74.1,-59.9,-77.7,-71.7,-59.7,-60.0,-64.3,-61.5,-67.5,-69.1,-73.6,-74.0,-86.0,-87.3,-92.6,-81.3,-86.7,-99.8,-88.7,-82.9,-126.2,-94.2,-93.8,-87.9,-87.2,-87.8
Total nondefense,110.4,97.1,139.8,176.7,167.5,117.3,123.3,212.8,187.3,243.0,255.9,179.0,161.3,172.7,148.8,185.0,202.7,216.0,232.0,284.6,278.9,298.3,339.8,348.7,379.6,395.8,442.3,487.8,530.4,523.2,561.1,609.0,675.5,731.7,755.8,891.0,954.3,243.0,985.7,"1,055.9","1,061.9","1,133.6","1,162.9","1,166.6","1,185.8","1,182.6","1,268.5","1,283.4","1,249.4","1,291.8","1,350.1","1,496.7","1,585.1","1,561.2","1,559.3","1,616.4","1,655.6","1,691.6","1,702.0","1,760.9","1,796.4","1,837.5","1,869.6","1,967.8","2,033.3","2,078.6","2,169.1","2,267.5","2,258.0","2,373.4","2,856.7","2,725.2","2,799.3","2,705.7","2,629.3","2,664.7","2,865.4","3,010.6","3,150.5","3,268.8","3,387.4","3,497.0"
