Fiscal_Year,Federal_Debt,Federal_Accounts,Total_Equals_Held_by_the_Public,Federal_Reserve_System_Equals_Held_by_the_Public,Other_Equals_Held_by_the_Public,Gross_Federal_Debt,Less_Held_by_Federal_Government_Accounts,Total_Equals_Held_by_the_Public,Federal_Reserve_System_Equals_Held_by_the_Public,Other_Equals_Held_by_the_Public
1940,"50,696","7,924","42,772","2,458","40,314",51.6,8.1,43.6,2.5,41.1
1941,"57,531","9,308","48,223","2,180","46,043",49.5,8,41.5,1.9,39.6
1942,"79,200","11,447","67,753","2,640","65,113",53.6,7.8,45.9,1.8,44.1
1943,"142,648","14,882","127,766","7,149","120,617",77.3,8.1,69.2,3.9,65.3
1944,"204,079","19,283","184,796","14,899","169,897",95.5,9,86.4,7,79.5
1945,"260,123","24,941","235,182","21,792","213,390",114.9,11,103.9,9.6,94.3
1946,"270,991","29,130","241,861","23,783","218,078",118.9,12.8,106.1,10.4,95.6
1947,"257,149","32,810","224,339","21,872","202,467",107.6,13.7,93.9,9.2,84.7
1948,"252,031","35,761","216,270","21,366","194,904",96,13.6,82.4,8.1,74.3
1949,"252,610","38,288","214,322","19,343","194,979",91.3,13.8,77.4,7,70.4
1950,"256,853","37,830","219,023","18,331","200,692",92.1,13.6,78.5,6.6,71.9
1951,"255,288","40,962","214,326","22,982","191,344",78,12.5,65.5,7,58.4
1952,"259,097","44,339","214,758","22,906","191,852",72.5,12.4,60.1,6.4,53.7
1953,"265,963","47,580","218,383","24,746","193,637",69.5,12.4,57.1,6.5,50.6
1954,"270,812","46,313","224,499","25,037","199,462",69.9,11.9,57.9,6.5,51.4
1955,"274,366","47,751","226,616","23,607","203,009",67.4,11.7,55.7,5.8,49.9
1956,"272,693","50,537","222,156","23,758","198,398",62.1,11.5,50.6,5.4,45.2
1957,"272,252","52,931","219,320","23,035","196,285",58.6,11.4,47.2,5,42.3
1958,"279,666","53,329","226,336","25,438","200,898",59,11.2,47.7,5.4,42.4
1959,"287,465","52,764","234,701","26,044","208,657",56.9,10.4,46.4,5.2,41.3
1960,"290,525","53,686","236,840","26,523","210,317",54.3,10,44.3,5,39.3
1961,"292,648","54,291","238,357","27,253","211,104",53.4,9.9,43.5,5,38.6
1962,"302,928","54,918","248,010","29,663","218,347",51.6,9.4,42.3,5.1,37.2
1963,"310,324","56,345","253,978","32,027","221,951",50.1,9.1,41,5.2,35.8
1964,"316,059","59,210","256,849","34,794","222,055",47.7,8.9,38.7,5.2,33.5
1965,"322,318","61,540","260,778","39,100","221,678",45.4,8.7,36.7,5.5,31.2
1966,"328,498","64,784","263,714","42,169","221,545",42,8.3,33.7,5.4,28.3
1967,"340,445","73,819","266,626","46,719","219,907",40.6,8.8,31.8,5.6,26.2
1968,"368,685","79,140","289,545","52,230","237,315",41,8.8,32.2,5.8,26.4
1969,"365,769","87,661","278,108","54,095","224,013",37.2,8.9,28.3,5.5,22.8
1970,"380,921","97,723","283,198","57,714","225,484",36.3,9.3,27,5.5,21.5
1971,"408,176","105,140","303,037","65,518","237,519",36.5,9.4,27.1,5.9,21.2
1972,"435,936","113,559","322,377","71,426","250,951",35.7,9.3,26.4,5.9,20.6
1973,"466,291","125,381","340,910","75,181","265,729",34.4,9.2,25.1,5.5,19.6
1974,"483,893","140,194","343,699","80,648","263,051",32.6,9.4,23.1,5.4,17.7
1975,"541,925","147,225","394,700","84,993","309,707",33.6,9.1,24.5,5.3,19.2
1976,"628,970","151,566","477,404","94,714","382,690",35.1,8.5,26.7,5.3,21.4
1977,"706,398","157,294","549,104","105,004","444,100",34.8,7.8,27.1,5.2,21.9
1978,"776,602","169,476","607,126","115,480","491,646",34.1,7.4,26.6,5.1,21.6
1979,"829,467","189,161","640,306","115,594","524,712",32.3,7.4,24.9,4.5,20.4
1980,"909,041","197,118","711,923","120,846","591,077",32.5,7,25.5,4.3,21.1
1981,"994,828","205,418","789,410","124,466","664,944",31.7,6.5,25.2,4,21.2
1982,"1,137,315","212,740","924,575","134,497","790,078",34.3,6.4,27.9,4.1,23.8
1983,"1,371,660","234,392","1,137,268","155,527","981,741",38.7,6.6,32.1,4.4,27.7
1984,"1,564,586","257,611","1,306,975","155,122","1,151,853",39.6,6.5,33.1,3.9,29.1
1985,"1,817,423","310,163","1,507,260","169,806","1,337,454",42.6,7.3,35.3,4,31.3
1986,"2,120,501","379,878","1,740,623","190,855","1,549,767",46.7,8.4,38.4,4.2,34.2
1987,"2,345,956","456,203","1,889,753","212,040","1,677,713",49.1,9.5,39.5,4.4,35.1
1988,"2,601,104","549,487","2,051,616","229,218","1,822,398",50.5,10.7,39.8,4.4,35.4
1989,"2,867,800","677,084","2,190,716","220,088","1,970,628",51.5,12.2,39.3,4,35.4
1990,"3,206,290","794,733","2,411,558","234,410","2,177,147",54.2,13.4,40.8,4,36.8
1991,"3,598,178","909,179","2,688,999","258,591","2,430,408",58.9,14.9,44,4.2,39.8
1992,"4,001,787","1,002,050","2,999,737","296,397","2,703,341",62.2,15.6,46.6,4.6,42
1993,"4,351,044","1,102,647","3,248,396","325,653","2,922,744",64,16.2,47.8,4.8,43
1994,"4,643,307","1,210,242","3,433,065","355,150","3,077,915",64.5,16.8,47.7,4.9,42.8
1995,"4,920,586","1,316,208","3,604,378","374,114","3,230,264",64.9,17.4,47.5,4.9,42.6
1996,"5,181,465","1,447,392","3,734,073","390,924","3,343,149",64.9,18.1,46.8,4.9,41.9
1997,"5,369,206","1,596,862","3,772,344","424,518","3,347,826",63.3,18.8,44.5,5,39.5
1998,"5,478,189","1,757,090","3,721,099","458,182","3,262,917",61.2,19.6,41.6,5.1,36.4
1999,"5,605,523","1,973,160","3,632,363","496,644","3,135,719",58.9,20.7,38.2,5.2,33
2000,"5,628,700","2,218,896","3,409,804","511,413","2,898,391",55.5,21.9,33.6,5,28.6
2001,"5,769,881","2,450,266","3,319,615","534,135","2,785,480",54.6,23.2,31.4,5.1,26.4
2002,"6,198,401","2,657,974","3,540,427","604,191","2,936,235",57,24.4,32.5,5.6,27
2003,"6,760,014","2,846,570","3,913,443","656,116","3,257,327",59.7,25.1,34.5,5.8,28.7
