Statute,Date,Description,Limit
54 Stat. 526,6/25/1940,"Amended sec. 21, adding new authority for issuance of $4 billion National Defense Series obligations outstanding",49
55 Stat. 7,2/19/1941,"Amended sec. 21, eliminating authority for $4 billion of National Defense Series obligations and increasing limitation to",65
56 Stat. 189,3/28/1942,"Amended sec. 21, increasing limitation to",125
57 Stat. 63,4/11/1943,"Amended sec. 21, increasing limitation to",210
58 Stat. 272,6/9/1944,"Amended sec. 21, increasing limitation to",260
59 Stat. 47,4/3/1945,"Amended sec. 21, including obligations guaranteed as to principal and interest by the United States and increasing limitation to",300
60 Stat. 316,6/26/1946,"Amended sec. 21, defining face amount of savings bonds to be current redemption value and decreasing limitation to",275
68 Stat. 895,8/28/1954,"Increasing sec. 21 limitation by $6 billion during period beginning August 28, 1954, and ending June 30, 1955",281
69 Stat. 241,6/30/1955,"Amended act of August 28, 1954, extending increase in limitation until June 30, 1956",281
70 Stat. 519,7/9/1956,"Increased sec. 21 limitation by $3 billion during period beginning July 1, 1956, and ending June 30, 1957",278
72 Stat. 27,2/26/1958,"Increased sec. 21 limitation by $5 billion during period beginning February 26, 1958, and ending June 30, 1959",280
72 Stat. 1758,9/2/1958,"Amended sec. 21, increasing limitation to $283 billion, which with temporary increase of February 26, 1958 made limitation",288
73 Stat. 156,6/30/1959,"Amended sec. 21, increasing limitation to $285 billion and increased sec. 21 limitation by $10 billion during period beginning July 1, 1959, and ending June 30, 1960",295
74 Stat. 290,6/30/1960,"Increased sec. 21 limitation by $8 billion during period beginning July 1, 1960, and ending June 30, 1961",293
75 Stat. 148,6/30/1961,"Increased sec. 21 limitation by $13 billion during period beginning July 1, 1961, and ending June 30, 1962",298
76 Stat. 23,3/13/1962,"Increased sec. 21 limitation by $2 billion (in addition to temporary increase of $13 billion in act of June 30, 1961) during period beginning March 13, 1962, and ending June 30, 1962",300
76 Stat. 124,7/1/1962,Increased sec. 21 limitation during the periods:,
77 Stat. 50,5/29/1963,Increased sec. 21 limitation during the periods:,
77 Stat. 131,8/27/1963,"Increased sec. 21 limitation during the period beginning September 1, 1963, and ending November 30, 1963, to",309
77 Stat. 342,11/26/1963,Increased sec. 21 limitation during the periods:,
78 Stat. 225,6/29/1964,"Increased sec. 21 limitation during the period beginning June 29, 1964, and ending June 30, 1965, to",324
79 Stat. 172,6/24/1965,"Increased sec. 21 limitation during the period beginning July 1, 1965, and ending June 30, 1966, to",328
80 Stat. 221,6/24/1966,"Increased sec. 21 limitation during the period beginning July 1, 1966, and ending June 30, 1967, to",330
81 Stat. 4,3/2/1967,"Increased sec. 21 limitation during the period beginning March 2, 1967, and ending June 30, 1967, to",336
81 Stat. 99,6/30/1967,Sec. 21 amended to increase limitation on aggregate outstanding at any time to,358
83 Stat. 7,4/7/1969,"Amended sec. 21, increasing limitation to $365 billion, and increased sec. 21 limitation by $12 billion during period beginning April 7, 1969, and ending June 30, 1970",377
84 Stat. 368,6/30/1970,"Amended sec. 21, increasing limitation to $380 billion, and increased sec. 21 limitation by $15 billion during period beginning July 1, 1970, and ending June 30, 1971",395
85 Stat. 5,3/17/1971,"Amended sec. 21, increasing limitation to $400 billion, and increased sec. 21 limitation by $30 billion during period beginning March 17, 1971, and ending June 30, 1972",430
86 Stat. 63,3/15/1972,"Amended sec. 21, to further increase the limitation temporarily by $20 billion during period beginning March 15, 1972, and ending June 30, 1972",450
86 Stat. 406,7/1/1972,"Amended act of March 15, 1972, striking out June 30, 1972, and inserting in lieu thereof October 31, 1972",450
86 Stat. 1324,10/27/1972,"Increased sec. 21 limitation during the period beginning November 1, 1972, and ending June 30, 1973",465
87 Stat. 134,7/1/1973,"Amended act of October 27, 1972, striking out June 30, 1973, and inserting in lieu thereof November 30, 1973",465
87 Stat. 691,12/3/1973,"Increased sec. 21 limitation during the period beginning December 3, 1973, and ending June 30, 1974",475.7
88 Stat. 285,6/30/1974,"Increased sec. 21 limitation during the period beginning June 30, 1974, and ending March 31, 1975",495
89 Stat. 5,2/19/1975,"Increased sec. 21 limitation during the period beginning February 19, 1975, and ending June 30, 1975",577
89 Stat. 246,6/30/1975,"Increased sec. 21 limitation during the period beginning June 30, 1975, and ending November 15, 1975",577
89 Stat. 693,11/14/1975,"Increased sec. 21 limitation during the period beginning November 14, 1975, and ending March 15, 1976",595
90 Stat. 217,3/15/1976,"Increased sec. 21 limitation during the period beginning March 15, 1976, and ending June 30, 1976",627
90 Stat. 793,6/30/1976,Increased sec. 21 limitation during the periods:,
91 Stat. 1090,10/4/1977,"Increased sec. 21 limitation by $352 billion during the period beginning October 4, 1977, and ending March 31, 1978",752
92 Stat. 185,3/27/1978,"Amended act of October 4, 1977, striking out March 31, 1978, and inserting in lieu thereof July 31, 1978",752
92 Stat. 419,8/3/1978,"Increased sec. 21 limitation by $398 billion during the period beginning August 3, 1978, and ending March 31, 1979",798
