Fiscal_Year,Total_Outlays_1,Total_ Discretionary,National_Defense_2_ Discretionary,Nondefense_2_ Discretionary,Total_ Mandatory_and_Net_Interest,Total_ Mandatory,Total_Programmatic,Social_Security_Programmatic,Deposit_Insurance_Programmatic,Means_Tested_Entitlements_3_Programmatic,Other_Programmatic,Undistributed_Offsetting_Receipts_4_ Mandatory,Net_Interest_ Mandatory_and_Net_Interest
1962,106.8,72.1,52.6,19.5,34.7,27.9,33.1,14.0,-0.4,4.3,15.1,-5.3,6.9
1963,111.3,75.3,53.7,21.6,36.0,28.3,34.1,15.5,-0.4,4.7,14.3,-5.8,7.7
1964,118.5,79.1,55.0,24.1,39.4,31.2,36.9,16.2,-0.4,5.0,16.1,-5.7,8.2
1965,118.2,77.8,51.0,26.8,40.4,31.8,37.8,17.1,-0.4,5.2,15.8,-5.9,8.6
1966,134.5,90.1,59.0,31.1,44.4,35.0,41.5,20.3,-0.5,5.8,16.0,-6.5,9.4
1967,157.5,106.5,72.0,34.5,51.0,40.7,48.0,21.3,-0.4,6.2,20.9,-7.3,10.3
1968,178.1,118.0,82.2,35.8,60.2,49.1,57.1,23.3,-0.5,7.5,26.8,-8.0,11.1
1969,183.6,117.3,82.7,34.6,66.3,53.6,61.6,26.7,-0.6,8.6,26.9,-8.0,12.7
1970,195.6,120.3,81.9,38.3,75.4,61.0,69.6,29.6,-0.5,10.1,30.4,-8.6,14.4
1971,210.2,122.5,79.0,43.5,87.6,72.8,82.9,35.1,-0.4,13.4,34.8,-10.1,14.8
1972,230.7,128.5,79.3,49.2,102.1,86.7,96.2,39.4,-0.6,16.9,40.6,-9.6,15.5
1973,245.7,130.4,77.1,53.3,115.3,98.0,111.4,48.2,-0.8,16.7,47.3,-13.4,17.3
1974,269.4,138.2,80.7,57.5,131.2,109.7,126.5,55.0,-0.6,20.2,51.9,-16.7,21.4
1975,332.3,158.0,87.6,70.3,174.4,151.1,164.7,63.6,0.5,25.7,75.0,-13.6,23.2
1976,371.8,175.6,89.9,85.7,196.2,169.5,183.9,72.7,-0.6,30.5,81.3,-14.4,26.7
TQ,96.0,48.1,22.3,25.7,47.9,41.0,45.2,19.5,-0.1,7.6,18.2,-4.2,6.9
1977,409.2,197.1,97.5,99.6,212.1,182.2,197.1,83.7,-2.8,33.2,83.0,-14.9,29.9
1978,458.7,218.7,104.6,114.1,240.0,204.6,220.3,92.4,-1.0,35.2,93.7,-15.7,35.5
1979,504.0,240.0,116.8,123.2,264.0,221.4,238.9,102.6,-1.7,38.3,99.7,-17.5,42.6
1980,590.9,276.3,134.6,141.7,314.6,262.1,282.0,117.1,-0.4,45.0,120.4,-19.9,52.5
1981,678.2,307.9,158.0,149.9,370.3,301.6,329.6,137.9,-1.4,52.2,140.9,-28.0,68.8
1982,745.7,326.0,185.9,140.0,419.8,334.8,360.9,153.9,-2.1,52.2,156.8,-26.1,85.0
1983,808.4,353.3,209.9,143.4,455.1,365.2,399.2,168.5,-1.2,57.3,174.6,-34.0,89.8
1984,851.8,379.4,228.0,151.4,472.4,361.3,393.2,176.1,-0.8,58.6,159.4,-32.0,111.1
1985,946.3,415.8,253.1,162.7,530.6,401.1,433.8,186.4,-2.2,62.9,186.6,-32.7,129.5
1986,990.4,438.5,273.8,164.7,551.9,415.8,448.9,196.5,1.5,66.9,183.9,-33.0,136.0
1987,"1,004.0",444.2,282.5,161.6,559.9,421.2,463.6,205.1,3.1,70.8,184.6,-42.3,138.6
