Fiscal_Year,Total_Outlays_1,Total_ Discretionary,National_Defense_2_ Discretionary,Non-defense_2_ Discretionary,Total_ Mandatory_and_Net_Interest,Total_ Mandatory,Total_Programmatic,Social_Security_Programmatic,Deposit_Insurance_Programmatic,Means_Tested_Entitlements_3_Programmatic,Other_Programmatic,Undistributed_Offsetting_Receipts_4_ Mandatory,Net_Interest_ Mandatory_and_Net_Interest
1962,100.0,67.5,49.2,18.3,32.5,26.1,31.0,13.2,-0.4,4.1,14.2,-4.9,6.4
1963,100.0,67.6,48.3,19.4,32.4,25.4,30.6,13.9,-0.4,4.2,12.9,-5.2,7.0
1964,100.0,66.8,46.4,20.3,33.2,26.3,31.1,13.7,-0.4,4.2,13.6,-4.8,6.9
1965,100.0,65.8,43.2,22.6,34.2,26.9,31.9,14.4,-0.3,4.4,13.4,-5.0,7.3
1966,100.0,67.0,43.9,23.2,33.0,26.0,30.9,15.1,-0.4,4.3,11.9,-4.9,7.0
1967,100.0,67.6,45.7,21.9,32.4,25.9,30.5,13.5,-0.3,3.9,13.3,-4.6,6.5
1968,100.0,66.2,46.1,20.1,33.8,27.5,32.1,13.1,-0.3,4.2,15.1,-4.5,6.2
1969,100.0,63.9,45.0,18.8,36.1,29.2,33.5,14.5,-0.3,4.7,14.6,-4.3,6.9
1970,100.0,61.5,41.9,19.6,38.5,31.2,35.6,15.2,-0.3,5.2,15.5,-4.4,7.4
1971,100.0,58.3,37.6,20.7,41.7,34.6,39.4,16.7,-0.2,6.4,16.6,-4.8,7.1
1972,100.0,55.7,34.4,21.3,44.3,37.6,41.7,17.1,-0.3,7.3,17.6,-4.2,6.7
1973,100.0,53.1,31.4,21.7,46.9,39.9,45.3,19.6,-0.3,6.8,19.2,-5.5,7.1
1974,100.0,51.3,30.0,21.3,48.7,40.7,46.9,20.4,-0.2,7.5,19.3,-6.2,8.0
1975,100.0,47.5,26.4,21.2,52.5,45.5,49.6,19.1,0.2,7.7,22.6,-4.1,7.0
1976,100.0,47.2,24.2,23.1,52.8,45.6,49.5,19.6,-0.2,8.2,21.9,-3.9,7.2
TQ,100.0,50.1,23.2,26.8,49.9,42.7,47.1,20.3,-0.1,7.9,19.0,-4.4,7.2
1977,100.0,48.2,23.8,24.3,51.8,44.5,48.2,20.5,-0.7,8.1,20.3,-3.6,7.3
