Fiscal_Year,Total_Outlays_1,Total_Discretionary,National_Defense_2_Discretionary,Non-defense_2_Discretionary,Total_Mandatory_and_Net_Interest,Total_Mandatory,Total_Programmatic,Social_Security_Programmatic,Deposit_Insurance_Programmatic,Means_Tested_Entitlements_3_Programmatic,Other_Programmatic,Undistributed_Offsetting_Receipts_4_Mandatory,Net_Interest
1962,18.2,12.3,9.0,3.3,5.9,4.7,5.6,2.4,-0.1,0.7,2.6,-0.9,1.2
1963,18.0,12.2,8.7,3.5,5.8,4.6,5.5,2.5,-0.1,0.8,2.3,-0.9,1.2
1964,17.9,11.9,8.3,3.6,5.9,4.7,5.6,2.5,-0.1,0.8,2.4,-0.9,1.2
1965,16.6,10.9,7.2,3.8,5.7,4.5,5.3,2.4,-0.1,0.7,2.2,-0.8,1.2
1966,17.2,11.5,7.5,4.0,5.7,4.5,5.3,2.6,-0.1,0.7,2.0,-0.8,1.2
1967,18.8,12.7,8.6,4.1,6.1,4.9,5.7,2.5,−*,0.7,2.5,-0.9,1.2
1968,19.8,13.1,9.1,4.0,6.7,5.5,6.4,2.6,-0.1,0.8,3.0,-0.9,1.2
1969,18.7,11.9,8.4,3.5,6.8,5.5,6.3,2.7,-0.1,0.9,2.7,-0.8,1.3
1970,18.6,11.5,7.8,3.7,7.2,5.8,6.6,2.8,−*,1.0,2.9,-0.8,1.4
1971,18.8,10.9,7.1,3.9,7.8,6.5,7.4,3.1,−*,1.2,3.1,-0.9,1.3
1972,18.9,10.5,6.5,4.0,8.4,7.1,7.9,3.2,−*,1.4,3.3,-0.8,1.3
1973,18.1,9.6,5.7,3.9,8.5,7.2,8.2,3.6,-0.1,1.2,3.5,-1.0,1.3
1974,18.1,9.3,5.4,3.9,8.8,7.4,8.5,3.7,−*,1.4,3.5,-1.1,1.4
1975,20.6,9.8,5.4,4.4,10.8,9.4,10.2,3.9,*,1.6,4.7,-0.8,1.4
1976,20.8,9.8,5.0,4.8,11.0,9.5,10.3,4.1,−*,1.7,4.5,-0.8,1.5
TQ,20.3,10.2,4.7,5.4,10.1,8.7,9.6,4.1,−*,1.6,3.9,-0.9,1.5
1977,20.2,9.7,4.8,4.9,10.5,9.0,9.7,4.1,-0.1,1.6,4.1,-0.7,1.5
1978,20.1,9.6,4.6,5.0,10.5,9.0,9.7,4.1,−*,1.5,4.1,-0.7,1.6
1979,19.6,9.3,4.5,4.8,10.3,8.6,9.3,4.0,-0.1,1.5,3.9,-0.7,1.7
1980,21.1,9.9,4.8,5.1,11.2,9.4,10.1,4.2,−*,1.6,4.3,-0.7,1.9
1981,21.6,9.8,5.0,4.8,11.8,9.6,10.5,4.4,−*,1.7,4.5,-0.9,2.2
1982,22.5,9.8,5.6,4.2,12.7,10.1,10.9,4.6,-0.1,1.6,4.7,-0.8,2.6
1983,22.8,10.0,5.9,4.1,12.9,10.3,11.3,4.8,−*,1.6,4.9,-1.0,2.5
1984,21.5,9.6,5.8,3.8,11.9,9.1,9.9,4.5,−*,1.5,4.0,-0.8,2.8
1985,22.2,9.7,5.9,3.8,12.4,9.4,10.2,4.4,-0.1,1.5,4.4,-0.8,3.0
1986,21.8,9.7,6.0,3.6,12.2,9.2,9.9,4.3,*,1.5,4.1,-0.7,3.0
1987,21.0,9.3,5.9,3.4,11.7,8.8,9.7,4.3,0.1,1.5,3.9,-0.9,2.9
1988,20.6,9.0,5.6,3.4,11.6,8.7,9.6,4.2,0.2,1.5,3.6,-0.9,2.9
1989,20.5,8.8,5.5,3.3,11.8,8.7,9.5,4.1,0.4,1.5,3.5,-0.8,3.0
1990,21.2,8.5,5.1,3.4,12.7,9.6,10.2,4.2,1.0,1.6,3.5,-0.6,3.1
1991,21.7,8.7,5.2,3.5,12.9,9.8,10.4,4.4,1.1,1.9,3.0,-0.6,3.2
1992,21.5,8.3,4.7,3.6,13.2,10.1,10.7,4.4,*,2.2,4.0,-0.6,3.1
1993,20.7,7.9,4.3,3.6,12.8,9.9,10.4,4.4,-0.4,2.3,4.1,-0.6,2.9
1994,20.3,7.5,3.9,3.6,12.8,10.0,10.5,4.4,-0.1,2.4,3.8,-0.5,2.8
