Category_and_Program,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
National defense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD-Military (051),"50,316","51,465","52,866","49,183","57,516","70,642","80,582","80,990","80,343","77,634","77,809","75,446","79,238","85,959","88,174","21,850","95,452","102,448","114,083","131,597","154,368","181,402","204,426","221,584","245,575","266,000","274,566","282,583","295,453","290,669","308,907","291,253","280,012","269,362","261,070","253,552","259,581","258,045","262,094","281,840","291,749","333,235","388,101","436,339","473,414","498,752","526,638","592,565","634,002","663,671","673,838","645,435","602,118","572,708","560,827","577,951","567,006","555,430","553,419","560,649"
Other Defense,"2,234","2,253","2,172","1,840","1,482","1,348","1,571","1,726","1,569","1,375","1,529","1,649","1,483","1,657","1,703",462,"2,065","2,201","2,694","3,032","3,596","4,531","5,455","6,461","7,534","7,831","7,951","8,336","8,581","9,472","10,797","11,348","12,419","12,904","12,492","12,409","12,093","12,205","13,369","13,125","14,326","15,717","16,841","17,718","20,189","21,215","21,230","19,869","22,722","25,183","25,554","25,088","23,632","23,741","27,790","27,051","26,843","26,959","27,473","27,808"
Total national defense 1,"52,550","53,718","55,038","51,023","58,998","71,990","82,152","82,715","81,912","79,009","79,338","77,095","80,720","87,615","89,876","22,312","97,517","104,649","116,777","134,629","157,964","185,933","209,882","228,045","253,109","273,832","282,517","290,918","304,034","300,141","319,704","302,602","292,430","282,266","273,562","265,961","271,674","270,250","275,463","294,965","306,075","348,952","404,942","454,057","493,603","519,967","547,868","612,434","656,724","688,854","699,392","670,523","625,750","596,449","588,617","605,002","593,849","582,389","580,892","588,457"
Nondefense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International affairs,"5,507","5,246","4,603","4,705","5,063","5,348","4,871","4,081","3,964","3,770","4,581","4,830","6,197","8,155","7,459","3,315","8,013","8,542","9,143","12,775","13,648","12,881","13,603","16,267","17,390","17,708","15,224","15,743","16,596","19,056","19,698","19,160","21,570","20,812","20,101","18,343","18,909","18,151","19,476","21,232","22,479","26,194","27,831","33,755","39,020","35,857","34,948","37,369","43,005","45,613","48,769","49,889","46,926","49,599","55,163","56,434","56,093","53,066","52,218","51,441"
"General science, space and technology:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General science and basic research,497,534,766,789,858,897,930,938,947,"1,009",979,961,"1,017","1,036","1,032",291,"1,072","1,154","1,295","1,380","1,469","1,591","1,638","1,839","2,022","2,212","2,243","2,408","2,628","2,815","3,134","3,545","3,927","3,820","4,108","3,987","4,092","5,307","5,633","6,170","6,509","7,237","7,935","8,326","8,787","9,006","9,128","9,525","9,921","11,617","12,337","12,345","12,357","11,911","12,172","12,703","13,969","13,225","13,406","13,391"
Space and other technology,"1,226","2,516","4,131","5,035","5,858","5,337","4,596","4,083","3,565","3,172","3,196","3,074","2,964","2,951","3,336",869,"3,658","3,766","3,937","4,450","4,992","5,593","6,290","6,469","6,607","6,756","6,957","8,413","10,196","11,609","12,957","12,838","13,092","12,363","12,593","12,693","13,056","12,866","12,446","12,427","13,236","13,473","12,880","14,637","14,778","14,491","15,258","17,200","18,397","18,370","17,032","16,602","16,429","16,559","17,575","18,144","18,344","18,637","18,906","19,100"
"Total general science, space and technology","1,723","3,051","4,897","5,824","6,716","6,234","5,525","5,021","4,512","4,182","4,175","4,034","3,982","3,987","4,368","1,160","4,730","4,919","5,232","5,829","6,461","7,184","7,928","8,308","8,629","8,968","9,200","10,821","12,824","14,423","16,091","16,383","17,019","16,183","16,701","16,680","17,148","18,173","18,079","18,597","19,745","20,710","20,815","22,963","23,565","23,497","24,386","26,725","28,318","29,987","29,369","28,947","28,786","28,470","29,747","30,847","32,313","31,862","32,312","32,491"
Energy,654,643,686,830,744,835,"1,040","1,019",985,887,"1,092","1,075",689,"1,738","2,589",725,"3,786","5,295","6,110","6,148","10,335","8,612","6,483","7,015","6,502","5,021","5,021","4,968","4,881","4,761","4,409","5,396","5,560","6,402","6,765","5,961","4,906","3,710","3,128","2,958","2,897","2,975","3,072","3,406","3,806","3,264","3,630","3,867","5,779","10,121","14,146","12,877","7,307","5,427","7,343","5,717","5,694","5,562","5,767","5,865"
Natural resources and environment,"2,286","2,522","2,643","2,825","3,105","3,250","3,361","3,375","3,488","4,249","4,758","5,463","6,491","8,115","8,931","2,859","11,279","12,016","13,674","15,485","15,356","14,839","14,153","14,380","15,072","15,444","15,250","16,012","17,068","17,791","18,588","20,010","20,030","20,741","21,888","20,928","21,264","21,932","23,610","24,880","25,816","28,397","29,358","30,058","30,378","34,276","31,411","33,007","35,021","42,539","43,598","39,595","36,555","35,603","38,113","39,284","38,535","39,183","39,360","39,709"
