Fiscal_Year,Total_ In_Millions_of_Dollars,National_Defense_ In_Millions_of_Dollars,Nondefense_ In_Millions_of_Dollars,Total_In_Billions_of_Constant_FY_2009_Dollars,National_Defense_In_Billions_of_Constant_FY_2009_Dollars,Nondefense_In_Billions_of_Constant_FY_2009_Dollars,Total_As_Percentages_of_Total_Outlays,National_Defense_As_Percentages_of_Total_Outlays,Nondefense_As_Percentages_of_Total_Outlays,Total_As_Percentages_of_GDP,National_Defense_As_Percentages_of_GDP,Nondefense_As_Percentages_of_GDP
1962,"34,495","24,891","9,604",166.7,108.6,58.1,32.3,23.3,9.0,5.9,4.2,1.6
1963,"38,425","26,571","11,854",183.4,113.5,70.0,34.5,23.9,10.6,6.2,4.3,1.9
1964,"40,784","25,857","14,927",198.0,111.4,86.6,34.4,21.8,12.6,6.2,3.9,2.3
1965,"38,062","21,327","16,735",188.0,92.1,95.9,32.2,18.0,14.2,5.4,3.0,2.4
1966,"43,440","23,959","19,481",212.1,100.7,111.4,32.3,17.8,14.5,5.6,3.1,2.5
1967,"51,135","29,455","21,680",244.9,120.5,124.3,32.5,18.7,13.8,6.1,3.5,2.6
1968,"57,109","33,992","23,117",265.9,134.6,131.3,32.1,19.1,13.0,6.4,3.8,2.6
1969,"57,565","34,565","23,000",256.0,131.2,124.8,31.3,18.8,12.5,5.9,3.5,2.3
1970,"56,466","31,625","24,841",243.3,114.5,128.8,28.9,16.2,12.7,5.4,3.0,2.4
1971,"56,724","28,823","27,901",234.7,99.4,135.3,27.0,13.7,13.3,5.1,2.6,2.5
1972,"58,467","27,955","30,512",231.4,91.5,140.0,25.3,12.1,13.2,4.8,2.3,2.5
1973,"59,158","26,794","32,364",224.9,83.5,141.3,24.1,10.9,13.2,4.4,2.0,2.4
1974,"61,076","26,830","34,246",216.7,78.9,137.8,22.7,10.0,12.7,4.1,1.8,2.3
1975,"69,407","28,421","40,986",224.9,76.3,148.6,20.9,8.6,12.3,4.3,1.8,2.5
1976,"76,469","29,126","47,343",232.9,73.0,159.9,20.6,7.8,12.7,4.3,1.6,2.6
TQ,"19,405","6,929","12,476",57.9,16.8,41.1,20.2,7.2,13.0,4.1,1.5,2.6
1977,"82,789","32,499","50,290",234.8,75.4,159.4,20.2,7.9,12.3,4.1,1.6,2.5
1978,"92,598","35,328","57,270",248.1,77.0,171.1,20.2,7.7,12.5,4.1,1.6,2.5
1979,"105,873","40,874","64,999",261.2,81.9,179.3,21.0,8.1,12.9,4.1,1.6,2.5
1980,"118,943","47,185","71,758",269.0,88.0,181.0,20.1,8.0,12.1,4.3,1.7,2.6
1981,"132,141","56,079","76,061",268.9,95.7,173.2,19.5,8.3,11.2,4.2,1.8,2.4
