Fiscal_Year,Total_In_Millions_of_Current_Dollars,Total_ Direct_Federal,National_Defense_ Direct_Federal,Nondefense_ Direct_Federal,Grants_In_Millions_of_Current_Dollars,Total_In_Billions_of_Constant_FY_2009_Dollars,Total_Direct_Federal,National_Defense_Direct_Federal,Nondefense_Direct_Federal,Grants_In_Billions_of_Constant_FY_2009_Dollars
1940,"3,297","2,855",850,"2,005",442,27.0,19.7,5.7,14.0,7.3
1941,"6,356","6,066","4,300","1,766",290,43.7,39.2,27.3,11.9,4.5
1942,"21,486","21,264","19,900","1,364",222,134.9,131.7,123.1,8.6,3.1
1943,"55,539","55,321","54,700",621,218,352.4,349.7,345.8,3.9,2.7
1944,"60,000","59,817","59,600",217,183,391.6,389.4,388.0,1.3,2.2
1945,"56,674","56,520","56,300",220,154,396.3,394.4,393.2,1.3,1.9
1946,"20,680","20,538","20,100",438,142,142.9,141.2,138.5,2.7,1.7
1947,"4,693","4,094","3,483",611,599,31.6,25.2,21.6,3.7,6.4
1948,"3,919","3,479","2,704",775,440,23.4,19.3,15.3,4.1,4.0
1949,"3,847","3,385","2,345","1,040",462,21.8,17.8,12.6,5.2,4.0
1950,"3,873","3,389","2,052","1,337",484,22.6,18.2,11.0,7.1,4.4
1951,"7,400","6,834","5,486","1,348",566,39.0,34.2,27.4,6.8,4.8
1952,"16,224","15,649","14,197","1,452",575,79.2,74.7,67.8,6.9,4.5
1953,"22,958","22,202","20,594","1,608",756,110.4,104.6,97.2,7.4,5.8
1954,"21,442","20,698","19,303","1,395",744,104.3,98.4,92.0,6.4,5.9
1955,"18,004","17,184","16,094","1,090",820,86.1,79.5,74.3,5.1,6.6
1956,"17,387","16,472","15,556",916,915,79.3,72.4,68.2,4.2,6.9
1957,"19,613","18,465","17,324","1,141","1,148",85.0,76.9,71.9,5.0,8.1
1958,"20,770","18,982","17,639","1,343","1,788",89.3,76.6,70.9,5.7,12.7
1959,"22,899","19,943","18,329","1,614","2,956",100.0,79.1,72.4,6.7,20.9
1960,"22,405","19,084","17,157","1,927","3,321",99.0,75.1,67.2,7.9,23.8
1961,"21,860","18,807","16,791","2,016","3,053",95.6,73.6,65.4,8.2,21.9
1962,"23,352","20,113","17,785","2,328","3,239",101.1,78.1,68.7,9.4,23.1
1963,"25,548","21,948","19,399","2,549","3,600",109.0,83.9,73.7,10.2,25.2
1964,"25,381","20,899","17,970","2,929","4,482",110.7,79.7,68.2,11.5,31.0
1965,"22,263","17,278","14,231","3,047","4,985",99.7,65.8,53.9,11.9,33.9
1966,"25,028","20,116","16,851","3,265","4,912",108.3,76.0,63.3,12.7,32.4
1967,"29,647","24,416","21,377","3,039","5,231",124.0,90.9,79.2,11.6,33.2
1968,"34,200","28,304","25,437","2,867","5,896",139.1,103.1,92.3,10.7,36.1
1969,"34,952","28,787","26,235","2,552","6,165",136.9,101.0,91.8,9.2,35.9
1970,"33,186","26,130","23,588","2,542","7,056",125.3,87.2,78.5,8.7,38.2
1971,"31,534","23,662","20,701","2,961","7,872",113.5,74.3,64.8,9.5,39.2
1972,"31,084","22,667","19,094","3,573","8,417",105.9,66.3,55.4,11.0,39.6
1973,"30,183","21,318","17,624","3,694","8,865",97.9,58.6,47.7,10.9,39.3
1974,"31,180","21,335","17,385","3,950","9,845",94.6,55.2,44.4,10.8,39.3
1975,"34,374","23,494","18,665","4,829","10,880",92.5,56.0,44.1,11.9,36.5
1976,"37,981","24,464","19,247","5,217","13,517",98.1,54.5,42.5,12.0,43.6
