Fiscal_Year,Total_As_Percentages_of_Total_Outlays,Total_Direct_Federal,National_Defense_Direct_Federal,Nondefense_Direct_Federal,Grants_As_Percentages_of_Total_Outlays,Total_As_Percentages_of_GDP,Total_Direct_Federal,National_Defense_Direct_Federal,Nondefense_Direct_Federal,Grants_As_Percentages_of_GDP
1940,34.8,30.2,9.0,21.2,4.7,3.4,2.9,0.9,2.0,0.5
1941,46.6,44.4,31.5,12.9,2.1,5.5,5.2,3.7,1.5,0.2
1942,61.1,60.5,56.6,3.9,0.6,14.5,14.4,13.5,0.9,0.2
1943,70.7,70.4,69.6,0.8,0.3,30.1,30.0,29.6,0.3,0.1
1944,65.7,65.5,65.3,0.2,0.2,28.1,28.0,27.9,0.1,0.1
1945,61.1,61.0,60.7,0.2,0.2,25.0,25.0,24.9,0.1,0.1
1946,37.4,37.2,36.4,0.8,0.3,9.1,9.0,8.8,0.2,0.1
1947,13.6,11.9,10.1,1.8,1.7,2.0,1.7,1.5,0.3,0.3
1948,13.2,11.7,9.1,2.6,1.5,1.5,1.3,1.0,0.3,0.2
1949,9.9,8.7,6.0,2.7,1.2,1.4,1.2,0.8,0.4,0.2
1950,9.1,8.0,4.8,3.1,1.1,1.4,1.2,0.7,0.5,0.2
1951,16.3,15.0,12.1,3.0,1.2,2.3,2.1,1.7,0.4,0.2
1952,24.0,23.1,21.0,2.1,0.8,4.5,4.4,4.0,0.4,0.2
1953,30.2,29.2,27.1,2.1,1.0,6.0,5.8,5.4,0.4,0.2
1954,30.3,29.2,27.2,2.0,1.1,5.5,5.3,5.0,0.4,0.2
1955,26.3,25.1,23.5,1.6,1.2,4.4,4.2,4.0,0.3,0.2
1956,24.6,23.3,22.0,1.3,1.3,4.0,3.8,3.5,0.2,0.2
1957,25.6,24.1,22.6,1.5,1.5,4.2,4.0,3.7,0.2,0.2
1958,25.2,23.0,21.4,1.6,2.2,4.4,4.0,3.7,0.3,0.4
1959,24.9,21.7,19.9,1.8,3.2,4.5,3.9,3.6,0.3,0.6
1960,24.3,20.7,18.6,2.1,3.6,4.2,3.6,3.2,0.4,0.6
1961,22.4,19.2,17.2,2.1,3.1,4.0,3.4,3.1,0.4,0.6
1962,21.9,18.8,16.6,2.2,3.0,4.0,3.4,3.0,0.4,0.6
1963,23.0,19.7,17.4,2.3,3.2,4.1,3.5,3.1,0.4,0.6
1964,21.4,17.6,15.2,2.5,3.8,3.8,3.2,2.7,0.4,0.7
1965,18.8,14.6,12.0,2.6,4.2,3.1,2.4,2.0,0.4,0.7
1966,18.6,15.0,12.5,2.4,3.7,3.2,2.6,2.2,0.4,0.6
1967,18.8,15.5,13.6,1.9,3.3,3.5,2.9,2.6,0.4,0.6
1968,19.2,15.9,14.3,1.6,3.3,3.8,3.1,2.8,0.3,0.7
1969,19.0,15.7,14.3,1.4,3.4,3.6,2.9,2.7,0.3,0.6
1970,17.0,13.4,12.1,1.3,3.6,3.2,2.5,2.2,0.2,0.7
1971,15.0,11.3,9.8,1.4,3.7,2.8,2.1,1.8,0.3,0.7
1972,13.5,9.8,8.3,1.5,3.6,2.5,1.9,1.6,0.3,0.7
1973,12.3,8.7,7.2,1.5,3.6,2.2,1.6,1.3,0.3,0.7
1974,11.6,7.9,6.5,1.5,3.7,2.1,1.4,1.2,0.3,0.7
1975,10.3,7.1,5.6,1.5,3.3,2.1,1.5,1.2,0.3,0.7
1976,10.2,6.6,5.2,1.4,3.6,2.1,1.4,1.1,0.3,0.8
TQ,10.2,6.1,4.7,1.4,4.1,2.1,1.2,0.9,0.3,0.8
1977,10.6,6.7,5.3,1.4,3.9,2.1,1.3,1.1,0.3,0.8
