Category,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate
Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highways,172,152,88,48,33,44,183,327,403,432,396,415,501,522,586,729,950,"1,511","2,601","2,927","2,610","2,769","3,008","3,626","3,998","3,979","3,984","4,138","4,121","4,311","4,570","4,601","4,644","4,378","4,589","6,144","1,605","5,884","5,940","7,119","8,952","8,832","7,730","8,759","10,372","12,685","13,939","12,478","13,714","13,240","13,961","14,197","15,038","16,177","18,419","19,200","19,644","20,498","20,036","22,722","24,909","27,206","30,115","30,379","30,188","31,433","33,975","34,373","36,747","39,358","43,040","44,323","43,896","43,427","42,952","43,269","45,266"
Urban mass transportation 1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,11,16,42,66,141,119,187,259,358,503,687,946,265,"1,307","1,358","2,278","2,072","2,599","2,593","2,785","3,146","2,473","2,754","2,577","2,425","2,686","3,165","3,230","2,778","3,078","2,563","3,581","3,723","4,079","3,945","4,067","5,118","6,795","7,384","7,356","7,587","7,861","8,450","8,987","9,847","11,188","12,973","12,102","12,630","12,286","14,633","15,915","17,811"
Airports,..........,..........,..........,..........,..........,..........,..........,6,30,33,30,33,27,18,8,17,21,43,57,57,65,58,52,65,71,54,64,75,104,83,62,106,232,243,292,269,26,335,562,556,590,469,339,453,694,789,853,917,825,"1,135","1,220","1,541","1,672","1,931","1,620","1,826","1,655","1,489","1,511","1,565","1,578","2,020","2,860","2,681","3,131","3,530","3,841","3,874","3,808","3,938","3,882","3,259","3,012","3,519","3,100","3,591","3,426"
Other,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,1,1,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,236,207,205,405,454,502
Total transportation,172,152,88,48,33,44,183,333,433,465,426,448,528,540,594,746,971,"1,554","2,658","2,984","2,674","2,827","3,059","3,691","4,079","4,049","4,090","4,279","4,366","4,514","4,818","4,966","5,235","5,123","5,568","7,360","1,896","7,526","7,860","9,953","11,614","11,900","10,662","11,997","14,212","15,947","17,547","15,971","16,965","17,061","18,346","18,967","19,488","21,187","22,603","24,608","25,023","26,066","25,492","28,354","31,605","36,021","40,359","40,416","40,906","42,824","46,266","47,234","50,402","54,484","59,895","59,920","59,745","59,437","61,090","63,229","67,005"
Community and regional development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block grants,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,38,983,439,"2,089","2,464","3,161","4,126","4,042","3,792","4,005","4,273","4,314","3,787","3,322","3,266","2,948","2,818","2,976","3,090","3,198","3,651","4,333","4,545","4,517","4,621","4,804","4,955","4,939","5,429","5,569","5,388","4,985","5,012","10,867","8,935","6,408","7,043","7,037","6,794","5,768","6,369","7,370","6,924"
Urban renewal,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,8,12,34,14,30,37,77,104,144,169,199,212,281,313,370,475,534,"1,054","1,026","1,218","1,010","1,205","1,374","1,166",295,899,392,298,206,167,101,38,24,28,13,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Public works acceleration/local public works,117,68,130,134,119,68,31,8,8,1,*,4,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,15,257,288,85,19,5,2,1,*,*,..........,..........,..........,..........,..........,577,"3,057","1,741",416,83,40,..........,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
