Fiscal_Year,National_Defense_In_Millions_of_Dollars,Nondefense_In_Millions_of_Dollars,Total_In_Millions_of_Dollars,National_Defense_In_Billions_of_Constant_FY_2009_Dollars,Nondefense_In_Billions_of_Constant_FY_2009_Dollars,Total_In_Billions_of_Constant_FY_2009_Dollars,National_Defense_As_Percentages_of_Total_Outlays,Nondefense_As_Percentages_of_Total_Outlays,Total_As_Percentages_of_Total_Outlays,National_Defense_As_Percentages_of_GDP,Nondefense_As_Percentages_of_GDP,Total_As_Percentages_of_GDP
1949,762,178,940,5.5,1.3,6.8,2.0,0.5,2.4,0.3,0.1,0.3
1950,772,282,"1,054",5.7,2.1,7.8,1.8,0.7,2.5,0.3,0.1,0.4
1951,846,279,"1,125",5.9,2.0,7.9,1.9,0.6,2.5,0.3,0.1,0.3
1952,"1,204",291,"1,495",8.1,2.0,10.1,1.8,0.4,2.2,0.3,0.1,0.4
1953,"1,553",295,"1,848",10.3,2.0,12.2,2.0,0.4,2.4,0.4,0.1,0.5
1954,"1,551",297,"1,848",10.1,1.9,12.1,2.2,0.4,2.6,0.4,0.1,0.5
1955,"1,550",345,"1,895",10.1,2.2,12.3,2.3,0.5,2.8,0.4,0.1,0.5
1956,"1,898",428,"2,326",12.0,2.7,14.7,2.7,0.6,3.3,0.4,0.1,0.5
1957,"2,134",577,"2,711",13.0,3.5,16.5,2.8,0.8,3.5,0.5,0.1,0.6
1958,"2,459",729,"3,188",14.5,4.3,18.9,3.0,0.9,3.9,0.5,0.2,0.7
1959,"5,364","1,020","6,384",31.2,5.9,37.2,5.8,1.1,6.9,1.1,0.2,1.3
1960,"5,937","1,385","7,322",34.1,8.0,42.1,6.4,1.5,7.9,1.1,0.3,1.4
1961,"6,922","1,864","8,786",39.2,10.6,49.8,7.1,1.9,9.0,1.3,0.3,1.6
1962,"7,090","2,747","9,837",39.8,15.4,55.2,6.6,2.6,9.2,1.2,0.5,1.7
1963,"7,144","4,221","11,365",39.6,23.4,63.0,6.4,3.8,10.2,1.2,0.7,1.8
1964,"7,865","5,931","13,796",43.0,32.5,75.5,6.6,5.0,11.6,1.2,0.9,2.1
1965,"7,077","6,763","13,840",38.1,36.4,74.4,6.0,5.7,11.7,1.0,1.0,1.9
1966,"7,097","7,821","14,918",37.4,41.2,78.6,5.3,5.8,11.1,0.9,1.0,1.9
1967,"8,068","7,894","15,962",41.2,40.3,81.6,5.1,5.0,10.1,1.0,0.9,1.9
1968,"8,544","7,628","16,172",42.2,37.7,79.9,4.8,4.3,9.1,1.0,0.8,1.8
1969,"8,314","7,346","15,660",39.3,34.7,74.0,4.5,4.0,8.5,0.8,0.7,1.6
1970,"8,021","7,132","15,153",36.0,32.0,67.9,4.1,3.6,7.7,0.8,0.7,1.4
1971,"8,108","7,301","15,409",34.6,31.1,65.7,3.9,3.5,7.3,0.7,0.7,1.4
1972,"8,837","7,466","16,303",36.0,30.4,66.4,3.8,3.2,7.1,0.7,0.6,1.3
1973,"9,139","7,896","17,035",35.7,30.8,66.5,3.7,3.2,6.9,0.7,0.6,1.3
1974,"9,406","8,028","17,434",34.3,29.3,63.5,3.5,3.0,6.5,0.6,0.5,1.2
1975,"9,715","8,821","18,536",32.1,29.1,61.2,2.9,2.7,5.6,0.6,0.5,1.2
1976,"9,819","10,169","19,988",30.3,31.4,61.7,2.6,2.7,5.4,0.5,0.6,1.1
TQ,"2,455","2,745","5,200",7.4,8.2,15.6,2.6,2.9,5.4,0.5,0.6,1.1
