Category,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate
Department of Defense,688,700,775,"1,100","1,412","1,385","1,397","1,683","1,882","2,178","4,950","5,517","6,466","6,689","6,792","7,419","6,623","6,675","7,649","8,071","7,762","7,519","7,639","8,238","8,529","8,960","9,284","9,341","2,312","10,210","10,726","11,045","13,469","15,739","18,363","20,566","23,850","28,165","33,396","34,732","35,605","37,819","38,247","35,330","35,504","37,666","35,474","35,356","36,936","37,702","37,558","37,571","38,279","41,157","44,903","53,778","61,510","66,467","69,323","73,716","75,783","79,708","77,591","75,576","71,146","67,288","66,534","67,985","72,102"
Other national defense,74,72,71,104,141,166,153,215,252,281,414,420,456,401,352,446,454,422,419,473,552,502,469,599,610,446,431,478,143,664,"1,351","1,083","1,174","1,199","1,447","1,732","1,915","2,195","2,260","2,365","2,427","2,547","2,831","2,557","2,666","2,730","2,581","2,343","2,492","2,475","2,583","2,705","2,771","2,990","3,335","3,550","3,835","4,179","3,720","3,362","3,818","3,210","3,499","4,099","3,975","3,827","4,042","4,633","4,844"
Total national defense,762,772,846,"1,204","1,553","1,551","1,550","1,898","2,134","2,459","5,364","5,937","6,922","7,090","7,144","7,865","7,077","7,097","8,068","8,544","8,314","8,021","8,108","8,837","9,139","9,406","9,715","9,819","2,455","10,874","12,077","12,129","14,643","16,937","19,809","22,298","25,765","30,360","35,656","37,097","38,032","40,366","41,078","37,887","38,170","40,396","38,055","37,699","39,428","40,177","40,141","40,276","41,050","44,147","48,238","57,328","65,345","70,646","73,043","77,078","79,601","82,918","81,090","79,675","75,121","71,115","70,576","72,618","76,946"
"General science, space, and technology:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA,42,43,44,51,50,48,43,50,55,72,115,330,646,"1,112","2,291","3,693","4,497","5,275","5,042","4,462","4,025","3,518","3,143","3,059","3,045","2,900","2,876","3,227",846,"3,506","3,454","3,655","4,262","4,798","2,697","1,999","3,023","2,410","2,863","2,693","3,252","4,220","5,624","6,277","6,641","7,004","6,663","8,243","6,963","8,137","8,631","8,316","5,411","5,611","5,816","6,002","8,037","6,880","6,807","8,508","10,245","9,160","7,962","7,825","10,027","10,620","10,776","10,617","10,617"
NSF,..........,..........,..........,..........,..........,4,8,15,28,31,47,57,70,84,100,147,147,176,209,248,280,292,334,407,432,539,571,623,194,668,701,775,838,900,"1,020",998,"1,127","1,182","1,399","1,426","1,513","1,570","1,520","1,631","1,733","1,753","1,873","1,894","2,077","2,015","2,010","2,144","2,446","2,566","2,803","3,235","3,439","3,638","3,707","3,569","3,781","3,936","4,772","5,233","5,124","5,269","5,198","5,271","5,558"
Atomic energy general science,40,49,50,60,63,64,73,78,91,126,157,183,214,231,264,288,309,339,359,281,385,393,380,370,372,292,310,257,72,267,274,305,345,501,401,464,505,510,510,576,618,680,784,834,784,789,669,700,705,703,"1,862","2,087","2,246","2,287","2,298","2,480","2,701","2,809","2,966","3,114","3,001","3,347","3,437","4,042","4,012","3,966","4,108","4,055","4,161"
Subtotal,82,92,94,111,113,116,124,143,174,229,319,570,930,"1,427","2,655","4,128","4,953","5,790","5,610","4,991","4,690","4,203","3,857","3,836","3,849","3,731","3,757","4,107","1,112","4,441","4,429","4,735","5,445","6,199","4,118","3,461","4,656","4,102","4,772","4,695","5,383","6,470","7,927","8,741","9,157","9,546","9,205","10,837","9,745","10,855","12,503","12,547","10,103","10,464","10,917","11,717","14,177","13,327","13,480","15,191","17,027","16,443","16,171","17,100","19,163","19,855","20,082","19,943","20,336"
Energy,N/A,N/A,N/A,N/A,N/A,N/A,27,42,77,109,129,159,173,397,462,502,478,452,478,515,469,451,454,329,379,525,933,"1,424",521,"2,197","2,542","3,304","3,289","3,681","3,330","2,728","2,762","4,249","2,622","2,321","2,287","2,454","2,342","2,501","2,593","2,517","2,654","3,152","2,938","2,641","1,526","1,285","1,265","1,336","1,197","1,325","1,387","1,272","1,156","1,249","1,215","1,846","1,966","3,679","3,019","2,033","2,363","2,341","2,771"
Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
