Category,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate
Direct Federal outlays:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elementary, secondary, and vocational education",100,110,122,154,206,272,291,349,383,419,464,420,332,404,388,132,438,407,416,403,395,490,561,564,521,356,634,502,581,521,857,706,760,806,958,809,813,821,846,"1,172","1,667","2,142","1,858","1,691","1,706","1,656","1,460","1,429","1,521","1,501","1,516","1,276","1,361","1,186","1,292","1,451"
Higher education,313,411,367,396,648,972,"1,005",883,"1,043","1,125","1,231","1,345","1,380","2,096","2,770",736,"3,117","3,648","4,898","6,576","8,638","7,003","7,070","7,233","8,056","8,261","7,238","8,129","10,474","10,996","11,862","11,156","14,339","7,753","14,034","12,064","12,215","11,970","10,598","9,918","16,842","17,960","23,875","25,201","31,482","50,716","24,538","23,758","-3,171","20,710","1,019","12,108",-661,"19,986","60,563","30,360"
Training and employment,12,64,42,255,398,657,710,682,196,341,621,554,378,360,377,88,439,601,807,930,977,861,740,706,688,689,726,793,793,848,879,912,"1,024","1,085","1,126","1,013","1,000","1,106","1,178","1,274","1,338","1,507","1,514","1,552","1,652",469,"2,102","1,990","2,245","2,283","2,511","2,456","2,176","2,032","2,315","2,312"
Health,132,165,219,209,233,278,210,354,367,391,437,655,564,564,602,192,519,648,443,644,681,644,459,370,438,489,533,527,591,532,608,748,775,759,766,760,880,808,877,948,"1,143","1,368","1,500","1,858","1,465","1,334","1,404","1,461","1,645","1,864","1,768","1,644","1,676","1,597","1,684","1,766"
"Veterans education, training, and rehabilitation",159,101,77,58,54,305,478,701,"1,015","1,659","1,960","2,801","3,249","4,593","5,531",784,"3,713","3,396","2,789","2,418","2,367","2,083","1,827","1,556","1,390","1,176","1,113","1,055","1,018",786,803,995,"1,091","1,358","1,374","1,373","1,477","1,502","1,643","1,694","2,221","2,396","2,295","2,707","2,970","2,980","3,456","3,634","4,328","8,774","11,112","10,734","13,220","13,729","14,702","16,323"
All other,53,50,55,66,80,111,153,150,249,239,348,401,506,459,568,130,662,719,"1,005","1,090","1,011",802,868,"1,153",980,"1,021","1,084","1,127","1,254","1,442","1,571","2,287","2,393","2,488","2,857","2,845","2,636","2,754","2,763","2,956","3,303","3,466","3,443","3,771","3,889","3,852","4,051","4,126","4,336","5,033","4,770","4,784","4,573","4,319","4,700","4,878"
"Total, direct",768,901,882,"1,138","1,619","2,595","2,847","3,119","3,253","4,175","5,060","6,176","6,409","8,476","10,236","2,062","8,888","9,419","10,359","12,060","14,068","11,884","11,524","11,582","12,071","11,993","11,327","12,134","14,712","15,124","16,579","16,803","20,382","14,249","21,115","18,864","19,021","18,961","17,905","17,962","26,514","28,839","34,485","36,780","43,164","61,007","37,011","36,398","10,904","40,165","22,696","33,002","22,345","42,849","85,256","57,090"
Grants to State and local governments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elementary, secondary, and vocational education",382,442,457,565,"1,421","2,038","2,224","2,121","2,510","2,914","3,221","3,153","3,241","3,945","3,812",942,"4,200","4,779","5,542","6,277","6,617","6,214","5,663","5,869","7,031","7,408","7,204","7,813","8,499","9,281","10,444","11,627","12,763","13,314","13,677","13,930","14,212","15,721","16,684","19,352","21,326","23,459","29,004","32,194","36,393","37,984","36,910","37,453","51,589","71,694","64,514","45,489","40,260","38,906","41,359","37,480"
Higher education,15,15,15,17,58,188,389,351,343,310,217,189,70,85,43,8,83,62,84,98,89,60,54,70,82,83,91,89,89,98,79,96,119,111,117,108,75,90,65,193,360,444,487,499,522,540,504,519,483,510,520,432,448,402,477,368
Research and general education aids,8,7,9,29,45,70,103,77,124,99,109,126,192,286,224,47,283,347,484,491,282,309,314,255,260,296,366,360,386,396,478,292,315,289,268,288,277,378,389,546,670,702,782,714,753,727,760,757,794,854,832,830,832,797,850,790
Training and employment,..........,..........,80,23,22,34,260,317,757,"1,013","1,156",987,"1,137","1,985","2,355",856,"2,444","3,256","3,643","4,295","4,391","3,225","3,188","2,556","2,775","3,019","2,930","2,958","3,020","3,300","3,530","3,982","3,982","4,149","4,573","4,162","3,769","3,463","3,712","3,484","3,791","4,706","4,603","4,064","3,378","4,801","3,223","3,293","4,044","5,082","4,059","3,449","3,361","3,270","3,590","3,795"
Social services,65,73,88,106,234,480,605,692,767,846,859,949,971,"1,244","1,269",376,"1,302","1,379","1,707","1,848","1,834","1,655","1,777","2,258","1,779","2,292","2,321","3,029","2,875","2,891","3,045","3,878","3,862","4,936","5,584","5,702","6,185","6,354","7,027","7,359","7,960","9,183","9,607","9,746","9,861","10,015","10,160","10,354","10,453","12,010","11,891","11,074","11,071","10,540","11,791","12,091"
All other,68,72,77,82,93,121,309,276,373,424,457,361,443,476,561,130,661,534,469,525,588,548,507,514,543,510,431,422,453,474,487,501,502,527,496,505,509,498,"1,313","1,745","2,033","2,019","1,856","1,801","2,008","2,105","2,133","2,190","2,332","2,410","2,591","2,577","2,649","2,725","2,902","3,563"
"Total, grants",538,610,726,821,"1,874","2,931","3,889","3,833","4,874","5,606","6,019","5,765","6,053","8,021","8,264","2,360","8,973","10,356","11,929","13,535","13,801","12,010","11,503","11,521","12,470","13,607","13,343","14,671","15,322","16,440","18,063","20,376","21,543","23,327","24,715","24,695","25,027","26,504","29,190","32,679","36,140","40,513","46,339","49,018","52,915","56,172","53,690","54,566","69,695","92,560","84,407","63,851","58,621","56,640","60,969","58,087"
Total conduct of education and training,"1,306","1,511","1,607","1,959","3,494","5,526","6,737","6,953","8,127","9,781","11,080","11,941","12,462","16,496","18,500","4,422","17,862","19,775","22,288","25,596","27,869","23,893","23,028","23,103","24,541","25,599","24,671","26,805","30,034","31,564","34,642","37,179","41,925","37,576","45,830","43,559","44,048","45,465","47,095","50,641","62,654","69,352","80,824","85,798","96,079","117,179","90,701","90,964","80,599","132,725","107,103","96,853","80,966","99,489","146,225","115,177"
Memorandum: Conduct of education and training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As a percentage of total outlays,1.2,1.4,1.4,1.7,2.6,3.5,3.8,3.8,4.2,4.7,4.8,4.9,4.6,5.0,5.0,4.6,4.4,4.3,4.4,4.3,4.1,3.2,2.8,2.7,2.6,2.6,2.5,2.5,2.6,2.5,2.6,2.7,3.0,2.6,3.0,2.8,2.8,2.8,2.8,2.8,3.4,3.4,3.7,3.7,3.9,4.4,3.3,3.0,2.3,3.8,3.0,2.7,2.3,2.8,3.9,2.9
In billions of constant (FY 2009) dollars,10.4,11.4,11.8,13.9,25.2,39.3,46.9,45.2,50.1,55.5,59.1,60.4,58.6,71.2,73.0,17.3,66.5,69.8,72.7,76.2,74.6,59.9,55.4,52.9,54.0,55.3,51.4,53.8,58.5,59.8,62.6,63.9,68.4,60.5,70.1,65.0,64.5,66.5,67.3,69.9,83.3,90.0,101.4,103.7,110.3,128.4,95.7,92.3,80.6,132.6,104.9,92.3,75.8,92.0,133.8,102.9
